# Barrido en logspace desde 100 Hz hasta 200 kHz a 1 V
#  Cs [F], D
4.512770000000000248e-07,1.603049999999999961e-03
4.512579999999999767e-07,1.621789999999999907e-03
4.512540000000000251e-07,1.670720000000000104e-03
4.512219999999999889e-07,1.693709999999999964e-03
4.512110000000000029e-07,1.739850000000000034e-03
4.511850000000000263e-07,1.735350000000000087e-03
4.512040000000000214e-07,1.772689999999999943e-03
4.511389999999999742e-07,1.848180000000000048e-03
4.511120000000000229e-07,1.826310000000000043e-03
4.510209999999999992e-07,1.871880000000000028e-03
4.510460000000000010e-07,1.936599999999999910e-03
4.510339999999999874e-07,2.300869999999999999e-03
4.509770000000000022e-07,2.349840000000000175e-03
4.509269999999999985e-07,2.377629999999999934e-03
4.508979999999999920e-07,2.417620000000000099e-03
4.508620000000000042e-07,2.420809999999999802e-03
4.508140000000000027e-07,2.463490000000000037e-03
4.507530000000000129e-07,2.511789999999999856e-03
4.506590000000000122e-07,2.474060000000000148e-03
4.505969999999999948e-07,2.583470000000000037e-03
4.505529999999999979e-07,2.637549999999999790e-03
4.504980000000000149e-07,2.732469999999999864e-03
4.504449999999999813e-07,2.818179999999999991e-03
4.503910000000000260e-07,2.910980000000000078e-03
4.503410000000000222e-07,2.997029999999999920e-03
4.502859999999999863e-07,3.090330000000000073e-03
4.502240000000000219e-07,3.189809999999999954e-03
4.501700000000000136e-07,3.318530000000000091e-03
4.501019999999999894e-07,3.410079999999999795e-03
4.500369999999999951e-07,3.546989999999999865e-03
4.499639999999999918e-07,3.663000000000000023e-03
4.498929999999999907e-07,3.782279999999999844e-03
4.498310000000000262e-07,3.969730000000000307e-03
4.497389999999999749e-07,4.106409999999999574e-03
4.496509999999999809e-07,4.223779999999999896e-03
4.495629999999999870e-07,4.353229999999999600e-03
4.494760000000000207e-07,4.484789999999999784e-03
4.493649999999999743e-07,4.674679999999999634e-03
4.492979999999999777e-07,4.764960000000000376e-03
4.492039999999999770e-07,4.912510000000000140e-03
4.491099999999999763e-07,5.058029999999999818e-03
4.490000000000000104e-07,5.222229999999999581e-03
4.489029999999999798e-07,5.370439999999999763e-03
4.487970000000000184e-07,5.548130000000000075e-03
4.486919999999999788e-07,5.717640000000000396e-03
4.485709999999999739e-07,5.896460000000000069e-03
4.484539999999999736e-07,6.074559999999999682e-03
4.483440000000000077e-07,6.238829999999999897e-03
4.482219999999999752e-07,6.438010000000000087e-03
4.480859999999999798e-07,6.631530000000000064e-03
4.479599999999999958e-07,6.811809999999999740e-03
4.478199999999999959e-07,7.005499999999999575e-03
4.477040000000000231e-07,7.171450000000000220e-03
4.475850000000000205e-07,7.357749999999999707e-03
4.475410000000000236e-07,7.615460000000000111e-03
4.472660000000000029e-07,7.867769999999999625e-03
4.471340000000000121e-07,8.084100000000000313e-03
4.469929999999999845e-07,8.321699999999999584e-03
4.468419999999999986e-07,8.567790000000000475e-03
4.467350000000000096e-07,8.743529999999999358e-03
4.465749999999999870e-07,9.047629999999999215e-03
4.464550000000000098e-07,9.236209999999999906e-03
4.463219999999999913e-07,9.519289999999999696e-03
4.461900000000000004e-07,9.780000000000000498e-03
4.461230000000000039e-07,9.918939999999999355e-03
4.459890000000000108e-07,1.025200000000000070e-02
4.458689999999999806e-07,1.058579999999999938e-02
4.458139999999999976e-07,1.076820000000000034e-02
4.457700000000000007e-07,1.096540000000000015e-02
4.457190000000000222e-07,1.126609999999999938e-02
4.457179999999999946e-07,1.170919999999999947e-02
4.457749999999999799e-07,1.211549999999999953e-02
4.458010000000000093e-07,1.223710000000000075e-02
4.458519999999999878e-07,1.237500000000000058e-02
4.460430000000000190e-07,1.288839999999999951e-02
4.463340000000000049e-07,1.326820000000000083e-02
4.465499999999999851e-07,1.347620000000000068e-02
4.468270000000000081e-07,1.416180000000000043e-02
4.472050000000000132e-07,1.448900000000000014e-02
4.483100000000000221e-07,1.525830000000000068e-02
4.491469999999999918e-07,1.571989999999999846e-02
4.496690000000000014e-07,1.598300000000000068e-02
4.502830000000000094e-07,1.626549999999999871e-02
4.518509999999999874e-07,1.692240000000000064e-02
4.540699999999999889e-07,1.780270000000000116e-02
4.555349999999999825e-07,1.834879999999999844e-02
4.573240000000000259e-07,1.894490000000000063e-02
4.595330000000000161e-07,1.956650000000000056e-02
4.658219999999999740e-07,2.120839999999999878e-02
4.704090000000000137e-07,2.239139999999999880e-02
4.732070000000000100e-07,2.310509999999999994e-02
4.764520000000000103e-07,2.387430000000000108e-02
4.847400000000000379e-07,2.591200000000000100e-02
4.900490000000000493e-07,2.707659999999999928e-02
5.043039999999999873e-07,3.039460000000000078e-02
5.140389999999999881e-07,3.279449999999999726e-02
5.262490000000000161e-07,3.548160000000000203e-02
5.631429999999999757e-07,4.425020000000000342e-02
5.921610000000000044e-07,5.162730000000000097e-02
5.921589999999999492e-07,5.161600000000000216e-02
