Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-1.4460e-03,0.08,0.04
-1.4440e-03,0.08,0
-1.4420e-03,0.08,0.04
-1.4400e-03,0.08,0.08
-1.4380e-03,0.12,0.08
-1.4360e-03,0.16,0.04
-1.4340e-03,0.12,0.08
-1.4320e-03,0.04,0.04
-1.4300e-03,0.08,0.04
-1.4280e-03,0.08,0.04
-1.4260e-03,0.08,0
-1.4240e-03,0,0.04
-1.4220e-03,0.08,0.12
-1.4200e-03,0,0
-1.4180e-03,0.08,0
-1.4160e-03,0.04,0.08
-1.4140e-03,0.04,0.08
-1.4120e-03,0.04,0.04
-1.4100e-03,-0.04,-0.04
-1.4080e-03,0.08,0
-1.4060e-03,0,0
-1.4040e-03,0,0.04
-1.4020e-03,0.08,0.04
-1.4000e-03,0.08,0.12
-1.3980e-03,0.08,0.04
-1.3960e-03,0.08,0.04
-1.3940e-03,0.04,0.04
-1.3920e-03,0.04,0
-1.3900e-03,0,0.04
-1.3880e-03,0.08,0.04
-1.3860e-03,0,-0.04
-1.3840e-03,0.04,-0.04
-1.3820e-03,0.12,0
-1.3800e-03,0.08,0.04
-1.3780e-03,0.04,0.08
-1.3760e-03,0.04,0.04
-1.3740e-03,0,0.12
-1.3720e-03,0.08,0
-1.3700e-03,0.12,0.04
-1.3680e-03,0.04,0.04
-1.3660e-03,0.12,0.08
-1.3640e-03,0.08,0.08
-1.3620e-03,0.08,0.04
-1.3600e-03,0.12,0.08
-1.3580e-03,0.12,0.04
-1.3560e-03,0.12,0.08
-1.3540e-03,-0.04,0.08
-1.3520e-03,0,0.08
-1.3500e-03,0.04,0
-1.3480e-03,0.04,0
-1.3460e-03,0.08,-0.04
-1.3440e-03,0,0.08
-1.3420e-03,0.12,0
-1.3400e-03,0.08,0.04
-1.3380e-03,0.08,0.04
-1.3360e-03,0.08,0
-1.3340e-03,0.04,-0.04
-1.3320e-03,0.16,0.12
-1.3300e-03,0.04,0.04
-1.3280e-03,-0.04,0.04
-1.3260e-03,0.08,0
-1.3240e-03,0,0.04
-1.3220e-03,0.12,0.04
-1.3200e-03,0.12,0.12
-1.3180e-03,0.08,0.04
-1.3160e-03,0.08,0
-1.3140e-03,0.08,0.04
-1.3120e-03,0.08,0.08
-1.3100e-03,0,0.08
-1.3080e-03,0.12,0.08
-1.3060e-03,0,0.04
-1.3040e-03,0.12,0
-1.3020e-03,0.08,0.08
-1.3000e-03,0.04,0.04
-1.2980e-03,0.08,0.04
-1.2960e-03,0.08,0.08
-1.2940e-03,0.08,0.08
-1.2920e-03,0.08,0.04
-1.2900e-03,0.12,0.08
-1.2880e-03,0,0.04
-1.2860e-03,0.08,0
-1.2840e-03,0.12,0.04
-1.2820e-03,0.04,0
-1.2800e-03,0.04,0
-1.2780e-03,0.08,0.04
-1.2760e-03,0,0.08
-1.2740e-03,0.08,0.04
-1.2720e-03,0,0.04
-1.2700e-03,0,0.04
-1.2680e-03,0.08,-0.04
-1.2660e-03,0.08,0.04
-1.2640e-03,0.08,0.04
-1.2620e-03,0.12,0
-1.2600e-03,0,0
-1.2580e-03,0.12,0.04
-1.2560e-03,0.04,0.08
-1.2540e-03,0.04,0.04
-1.2520e-03,0.08,0.04
-1.2500e-03,0.12,0
-1.2480e-03,0.08,0
-1.2460e-03,0.04,0.08
-1.2440e-03,-0.04,0.04
-1.2420e-03,0.04,0
-1.2400e-03,0.04,0.04
-1.2380e-03,0.08,0.08
-1.2360e-03,0.08,0
-1.2340e-03,0.08,0
-1.2320e-03,0.04,0.04
-1.2300e-03,0.04,0
-1.2280e-03,0,0
-1.2260e-03,0,0.08
-1.2240e-03,0.08,0.08
-1.2220e-03,0.08,0.04
-1.2200e-03,0,0.08
-1.2180e-03,0.12,0
-1.2160e-03,0.12,0.04
-1.2140e-03,0.04,0.12
-1.2120e-03,0.08,0.04
-1.2100e-03,0.08,0
-1.2080e-03,0,0.08
-1.2060e-03,0.08,0
-1.2040e-03,0.04,0
-1.2020e-03,0.08,0.08
-1.2000e-03,0.04,0.04
-1.1980e-03,0,0.04
-1.1960e-03,0.08,0.12
-1.1940e-03,0.08,0.08
-1.1920e-03,0.12,0
-1.1900e-03,0.12,0.08
-1.1880e-03,0.04,-0.04
-1.1860e-03,0.08,0.04
-1.1840e-03,0,0
-1.1820e-03,0.08,0.08
-1.1800e-03,0.08,0.08
-1.1780e-03,0,0.04
-1.1760e-03,0,0.04
-1.1740e-03,0.08,-0.04
-1.1720e-03,0.08,0
-1.1700e-03,0.12,0
-1.1680e-03,0.04,0
-1.1660e-03,0.08,0.08
-1.1640e-03,0.08,0
-1.1620e-03,0.04,0.04
-1.1600e-03,0.04,0.04
-1.1580e-03,0,0.04
-1.1560e-03,0,0
-1.1540e-03,0.04,0.04
-1.1520e-03,0.12,0.04
-1.1500e-03,0.04,0.08
-1.1480e-03,0,0.04
-1.1460e-03,0.08,0
-1.1440e-03,0.12,-0.08
-1.1420e-03,0.08,0.04
-1.1400e-03,0,0.04
-1.1380e-03,0.04,0
-1.1360e-03,0.08,0.04
-1.1340e-03,0.12,0
-1.1320e-03,0.04,0.04
-1.1300e-03,0.08,0.08
-1.1280e-03,0.08,0
-1.1260e-03,0,0.08
-1.1240e-03,0.12,0.04
-1.1220e-03,0.04,0
-1.1200e-03,0.08,0
-1.1180e-03,0.2,0
-1.1160e-03,0.04,0
-1.1140e-03,0,0
