# Tue Sep  5 15:07:48 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.000000000000000000e+01,3.157790000000000000e+08,-8.594110000000000582e+01
2.193299999999999983e+01,2.037790000000000000e+08,-6.748369999999999891e+01
2.405000000000000071e+01,1.790380000000000000e+08,-8.794270000000000209e+01
2.637590000000000146e+01,2.484910000000000000e+08,-6.523810000000000286e+01
2.892119999999999891e+01,2.134890000000000000e+08,-1.263520000000000039e+02
3.171249999999999858e+01,1.552250000000000000e+08,-1.057390000000000043e+02
3.478260000000000218e+01,3.445180000000000000e+08,-6.136509999999999820e+01
3.814370000000000260e+01,1.008810000000000000e+08,-7.024859999999999616e+01
4.182350000000000279e+01,7.395900000000000000e+07,-7.004789999999999850e+01
4.586449999999999960e+01,8.613620000000000000e+07,-7.982720000000000482e+01
5.029339999999999833e+01,6.724520000000000000e+07,-9.462470000000000425e+01
5.514710000000000178e+01,7.091810000000000000e+07,-9.812489999999999668e+01
6.048389999999999844e+01,7.987590000000000000e+07,-8.977240000000000464e+01
6.632769999999999300e+01,6.915540000000000000e+07,-1.234819999999999993e+02
7.272729999999999961e+01,8.454490000000000000e+07,-9.970699999999999363e+01
7.976600000000000534e+01,6.400710000000000000e+07,-8.428130000000000166e+01
8.743810000000000571e+01,4.583890000000000000e+07,-8.036129999999999995e+01
9.587730000000000530e+01,4.600240000000000000e+07,-7.672990000000000066e+01
1.051520000000000010e+02,4.218070000000000000e+07,-8.008530000000000371e+01
1.153400000000000034e+02,4.426060000000000000e+07,-9.620619999999999550e+01
1.265289999999999964e+02,4.691970000000000000e+07,-1.202450000000000045e+02
1.386959999999999980e+02,5.723360000000000000e+07,-7.243030000000000257e+01
1.521299999999999955e+02,3.945020000000000000e+07,-8.359659999999999513e+01
1.667589999999999861e+02,3.089160000000000000e+07,-8.804259999999999309e+01
1.828149999999999977e+02,2.677440000000000000e+07,-9.497530000000000427e+01
2.006690000000000111e+02,2.270000000000000000e+07,-8.637319999999999709e+01
2.199410000000000025e+02,2.396890000000000000e+07,-8.487529999999999575e+01
2.413520000000000039e+02,2.299010000000000000e+07,-8.766859999999999786e+01
2.645500000000000114e+02,1.928700000000000000e+07,-8.127679999999999438e+01
2.901349999999999909e+02,1.782880000000000000e+07,-8.874769999999999470e+01
