# Tue Sep  5 16:08:18 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
3.608809999999999718e+01,7.954100000000000000e+05,1.145540000000000020e+02
3.642099999999999937e+01,2.310200000000000000e+06,2.957529999999999859e+01
3.676019999999999754e+01,1.420250000000000000e+06,1.242540000000000049e+02
3.710119999999999862e+01,1.121480000000000000e+06,-4.833250000000000313e+01
3.743919999999999959e+01,1.447630000000000000e+06,5.014269999999999783e+01
3.778810000000000002e+01,1.812000000000000000e+06,-8.235099999999999909e+01
3.814370000000000260e+01,5.461550000000000000e+05,-7.459459999999999980e+00
3.849110000000000298e+01,3.794410000000000000e+05,-7.251309999999999434e+01
3.884499999999999886e+01,3.007380000000000000e+05,-4.233229999999999649e+01
3.920539999999999736e+01,5.510320000000000000e+05,1.401069999999999993e+02
3.956739999999999924e+01,3.538180000000000000e+05,-2.832759999999999945e+00
3.993610000000000326e+01,2.610320000000000000e+05,-4.607420000000000293e+00
4.030630000000000024e+01,2.077120000000000000e+05,1.098840000000000003e+02
4.068350000000000222e+01,2.470340000000000000e+05,-1.677030000000000030e+02
4.105649999999999977e+01,2.221060000000000000e+05,4.026239999999999952e+01
4.143650000000000233e+01,2.198280000000000000e+05,2.096819999999999951e+01
4.182350000000000279e+01,5.045240000000000000e+05,-8.415609999999999502e+01
4.221189999999999998e+01,8.839060000000000000e+05,-1.000180000000000007e+02
4.260150000000000148e+01,3.345910000000000000e+05,6.415970000000000084e+01
4.299230000000000018e+01,3.730120000000000000e+05,5.985340000000000060e+01
4.339020000000000010e+01,3.044700000000000000e+05,-1.486649999999999920e+02
4.380199999999999960e+01,5.937400000000000000e+05,1.166520000000000010e+02
4.420219999999999771e+01,5.878920000000000000e+05,1.774499999999999886e+02
4.461630000000000251e+01,5.079420000000000000e+05,8.419350000000000023e+01
4.501800000000000068e+01,5.449270000000000000e+05,6.693120000000000402e+01
4.544769999999999754e+01,3.573390000000000000e+05,-1.679679999999999893e+02
4.586449999999999960e+01,1.689430000000000000e+06,4.587819999999999965e+01
4.628199999999999648e+01,2.187940000000000000e+05,-1.401659999999999968e+02
4.671439999999999770e+01,2.427640000000000000e+05,7.732670000000000243e+01
4.715500000000000114e+01,3.643630000000000000e+05,9.628059999999999619e+00
4.758129999999999882e+01,3.981380000000000000e+05,-1.753369999999999891e+02
4.802309999999999945e+01,2.998400000000000000e+05,-1.627649999999999864e+02
4.846529999999999916e+01,2.401960000000000000e+05,-1.324079999999999870e+02
