# Frecuencia [Hz], Z [Ohm], Fase []
7.141160000000000707e+01,5.673000000000000000e+05,-4.622530000000000250e+00
7.272729999999999961e+01,5.710910000000000000e+05,-4.646620000000000417e+00
7.407410000000000139e+01,5.750930000000000000e+05,-4.577860000000000262e+00
7.547169999999999845e+01,5.689500000000000000e+05,-4.315979999999999706e+00
7.688370000000000459e+01,5.709600000000000000e+05,-4.279169999999999696e+00
7.828810000000000002e+01,5.725540000000000000e+05,-4.535429999999999851e+00
7.976600000000000534e+01,5.723740000000000000e+05,-4.980979999999999741e+00
8.125679999999999836e+01,5.662030000000000000e+05,-4.390880000000000116e+00
8.275860000000000127e+01,5.800730000000000000e+05,-5.209270000000000067e+00
8.429330000000000211e+01,5.793040000000000000e+05,-5.115240000000000009e+00
8.586150000000000659e+01,5.664070000000000000e+05,-5.026909999999999989e+00
8.743810000000000571e+01,5.668600000000000000e+05,-4.630939999999999834e+00
8.910009999999999764e+01,5.625170000000000000e+05,-5.192569999999999908e+00
9.074410000000000309e+01,5.731620000000000000e+05,-5.025179999999999758e+00
9.242140000000000555e+01,5.610260000000000000e+05,-5.926650000000000418e+00
9.413240000000000407e+01,5.610930000000000000e+05,-6.495359999999999800e+00
9.587730000000000530e+01,5.616100000000000000e+05,-6.608299999999999841e+00
9.768800000000000239e+01,5.509130000000000000e+05,-6.529659999999999798e+00
9.950249999999999773e+01,5.576360000000000000e+05,-7.411900000000000155e+00
1.013509999999999991e+02,5.538520000000000000e+05,-7.111250000000000071e+00
1.032699999999999960e+02,5.459030000000000000e+05,-7.354400000000000048e+00
1.051520000000000010e+02,5.614220000000000000e+05,-7.561209999999999987e+00
1.071430000000000007e+02,5.514500000000000000e+05,-7.394449999999999967e+00
1.091310000000000002e+02,5.540240000000000000e+05,-6.754209999999999603e+00
1.111520000000000010e+02,5.481670000000000000e+05,-7.154250000000000220e+00
1.132500000000000000e+02,5.547290000000000000e+05,-7.962869999999999671e+00
1.153400000000000034e+02,5.451900000000000000e+05,-8.390819999999999723e+00
1.175090000000000003e+02,5.379780000000000000e+05,-7.466599999999999682e+00
1.197129999999999939e+02,5.395180000000000000e+05,-9.061519999999999797e+00
1.218520000000000039e+02,5.634530000000000000e+05,-8.397729999999999251e+00
1.241719999999999970e+02,5.414790000000000000e+05,-7.996830000000000105e+00
1.265289999999999964e+02,5.523710000000000000e+05,-8.029640000000000555e+00
1.288660000000000139e+02,5.489620000000000000e+05,-7.358699999999999797e+00
1.311759999999999877e+02,5.524350000000000000e+05,-9.265750000000000597e+00
1.336299999999999955e+02,5.506010000000000000e+05,-7.321240000000000414e+00
1.361160000000000139e+02,5.504980000000000000e+05,-8.992359999999999687e+00
1.386959999999999980e+02,5.499040000000000000e+05,-9.302179999999999893e+00
1.413089999999999975e+02,5.536800000000000000e+05,-8.374549999999999272e+00
1.439540000000000077e+02,5.501890000000000000e+05,-8.945639999999999148e+00
1.466279999999999859e+02,5.448530000000000000e+05,-8.259209999999999496e+00
1.493280000000000030e+02,5.451750000000000000e+05,-9.732300000000000395e+00
1.521299999999999955e+02,5.461180000000000000e+05,-8.432479999999999976e+00
1.549590000000000032e+02,5.395990000000000000e+05,-8.978369999999999962e+00
1.578950000000000102e+02,5.415270000000000000e+05,-8.565160000000000551e+00
1.607719999999999914e+02,5.536350000000000000e+05,-9.558510000000000062e+00
1.636659999999999968e+02,5.487790000000000000e+05,-8.453060000000000684e+00
1.667589999999999861e+02,5.516230000000000000e+05,-8.889739999999999753e+00
1.698750000000000000e+02,5.585490000000000000e+05,-8.870900000000000674e+00
1.730099999999999909e+02,5.498970000000000000e+05,-9.674409999999999954e+00
1.762630000000000052e+02,5.503790000000000000e+05,-9.257709999999999440e+00
1.795329999999999870e+02,5.542430000000000000e+05,-9.934630000000000294e+00
1.828149999999999977e+02,5.482770000000000000e+05,-1.149060000000000059e+01
1.863350000000000080e+02,5.456700000000000000e+05,-1.109149999999999991e+01
1.897529999999999859e+02,5.620200000000000000e+05,-1.146610000000000085e+01
1.934240000000000066e+02,5.561290000000000000e+05,-1.078710000000000058e+01
1.968499999999999943e+02,5.401170000000000000e+05,-1.240470000000000006e+01
2.006690000000000111e+02,5.259290000000000000e+05,-1.055620000000000047e+01
2.043600000000000136e+02,5.257370000000000000e+05,-1.182620000000000005e+01
2.080440000000000111e+02,5.315780000000000000e+05,-1.151239999999999952e+01
2.118640000000000043e+02,5.421210000000000000e+05,-1.233980000000000032e+01
2.158269999999999982e+02,5.434450000000000000e+05,-1.169609999999999950e+01
2.199410000000000025e+02,5.368170000000000000e+05,-1.191830000000000034e+01
2.242150000000000034e+02,5.220870000000000000e+05,-1.211400000000000077e+01
2.283110000000000070e+02,5.180810000000000000e+05,-1.277219999999999978e+01
2.323779999999999859e+02,5.401920000000000000e+05,-1.277430000000000021e+01
2.369670000000000130e+02,5.279870000000000000e+05,-1.387579999999999991e+01
2.413520000000000039e+02,5.284320000000000000e+05,-1.391039999999999921e+01
2.456999999999999886e+02,5.362830000000000000e+05,-1.300099999999999945e+01
2.504170000000000016e+02,5.260220000000000000e+05,-1.401239999999999952e+01
