# Frecuencia [Hz], Z [Ohm], Fase []
4.761899999999999636e+03,9.680630000000000291e+04,-8.683790000000000475e+01
4.918029999999999745e+03,9.384069999999999709e+04,-8.667050000000000409e+01
5.172409999999999854e+03,8.943580000000000291e+04,-8.667990000000000350e+01
5.357140000000000327e+03,8.626250000000000000e+04,-8.664619999999999322e+01
5.555560000000000400e+03,8.325969999999999709e+04,-8.677309999999999945e+01
5.769229999999999563e+03,8.023080000000000291e+04,-8.669060000000000343e+01
5.882350000000000364e+03,7.885660000000000582e+04,-8.664000000000000057e+01
6.250000000000000000e+03,7.434030000000000291e+04,-8.670159999999999911e+01
6.521739999999999782e+03,7.136669999999999709e+04,-8.658079999999999643e+01
6.818180000000000291e+03,6.824919999999999709e+04,-8.656719999999999970e+01
6.976739999999999782e+03,6.677989999999999418e+04,-8.656759999999999877e+01
7.317069999999999709e+03,6.383059999999999854e+04,-8.652110000000000412e+01
7.894739999999999782e+03,5.912419999999999709e+04,-8.652710000000000434e+01
8.333329999999999927e+03,5.614359999999999854e+04,-8.653879999999999484e+01
8.823530000000000655e+03,5.313490000000000146e+04,-8.638009999999999877e+01
9.375000000000000000e+03,5.003430000000000291e+04,-8.633259999999999934e+01
1.000000000000000000e+04,4.700709999999999854e+04,-8.625780000000000314e+01
1.034479999999999927e+04,4.549419999999999709e+04,-8.620480000000000587e+01
1.111110000000000036e+04,4.241959999999999854e+04,-8.612090000000000600e+01
1.200000000000000000e+04,3.933690000000000146e+04,-8.599599999999999511e+01
1.363639999999999964e+04,3.475290000000000146e+04,-8.578870000000000573e+01
1.428570000000000073e+04,3.318930000000000291e+04,-8.570839999999999748e+01
1.666670000000000073e+04,2.854879999999999927e+04,-8.538710000000000377e+01
1.875000000000000000e+04,2.546550000000000000e+04,-8.509999999999999432e+01
2.000000000000000000e+04,2.390940000000000146e+04,-8.492230000000000700e+01
2.307690000000000146e+04,2.079020000000000073e+04,-8.447549999999999670e+01
2.727270000000000073e+04,1.767320000000000073e+04,-8.390349999999999397e+01
2.857140000000000146e+04,1.689909999999999854e+04,-8.370720000000000027e+01
3.157890000000000146e+04,1.532879999999999927e+04,-8.329689999999999372e+01
