# {time.ctime()}
#  Frecuencia [Hz], Z [Ohm], Fase []
4.120880000000000223e+02,2.904670000000000073e+04,-7.130440000000000389e-02
4.195799999999999841e+02,2.905170000000000073e+04,-8.645890000000000519e-02
4.273500000000000227e+02,2.904579999999999927e+04,-8.086519999999999819e-02
4.360470000000000255e+02,2.904059999999999854e+04,-5.620039999999999758e-02
4.431309999999999718e+02,2.904740000000000146e+04,-4.381480000000000097e-02
4.518070000000000164e+02,2.901509999999999854e+04,-6.648179999999999368e-02
4.608290000000000077e+02,2.905400000000000000e+04,-8.579370000000000052e-02
4.687500000000000000e+02,2.907359999999999854e+04,-7.819919999999999649e-02
4.777069999999999936e+02,2.903870000000000073e+04,-4.984729999999999717e-02
4.870129999999999768e+02,2.905109999999999854e+04,-7.211389999999999467e-02
4.950489999999999782e+02,2.904809999999999854e+04,-6.849439999999999695e-02
5.050509999999999877e+02,2.900979999999999927e+04,-4.569419999999999732e-02
5.145800000000000409e+02,2.904309999999999854e+04,-8.041399999999999937e-02
5.235599999999999454e+02,2.905540000000000146e+04,-7.341459999999999653e-02
5.338079999999999927e+02,2.907279999999999927e+04,-9.499520000000000186e-02
5.434779999999999518e+02,2.907059999999999854e+04,-9.262370000000000325e-02
5.545289999999999964e+02,2.908770000000000073e+04,-8.881039999999999768e-02
5.649719999999999800e+02,2.907340000000000146e+04,-1.104340000000000044e-01
5.747129999999999654e+02,2.908490000000000146e+04,-8.798609999999999765e-02
5.847949999999999591e+02,2.906620000000000073e+04,-1.158239999999999964e-01
5.952380000000000564e+02,2.908940000000000146e+04,-7.698349999999999638e-02
6.072870000000000346e+02,2.906950000000000000e+04,-1.107630000000000003e-01
6.198350000000000364e+02,2.905720000000000073e+04,-9.879559999999999731e-02
6.302519999999999527e+02,2.908390000000000146e+04,-1.326650000000000051e-01
6.423980000000000246e+02,2.910570000000000073e+04,-1.648870000000000058e-01
6.550220000000000482e+02,2.908050000000000000e+04,-1.058510000000000006e-01
6.651879999999999882e+02,2.906870000000000073e+04,-1.366630000000000067e-01
6.787329999999999472e+02,2.908690000000000146e+04,-1.269240000000000090e-01
6.896549999999999727e+02,2.909829999999999927e+04,-1.134030000000000038e-01
7.025760000000000218e+02,2.908809999999999854e+04,-1.473119999999999985e-01
7.159900000000000091e+02,2.907090000000000146e+04,-1.198980000000000046e-01
7.299270000000000209e+02,2.903959999999999854e+04,-1.261750000000000094e-01
7.425739999999999554e+02,2.905890000000000146e+04,-1.296269999999999922e-01
7.594940000000000282e+02,2.902109999999999854e+04,-1.453639999999999932e-01
7.712079999999999700e+02,2.903390000000000146e+04,-1.167220000000000063e-01
7.853400000000000318e+02,2.903690000000000146e+04,-1.522920000000000107e-01
8.000000000000000000e+02,2.902450000000000000e+04,-1.197730000000000045e-01
8.152169999999999845e+02,2.902450000000000000e+04,-1.393280000000000074e-01
8.333329999999999700e+02,2.903450000000000000e+04,-1.336710000000000120e-01
8.450700000000000500e+02,2.903670000000000073e+04,-1.328920000000000101e-01
8.620689999999999600e+02,2.904070000000000073e+04,-1.314210000000000100e-01
8.771929999999999836e+02,2.904020000000000073e+04,-1.426350000000000118e-01
8.928569999999999709e+02,2.904090000000000146e+04,-1.309230000000000116e-01
9.118540000000000418e+02,2.902850000000000000e+04,-1.367049999999999932e-01
9.316770000000000209e+02,2.905120000000000073e+04,-1.443240000000000078e-01
9.463719999999999573e+02,2.904409999999999854e+04,-1.252040000000000097e-01
9.615380000000000109e+02,2.902800000000000000e+04,-1.483389999999999986e-01
9.803920000000000528e+02,2.904709999999999854e+04,-1.483470000000000066e-01
1.000000000000000000e+03,2.907720000000000073e+04,-1.367420000000000024e-01
1.020409999999999968e+03,2.905270000000000073e+04,-1.813559999999999894e-01
1.038059999999999945e+03,2.906300000000000000e+04,-1.732249999999999901e-01
1.060069999999999936e+03,2.907840000000000146e+04,-1.704519999999999924e-01
1.079140000000000100e+03,2.905120000000000073e+04,-1.159209999999999963e-01
1.094890000000000100e+03,2.905379999999999927e+04,-1.826470000000000038e-01
1.115240000000000009e+03,2.905820000000000073e+04,-1.465049999999999963e-01
1.136359999999999900e+03,2.904459999999999854e+04,-1.703129999999999922e-01
1.158299999999999955e+03,2.906390000000000146e+04,-1.490100000000000036e-01
1.181099999999999909e+03,2.906479999999999927e+04,-1.702220000000000122e-01
1.200000000000000000e+03,2.905850000000000000e+04,-2.330679999999999974e-01
1.229509999999999991e+03,2.905559999999999854e+04,-1.642540000000000111e-01
1.244809999999999945e+03,2.906009999999999854e+04,-1.797459999999999891e-01
1.276599999999999909e+03,2.905370000000000073e+04,-1.948759999999999937e-01
1.293099999999999909e+03,2.906350000000000000e+04,-1.575449999999999906e-01
1.321589999999999918e+03,2.905479999999999927e+04,-2.049050000000000038e-01
1.345289999999999964e+03,2.903459999999999854e+04,-1.870479999999999920e-01
1.369859999999999900e+03,2.902590000000000146e+04,-1.844149999999999956e-01
1.401869999999999891e+03,2.903190000000000146e+04,-1.962180000000000035e-01
1.421799999999999955e+03,2.903150000000000000e+04,-1.869020000000000126e-01
1.449279999999999973e+03,2.902670000000000073e+04,-1.885640000000000094e-01
1.477829999999999927e+03,2.902259999999999854e+04,-2.002619999999999956e-01
1.500000000000000000e+03,2.902040000000000146e+04,-2.563119999999999843e-01
1.530609999999999900e+03,2.903109999999999854e+04,-2.274599999999999955e-01
1.554400000000000091e+03,2.902709999999999854e+04,-2.328419999999999934e-01
1.587299999999999955e+03,2.903829999999999927e+04,-2.093309999999999893e-01
1.612900000000000091e+03,2.901679999999999927e+04,-2.259970000000000034e-01
1.648349999999999909e+03,2.902279999999999927e+04,-2.179470000000000018e-01
1.685390000000000100e+03,2.902070000000000073e+04,-2.445360000000000034e-01
1.714289999999999964e+03,2.903170000000000073e+04,-2.246390000000000053e-01
1.734099999999999909e+03,2.904309999999999854e+04,-2.354479999999999906e-01
1.785710000000000036e+03,2.903779999999999927e+04,-2.317039999999999933e-01
1.818180000000000064e+03,2.905459999999999854e+04,-2.293870000000000076e-01
1.840490000000000009e+03,2.902000000000000000e+04,-2.519179999999999753e-01
1.875000000000000000e+03,2.902470000000000073e+04,-2.625109999999999943e-01
1.923079999999999927e+03,2.902179999999999927e+04,-2.465529999999999944e-01
1.948049999999999955e+03,2.903220000000000073e+04,-2.506019999999999914e-01
1.973680000000000064e+03,2.902159999999999854e+04,-2.698909999999999920e-01
2.013420000000000073e+03,2.900729999999999927e+04,-2.420249999999999901e-01
2.054789999999999964e+03,2.901379999999999927e+04,-2.471099999999999963e-01
2.097900000000000091e+03,2.901550000000000000e+04,-2.737769999999999926e-01
2.142860000000000127e+03,2.902209999999999854e+04,-2.690379999999999994e-01
2.173909999999999854e+03,2.904440000000000146e+04,-2.725360000000000005e-01
2.205880000000000109e+03,2.902359999999999854e+04,-3.118400000000000061e-01
2.272730000000000018e+03,2.902850000000000000e+04,-3.107579999999999787e-01
2.307690000000000055e+03,2.904020000000000073e+04,-3.117920000000000136e-01
2.343750000000000000e+03,2.903340000000000146e+04,-3.345290000000000208e-01
2.380949999999999818e+03,2.904859999999999854e+04,-3.158719999999999861e-01
2.419349999999999909e+03,2.904200000000000000e+04,-2.794130000000000225e-01
2.500000000000000000e+03,2.906800000000000000e+04,-3.672690000000000121e-01
2.542369999999999891e+03,2.906590000000000146e+04,-3.070160000000000111e-01
2.564099999999999909e+03,2.908050000000000000e+04,-3.419499999999999762e-01
2.631579999999999927e+03,2.906900000000000000e+04,-3.355560000000000209e-01
2.678570000000000164e+03,2.910979999999999927e+04,-3.573490000000000277e-01
2.702699999999999818e+03,2.911220000000000073e+04,-3.581300000000000039e-01
2.752289999999999964e+03,2.911220000000000073e+04,-3.427399999999999891e-01
2.830190000000000055e+03,2.908740000000000146e+04,-3.531580000000000275e-01
2.857139999999999873e+03,2.909720000000000073e+04,-3.384440000000000226e-01
2.912619999999999891e+03,2.908559999999999854e+04,-3.779580000000000162e-01
3.000000000000000000e+03,2.906229999999999927e+04,-3.963220000000000076e-01
3.030300000000000182e+03,2.909650000000000000e+04,-3.824230000000000129e-01
3.092780000000000200e+03,2.909750000000000000e+04,-4.021980000000000000e-01
3.157889999999999873e+03,2.909790000000000146e+04,-4.159269999999999912e-01
3.260869999999999891e+03,2.909379999999999927e+04,-4.081119999999999748e-01
3.296699999999999818e+03,2.909690000000000146e+04,-4.429009999999999891e-01
3.409090000000000146e+03,2.909720000000000073e+04,-4.466370000000000062e-01
3.488369999999999891e+03,2.911590000000000146e+04,-4.511749999999999927e-01
3.529409999999999854e+03,2.911459999999999854e+04,-4.488909999999999845e-01
3.658539999999999964e+03,2.910040000000000146e+04,-4.776969999999999827e-01
3.703699999999999818e+03,2.909400000000000000e+04,-4.785460000000000269e-01
3.846150000000000091e+03,2.909790000000000146e+04,-5.074499999999999567e-01
3.896099999999999909e+03,2.910159999999999854e+04,-5.073950000000000404e-01
4.000000000000000000e+03,2.908679999999999927e+04,-5.009850000000000136e-01
4.166670000000000073e+03,2.907900000000000000e+04,-5.266159999999999730e-01
4.225350000000000364e+03,2.909909999999999854e+04,-5.315339999999999510e-01
4.411760000000000218e+03,2.907870000000000073e+04,-5.426210000000000200e-01
4.477609999999999673e+03,2.906120000000000073e+04,-5.621279999999999610e-01
4.615380000000000109e+03,2.908609999999999854e+04,-5.681030000000000246e-01
4.761899999999999636e+03,2.907859999999999854e+04,-5.955840000000000023e-01
4.918029999999999745e+03,2.906950000000000000e+04,-6.001349999999999740e-01
5.172409999999999854e+03,2.907570000000000073e+04,-6.080210000000000337e-01
5.357140000000000327e+03,2.907390000000000146e+04,-6.369989999999999819e-01
5.555560000000000400e+03,2.907329999999999927e+04,-6.498289999999999900e-01
5.769229999999999563e+03,2.908950000000000000e+04,-6.811139999999999972e-01
5.882350000000000364e+03,2.909120000000000073e+04,-7.052509999999999613e-01
6.250000000000000000e+03,2.912570000000000073e+04,-7.501710000000000322e-01
6.521739999999999782e+03,2.915890000000000146e+04,-8.049910000000000121e-01
6.818180000000000291e+03,2.913990000000000146e+04,-7.929969999999999519e-01
6.976739999999999782e+03,2.912909999999999854e+04,-8.319349999999999801e-01
7.317069999999999709e+03,2.910350000000000000e+04,-8.712100000000000399e-01
7.894739999999999782e+03,2.913650000000000000e+04,-9.647280000000000300e-01
8.333329999999999927e+03,2.914650000000000000e+04,-1.008510000000000018e+00
8.823530000000000655e+03,2.913809999999999854e+04,-1.006089999999999929e+00
9.375000000000000000e+03,2.914590000000000146e+04,-1.085569999999999924e+00
1.000000000000000000e+04,2.914559999999999854e+04,-1.174909999999999899e+00
1.034479999999999927e+04,2.917859999999999854e+04,-1.200819999999999999e+00
1.111110000000000036e+04,2.913559999999999854e+04,-1.245519999999999960e+00
1.200000000000000000e+04,2.920120000000000073e+04,-1.391629999999999923e+00
1.363639999999999964e+04,2.914509999999999854e+04,-1.543309999999999960e+00
1.428570000000000073e+04,2.912279999999999927e+04,-1.605809999999999960e+00
1.666670000000000073e+04,2.909770000000000073e+04,-1.907629999999999937e+00
1.875000000000000000e+04,2.906420000000000073e+04,-2.109780000000000211e+00
2.000000000000000000e+04,2.906079999999999927e+04,-2.265309999999999935e+00
2.307690000000000146e+04,2.902920000000000073e+04,-2.630799999999999805e+00
2.727270000000000073e+04,2.901300000000000000e+04,-3.014299999999999979e+00
2.857140000000000146e+04,2.900220000000000073e+04,-3.143870000000000164e+00
3.157890000000000146e+04,2.903100000000000000e+04,-3.424529999999999852e+00
3.529409999999999854e+04,2.899479999999999927e+04,-3.881720000000000059e+00
4.000000000000000000e+04,2.895240000000000146e+04,-4.337620000000000253e+00
4.615380000000000291e+04,2.887959999999999854e+04,-5.020389999999999908e+00
5.217390000000000146e+04,2.883500000000000000e+04,-5.654720000000000191e+00
6.000000000000000000e+04,2.874970000000000073e+04,-6.397940000000000182e+00
6.666669999999999709e+04,2.872129999999999927e+04,-7.029659999999999798e+00
7.058819999999999709e+04,2.868079999999999927e+04,-7.433860000000000134e+00
8.000000000000000000e+04,2.853590000000000146e+04,-8.339430000000000121e+00
1.000000000000000000e+05,2.834059999999999854e+04,-1.011090000000000089e+01
1.090910000000000000e+05,2.825990000000000146e+04,-1.086180000000000057e+01
1.200000000000000000e+05,2.811320000000000073e+04,-1.176640000000000086e+01
1.333330000000000000e+05,2.788359999999999854e+04,-1.274499999999999922e+01
1.411760000000000000e+05,2.784120000000000073e+04,-1.343299999999999983e+01
1.600000000000000000e+05,2.756429999999999927e+04,-1.478560000000000052e+01
1.846150000000000000e+05,2.727670000000000073e+04,-1.632639999999999958e+01
