# Frecuencia [Hz], Z [Ohm], Fase []
4.339020000000000010e+01,4.905100000000000000e+05,-8.675549999999999651e-01
4.420219999999999771e+01,5.082110000000000000e+05,-2.371490000000000098e+00
4.501800000000000068e+01,5.268190000000000000e+05,-2.312689999999999912e+00
4.586449999999999960e+01,5.204000000000000000e+05,-2.751349999999999962e+00
4.671439999999999770e+01,5.246320000000000000e+05,-1.093529999999999891e+00
4.758129999999999882e+01,4.910410000000000000e+05,-4.159550000000000303e+00
4.846529999999999916e+01,5.112530000000000000e+05,-1.227270000000000083e+00
4.936650000000000205e+01,4.872170000000000000e+05,-1.933619999999999894e+00
5.029339999999999833e+01,4.789180000000000000e+05,-3.699110000000000120e+00
5.122950000000000159e+01,4.952010000000000000e+05,-3.360160000000000036e+00
5.218299999999999983e+01,4.806030000000000000e+05,-3.096600000000000019e+00
5.314439999999999742e+01,4.955090000000000000e+05,-3.320129999999999804e+00
5.415160000000000196e+01,4.976860000000000000e+05,-3.867039999999999811e+00
5.514710000000000178e+01,5.034290000000000000e+05,-3.254280000000000062e+00
5.616929999999999978e+01,4.945390000000000000e+05,-2.804679999999999840e+00
5.721920000000000073e+01,4.902910000000000000e+05,-2.972679999999999989e+00
5.828640000000000043e+01,4.929730000000000000e+05,-3.343240000000000212e+00
5.938239999999999696e+01,4.724920000000000000e+05,-3.443859999999999921e+00
6.048389999999999844e+01,5.016140000000000000e+05,-3.888049999999999784e+00
6.161430000000000007e+01,4.207280000000000000e+05,-1.865250000000000075e+00
6.274839999999999662e+01,4.265860000000000000e+05,-2.284120000000000150e+00
6.391140000000000043e+01,4.754380000000000000e+05,-4.680039999999999978e+00
6.510420000000000584e+01,4.672280000000000000e+05,-2.071120000000000072e+00
6.632769999999999300e+01,4.838990000000000000e+05,-5.162740000000000329e+00
6.755240000000000578e+01,4.532600000000000000e+05,-3.152690000000000214e+00
6.880729999999999791e+01,4.408770000000000000e+05,-3.160460000000000047e+00
7.007710000000000150e+01,4.707410000000000000e+05,-4.043269999999999698e+00
7.141160000000000707e+01,4.630300000000000000e+05,-1.630640000000000089e+00
7.272729999999999961e+01,4.859640000000000000e+05,-1.911059999999999981e+00
7.407410000000000139e+01,4.673590000000000000e+05,-3.107380000000000031e+00
7.547169999999999845e+01,4.676970000000000000e+05,-2.282049999999999912e+00
7.688370000000000459e+01,4.947370000000000000e+05,-2.763729999999999798e+00
7.828810000000000002e+01,4.905170000000000000e+05,-3.712359999999999882e+00
7.976600000000000534e+01,4.995000000000000000e+05,-3.675899999999999945e+00
8.125679999999999836e+01,4.798730000000000000e+05,-4.016280000000000072e+00
8.275860000000000127e+01,4.907330000000000000e+05,-4.992070000000000007e+00
8.429330000000000211e+01,5.042230000000000000e+05,-3.319179999999999797e+00
8.586150000000000659e+01,4.682200000000000000e+05,-4.171859999999999680e+00
8.743810000000000571e+01,4.812840000000000000e+05,-4.793949999999999712e+00
8.910009999999999764e+01,4.678290000000000000e+05,-5.152890000000000192e+00
9.074410000000000309e+01,4.831130000000000000e+05,-4.783430000000000071e+00
9.242140000000000555e+01,4.970370000000000000e+05,-4.525360000000000049e+00
