# Capacitor de 0.47 nF en serie con resistencia de 29 kOhm. Frecuencia fija en 1 kHz 
#  Z [Ohm], Fase [°]
2.000000000000000000e+01,3.314950000000000000e+04,-3.206230000000000047e+01
2.037349999999999994e+01,3.297930000000000291e+04,-3.158840000000000003e+01
2.075260000000000105e+01,3.281469999999999709e+04,-3.111919999999999931e+01
2.114020000000000010e+01,3.265459999999999854e+04,-3.065190000000000126e+01
2.153320000000000078e+01,3.250040000000000146e+04,-3.019290000000000163e+01
2.193459999999999965e+01,3.235129999999999927e+04,-2.973209999999999908e+01
2.234299999999999997e+01,3.220659999999999854e+04,-2.928209999999999980e+01
2.275829999999999842e+01,3.206650000000000000e+04,-2.883259999999999934e+01
2.318209999999999837e+01,3.192959999999999854e+04,-2.839020000000000010e+01
2.361459999999999937e+01,3.179829999999999927e+04,-2.794969999999999999e+01
2.405580000000000140e+01,3.167100000000000000e+04,-2.751330000000000098e+01
2.450379999999999825e+01,3.154790000000000146e+04,-2.708249999999999957e+01
2.496049999999999969e+01,3.142870000000000073e+04,-2.665719999999999956e+01
2.542589999999999861e+01,3.131350000000000000e+04,-2.623549999999999827e+01
2.589780000000000015e+01,3.120250000000000000e+04,-2.581970000000000098e+01
2.638060000000000116e+01,3.109470000000000073e+04,-2.540909999999999869e+01
2.687209999999999965e+01,3.099020000000000073e+04,-2.500179999999999936e+01
2.737229999999999919e+01,3.088979999999999927e+04,-2.460099999999999909e+01
2.788360000000000127e+01,3.079250000000000000e+04,-2.420410000000000039e+01
2.840099999999999980e+01,3.069729999999999927e+04,-2.380999999999999872e+01
2.893240000000000123e+01,3.060600000000000000e+04,-2.342510000000000048e+01
2.946950000000000003e+01,3.051829999999999927e+04,-2.304100000000000037e+01
3.001800000000000068e+01,3.043429999999999927e+04,-2.266410000000000124e+01
3.057789999999999964e+01,3.035190000000000146e+04,-2.228940000000000055e+01
3.114939999999999998e+01,3.027290000000000146e+04,-2.191890000000000072e+01
3.172919999999999874e+01,3.019559999999999854e+04,-2.155470000000000041e+01
3.232059999999999889e+01,3.011959999999999854e+04,-2.119729999999999848e+01
3.292000000000000171e+01,3.005070000000000073e+04,-2.083879999999999910e+01
3.353450000000000131e+01,2.997879999999999927e+04,-2.050199999999999889e+01
3.416080000000000183e+01,2.991170000000000073e+04,-2.014789999999999992e+01
3.479869999999999663e+01,2.985040000000000146e+04,-1.981159999999999854e+01
3.544420000000000215e+01,2.978570000000000073e+04,-1.947500000000000142e+01
3.610540000000000305e+01,2.972650000000000000e+04,-1.914870000000000161e+01
3.677819999999999823e+01,2.966840000000000146e+04,-1.882019999999999982e+01
3.746249999999999858e+01,2.961259999999999854e+04,-1.850090000000000146e+01
3.815820000000000078e+01,2.956000000000000000e+04,-1.819150000000000134e+01
3.887019999999999698e+01,2.950559999999999854e+04,-1.788459999999999894e+01
3.959349999999999881e+01,2.945120000000000073e+04,-1.756990000000000052e+01
4.033339999999999748e+01,2.940729999999999927e+04,-1.726030000000000086e+01
4.108460000000000178e+01,2.935770000000000073e+04,-1.697810000000000130e+01
4.185269999999999868e+01,2.931620000000000073e+04,-1.667220000000000013e+01
4.263179999999999836e+01,2.927009999999999854e+04,-1.638690000000000069e+01
4.342159999999999798e+01,2.922859999999999854e+04,-1.610620000000000118e+01
4.423469999999999658e+01,2.918659999999999854e+04,-1.582900000000000063e+01
4.505859999999999843e+01,2.914690000000000146e+04,-1.555530000000000079e+01
4.589959999999999951e+01,2.910900000000000000e+04,-1.528400000000000070e+01
4.675079999999999814e+01,2.907140000000000146e+04,-1.502410000000000068e+01
4.761899999999999977e+01,2.903509999999999854e+04,-1.475820000000000043e+01
4.851230000000000331e+01,2.900250000000000000e+04,-1.450660000000000061e+01
4.941530000000000200e+01,2.896790000000000146e+04,-1.424109999999999943e+01
5.033559999999999945e+01,2.893500000000000000e+04,-1.399360000000000070e+01
5.127329999999999899e+01,2.891300000000000000e+04,-1.375319999999999965e+01
5.222840000000000060e+01,2.888270000000000073e+04,-1.351360000000000028e+01
5.320089999999999719e+01,2.884559999999999854e+04,-1.326379999999999981e+01
5.419080000000000297e+01,2.881879999999999927e+04,-1.303020000000000067e+01
5.519780000000000086e+01,2.879679999999999927e+04,-1.281010000000000026e+01
5.623239999999999839e+01,2.876970000000000073e+04,-1.257799999999999940e+01
5.727380000000000138e+01,2.874390000000000146e+04,-1.235590000000000011e+01
5.834309999999999974e+01,2.871929999999999927e+04,-1.213700000000000045e+01
5.942949999999999733e+01,2.869790000000000146e+04,-1.192309999999999981e+01
6.054489999999999839e+01,2.867100000000000000e+04,-1.170139999999999958e+01
6.166499999999999915e+01,2.865079999999999927e+04,-1.149579999999999913e+01
6.281410000000000338e+01,2.862720000000000073e+04,-1.129010000000000069e+01
6.397950000000000159e+01,2.861540000000000146e+04,-1.110219999999999985e+01
6.517489999999999384e+01,2.858770000000000073e+04,-1.089780000000000015e+01
6.638639999999999475e+01,2.856959999999999854e+04,-1.070010000000000083e+01
6.762850000000000250e+01,2.855229999999999927e+04,-1.051660000000000039e+01
6.888630000000000564e+01,2.854179999999999927e+04,-1.032620000000000005e+01
7.017539999999999623e+01,2.851959999999999854e+04,-1.013519999999999932e+01
7.147960000000000491e+01,2.850979999999999927e+04,-9.955460000000000420e+00
7.281550000000000011e+01,2.848850000000000000e+04,-9.782890000000000086e+00
7.416559999999999775e+01,2.847270000000000073e+04,-9.607100000000000861e+00
7.554770000000000607e+01,2.845959999999999854e+04,-9.432880000000000820e+00
