Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,4e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.5
Label,,
TIME,CH1,CH2
-4.0720e-03,0.04,-0.02
-4.0680e-03,0.12,0
-4.0640e-03,0.04,0
-4.0600e-03,0.08,0.04
-4.0560e-03,0.08,0.02
-4.0520e-03,0.08,0.02
-4.0480e-03,0.04,-0.04
-4.0440e-03,0,-0.04
-4.0400e-03,0.04,0.04
-4.0360e-03,0,0.02
-4.0320e-03,0.08,-0.02
-4.0280e-03,0.04,-0.02
-4.0240e-03,0,-0.02
-4.0200e-03,0,0
-4.0160e-03,0.08,0.02
-4.0120e-03,0.08,-0.02
-4.0080e-03,0.08,-0.02
-4.0040e-03,0,-0.02
-4.0000e-03,0.04,0
-3.9960e-03,0.04,0
-3.9920e-03,0.04,0
-3.9880e-03,0.08,-0.02
-3.9840e-03,0.08,-0.02
-3.9800e-03,0.08,0
-3.9760e-03,0,0
-3.9720e-03,0.04,-0.02
-3.9680e-03,0.08,0
-3.9640e-03,0.04,0
-3.9600e-03,0.12,0
-3.9560e-03,0.04,0.02
-3.9520e-03,0.12,-0.04
-3.9480e-03,0.08,-0.02
-3.9440e-03,0.12,-0.04
-3.9400e-03,0.08,0
-3.9360e-03,0.08,-0.02
-3.9320e-03,0.08,0
-3.9280e-03,0.04,-0.04
-3.9240e-03,0.04,0
-3.9200e-03,0.04,-0.02
-3.9160e-03,0.04,0
-3.9120e-03,0.08,0
-3.9080e-03,0.08,-0.02
-3.9040e-03,0.08,-0.04
-3.9000e-03,0.12,-0.02
-3.8960e-03,0.04,0.02
-3.8920e-03,0.08,0
-3.8880e-03,0.08,-0.04
-3.8840e-03,0.04,0.02
-3.8800e-03,0.08,0
-3.8760e-03,0.08,0
-3.8720e-03,0.08,-0.02
-3.8680e-03,0,-0.02
-3.8640e-03,0.04,-0.02
-3.8600e-03,0.08,-0.02
-3.8560e-03,0.16,0
-3.8520e-03,0.08,0
-3.8480e-03,0.04,0.02
-3.8440e-03,0.04,0
-3.8400e-03,0.08,-0.06
-3.8360e-03,0.08,0.02
-3.8320e-03,0,-0.02
-3.8280e-03,0,0
-3.8240e-03,0.12,-0.02
-3.8200e-03,0.12,-0.02
-3.8160e-03,0.08,0
-3.8120e-03,0.04,-0.02
-3.8080e-03,0.04,-0.02
-3.8040e-03,0.08,0
-3.8000e-03,0.08,-0.02
-3.7960e-03,0.04,0
-3.7920e-03,0.04,0
-3.7880e-03,0.04,0.02
-3.7840e-03,0.12,0.02
-3.7800e-03,0.04,0
-3.7760e-03,0.08,0.04
-3.7720e-03,0.16,0
-3.7680e-03,0.04,-0.04
-3.7640e-03,0.08,0
-3.7600e-03,0.08,0.02
-3.7560e-03,0.04,-0.02
-3.7520e-03,0.04,0.02
-3.7480e-03,0.08,-0.02
-3.7440e-03,0.04,0.02
-3.7400e-03,0.12,-0.02
-3.7360e-03,0.12,-0.02
-3.7320e-03,0.16,-0.02
-3.7280e-03,0.04,-0.06
-3.7240e-03,0.04,-0.02
-3.7200e-03,0.08,0
-3.7160e-03,0.08,-0.06
-3.7120e-03,0.16,-0.04
-3.7080e-03,0.08,0
-3.7040e-03,0.08,0
-3.7000e-03,0.08,0
-3.6960e-03,0.08,0.04
-3.6920e-03,0.08,-0.02
-3.6880e-03,0.08,-0.02
-3.6840e-03,0.12,-0.02
-3.6800e-03,0.08,-0.02
-3.6760e-03,0.04,0.02
-3.6720e-03,0.04,0.02
-3.6680e-03,0.08,-0.04
-3.6640e-03,0.08,-0.02
-3.6600e-03,0.04,-0.02
-3.6560e-03,0.08,0
-3.6520e-03,0,0
-3.6480e-03,0.12,-0.02
-3.6440e-03,0.08,-0.02
-3.6400e-03,0.16,0
-3.6360e-03,0.08,0
-3.6320e-03,0.12,0
-3.6280e-03,0.12,0
-3.6240e-03,0.04,-0.02
-3.6200e-03,0.04,-0.02
-3.6160e-03,0,-0.02
-3.6120e-03,0.08,0
-3.6080e-03,-0.04,0
-3.6040e-03,0,0
-3.6000e-03,0.04,0.02
-3.5960e-03,0.08,0
-3.5920e-03,0.08,0
-3.5880e-03,0.04,-0.02
-3.5840e-03,0,-0.02
-3.5800e-03,0,0
-3.5760e-03,0.08,-0.02
-3.5720e-03,0.12,-0.02
-3.5680e-03,0.12,0
-3.5640e-03,0.08,-0.02
-3.5600e-03,0.08,-0.02
-3.5560e-03,0.12,-0.02
-3.5520e-03,0.12,-0.02
-3.5480e-03,0.08,0
-3.5440e-03,0.04,-0.02
-3.5400e-03,0.08,0
-3.5360e-03,0.04,-0.02
-3.5320e-03,0.08,-0.02
-3.5280e-03,0.08,0
-3.5240e-03,0.04,0
-3.5200e-03,0.04,0
-3.5160e-03,0.04,0
-3.5120e-03,0.12,0.02
-3.5080e-03,0.12,0
-3.5040e-03,0.12,0.02
-3.5000e-03,0.04,-0.02
-3.4960e-03,0.04,-0.02
-3.4920e-03,0,0
-3.4880e-03,0,0
-3.4840e-03,0.12,0
-3.4800e-03,0.04,0
-3.4760e-03,0.08,-0.02
-3.4720e-03,0,-0.02
-3.4680e-03,0.04,0
-3.4640e-03,0.08,0
-3.4600e-03,0,-0.04
-3.4560e-03,0.04,-0.02
-3.4520e-03,0.08,0
-3.4480e-03,0.04,-0.04
-3.4440e-03,0.04,-0.02
-3.4400e-03,0.04,-0.04
-3.4360e-03,0.08,-0.02
-3.4320e-03,0.08,0.02
-3.4280e-03,0.08,-0.02
-3.4240e-03,0.04,0
-3.4200e-03,0.08,-0.02
-3.4160e-03,0.16,0
-3.4120e-03,0,0
-3.4080e-03,0.04,-0.02
-3.4040e-03,0.04,-0.02
-3.4000e-03,0.08,0
-3.3960e-03,0.04,0
-3.3920e-03,0,0
-3.3880e-03,0,0
-3.3840e-03,0.12,0
-3.3800e-03,0.16,-0.02
-3.3760e-03,0.08,-0.02
-3.3720e-03,0.08,0
-3.3680e-03,0.12,-0.02
-3.3640e-03,0.08,0.02
-3.3600e-03,0.04,0
-3.3560e-03,0.08,0
-3.3520e-03,0.08,0
-3.3480e-03,0.04,0
-3.3440e-03,0.08,0
-3.3400e-03,0.08,0
-3.3360e-03,0.08,-0.02
-3.3320e-03,0.08,0.02
-3.3280e-03,0.08,-0.02
-3.3240e-03,0.12,0
-3.3200e-03,0.08,-0.02
-3.3160e-03,0,0
-3.3120e-03,0.04,-0.02
-3.3080e-03,0.04,0
-3.3040e-03,0.08,0.02
-3.3000e-03,0.08,-0.04
-3.2960e-03,0.04,0.02
-3.2920e-03,0.08,-0.02
-3.2880e-03,0.12,-0.02
-3.2840e-03,0.12,-0.02
-3.2800e-03,0.12,0.02
-3.2760e-03,0,-0.02
-3.2720e-03,0,-0.02
-3.2680e-03,0.08,-0.02
-3.2640e-03,0.08,-0.02
-3.2600e-03,0,0.02
-3.2560e-03,0.08,0
-3.2520e-03,0.04,0.02
-3.2480e-03,0,-0.02
