# Fri Sep 22 16:44:43 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0, T = 0, nplc=0.5
1.997947692871093750e-03,4.000380000000000047e-01,2.119479999999999799e-09
3.807377815246582031e-02,-1.976490000000000113e-05,-1.465089999999999952e-09
5.992889404296875000e-02,4.000290000000000235e-01,4.530549999999999828e-09
8.093070983886718750e-02,9.997899999999999843e-02,1.722489999999999911e-09
1.025509834289550781e-01,4.000319999999999987e-01,7.971899999999999737e-09
1.230096817016601562e-01,1.999680000000000069e-01,4.909399999999999611e-09
1.442601680755615234e-01,4.000400000000000067e-01,9.623929999999999873e-09
1.658778190612792969e-01,2.999899999999999789e-01,7.354940000000000246e-09
1.861703395843505859e-01,4.000400000000000067e-01,9.453420000000000221e-09
2.077097892761230469e-01,4.000389999999999779e-01,9.229289999999999259e-09
2.276408672332763672e-01,4.000369999999999759e-01,9.027859999999999883e-09
2.475345134735107422e-01,5.000360000000000360e-01,1.091559999999999982e-08
2.687044143676757812e-01,4.000319999999999987e-01,8.173740000000000769e-09
2.890279293060302734e-01,6.000670000000000170e-01,1.207249999999999941e-08
3.260016441345214844e-01,4.000319999999999987e-01,6.396059999999999935e-10
3.379971981048583984e-01,7.000709999999999988e-01,7.144390000000000389e-09
3.589820861816406250e-01,4.000299999999999967e-01,3.095809999999999880e-09
3.789694309234619141e-01,8.000899999999999679e-01,1.152870000000000052e-08
3.993773460388183594e-01,4.000290000000000235e-01,3.699140000000000111e-09
4.206235408782958984e-01,9.000690000000000079e-01,1.460980000000000057e-08
4.399271011352539062e-01,4.000330000000000275e-01,4.591179999999999856e-09
4.611117839813232422e-01,1.000099999999999989e+00,1.881190000000000118e-08
4.815931320190429688e-01,4.000340000000000007e-01,5.693550000000000052e-09
5.019350051879882812e-01,1.100079999999999947e+00,2.221809999999999961e-08
5.230398178100585938e-01,4.000299999999999967e-01,8.096209999999999280e-09
5.421009063720703125e-01,1.200099999999999945e+00,2.683640000000000134e-08
5.628800392150878906e-01,4.000330000000000275e-01,7.039499999999999938e-09
5.829484462738037109e-01,1.300079999999999902e+00,2.893459999999999891e-08
6.043057441711425781e-01,4.000330000000000275e-01,9.666820000000000332e-09
6.293826103210449219e-01,1.400090000000000057e+00,3.380780000000000313e-08
6.473712921142578125e-01,4.000380000000000047e-01,9.664549999999999677e-09
6.675965785980224609e-01,1.500059999999999949e+00,3.660089999999999921e-08
6.887099742889404297e-01,4.000409999999999799e-01,7.280080000000000362e-09
7.097539901733398438e-01,1.600109999999999921e+00,5.290240000000000128e-08
7.317686080932617188e-01,4.000560000000000227e-01,1.221189999999999998e-08
7.509150505065917969e-01,1.700110000000000010e+00,5.919359999999999875e-08
7.711253166198730469e-01,4.000589999999999979e-01,9.937859999999999429e-09
7.921061515808105469e-01,1.800110000000000099e+00,5.940419999999999800e-08
8.140182495117187500e-01,4.000469999999999859e-01,7.096020000000000069e-09
8.370037078857421875e-01,1.900079999999999991e+00,6.109189999999999663e-08
8.549933433532714844e-01,4.000509999999999899e-01,6.885079999999999968e-09
8.749823570251464844e-01,2.000070000000000014e+00,6.375259999999999345e-08
8.955094814300537109e-01,4.000449999999999839e-01,6.874410000000000046e-09
9.162557125091552734e-01,2.101140000000000008e+00,7.833910000000000299e-08
9.412097930908203125e-01,4.000409999999999799e-01,1.179209999999999943e-08
9.598073959350585938e-01,2.201060000000000016e+00,8.864930000000000488e-08
9.819254875183105469e-01,4.000400000000000067e-01,1.650830000000000099e-08
1.003043651580810547e+00,2.301340000000000163e+00,9.542290000000000143e-08
1.025749206542968750e+00,4.000489999999999879e-01,1.782059999999999945e-08
1.048536539077758789e+00,2.401190000000000158e+00,8.982349999999999696e-08
1.067760229110717773e+00,4.000549999999999939e-01,1.361049999999999968e-08
1.088908433914184570e+00,2.501459999999999795e+00,8.364200000000000213e-08
1.110827922821044922e+00,4.000509999999999899e-01,8.960499999999999404e-09
1.131988525390625000e+00,2.601290000000000102e+00,7.857249999999999766e-08
1.156177759170532227e+00,4.000489999999999879e-01,6.952750000000000005e-09
1.175476789474487305e+00,2.701540000000000052e+00,8.126350000000000501e-08
1.197655916213989258e+00,4.000409999999999799e-01,1.098509999999999922e-08
1.218689441680908203e+00,2.801369999999999916e+00,8.665700000000000629e-08
1.240813732147216797e+00,4.000380000000000047e-01,1.619459999999999865e-08
1.263731002807617188e+00,2.901260000000000172e+00,9.093879999999999372e-08
1.283034563064575195e+00,4.000440000000000107e-01,1.731559999999999922e-08
1.305212259292602539e+00,3.000710000000000210e+00,1.338659999999999892e-07
1.336009263992309570e+00,4.000409999999999799e-01,-1.696869999999999952e-09
1.413268804550170898e+00,3.100630000000000219e+00,1.710230000000000088e-07
1.446292400360107422e+00,4.000219999999999887e-01,1.628300000000000054e-09
1.522075414657592773e+00,3.200990000000000002e+00,5.287519999999999955e-08
1.554995775222778320e+00,4.000429999999999819e-01,-9.336349999999999508e-10
1.630188465118408203e+00,3.300809999999999800e+00,8.034059999999999613e-08
1.662169933319091797e+00,4.000250000000000195e-01,-2.975460000000000006e-11
1.743022441864013672e+00,3.401050000000000129e+00,6.644150000000000636e-08
1.770935297012329102e+00,4.000420000000000087e-01,6.231670000000000050e-10
1.847340583801269531e+00,3.500960000000000072e+00,5.772749999999999861e-08
1.878341436386108398e+00,4.000349999999999739e-01,-1.810490000000000021e-09
1.956290721893310547e+00,3.601160000000000139e+00,5.833659999999999974e-08
1.987070560455322266e+00,4.000319999999999987e-01,1.988450000000000097e-09
2.064028739929199219e+00,3.701049999999999951e+00,5.715039999999999750e-06
2.110931873321533203e+00,4.000270000000000215e-01,7.579780000000000061e-09
2.184114217758178711e+00,3.800889999999999880e+00,7.057640000000000244e-06
2.227247238159179688e+00,4.000259999999999927e-01,6.820810000000000148e-09
2.306176185607910156e+00,3.901040000000000063e+00,9.099959999999999860e-06
2.346141099929809570e+00,4.000250000000000195e-01,9.523700000000000107e-09
2.422374725341796875e+00,4.000930000000000319e+00,8.617299999999999640e-06
2.466536998748779297e+00,4.000190000000000135e-01,5.163570000000000192e-09
2.542990922927856445e+00,4.101130000000000386e+00,1.104660000000000025e-05
2.596354722976684570e+00,4.000310000000000255e-01,4.888059999999999559e-10
2.678708076477050781e+00,4.200919999999999987e+00,1.346570000000000052e-05
2.726172447204589844e+00,4.000190000000000135e-01,8.647780000000000096e-09
2.822013616561889648e+00,4.300930000000000142e+00,1.677889999999999956e-05
2.864988803863525391e+00,4.000179999999999847e-01,1.070950000000000071e-08
2.943574666976928711e+00,4.400999999999999801e+00,2.191669999999999973e-05
2.994583606719970703e+00,4.000230000000000175e-01,1.165000000000000009e-08
3.074655294418334961e+00,4.501190000000000246e+00,3.271220000000000166e-05
3.124137639999389648e+00,4.000130000000000075e-01,2.925559999999999894e-08
3.205966234207153320e+00,4.601090000000000124e+00,3.845360000000000060e-05
3.254041433334350586e+00,4.000230000000000175e-01,2.179929999999999854e-08
3.333626508712768555e+00,4.700999999999999623e+00,5.173940000000000136e-05
3.383600950241088867e+00,4.000139999999999807e-01,3.880330000000000310e-08
3.462557554244995117e+00,4.801160000000000316e+00,7.220650000000000061e-05
3.549373149871826172e+00,4.000270000000000215e-01,4.717269999999999862e-08
3.626995325088500977e+00,4.901049999999999685e+00,9.450150000000000314e-05
