# Fri Sep 22 16:48:04 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
5.698254346847534180e+00,1.899999999999999911e+00,3.637900000000000021e-09
5.836631298065185547e+00,4.000340000000000007e-01,1.946210000000000045e-09
5.977674961090087891e+00,1.999989999999999934e+00,3.421030000000000128e-09
6.116562128067016602e+00,4.000310000000000255e-01,1.912510000000000047e-09
6.258004188537597656e+00,2.100319999999999965e+00,3.635689999999999881e-09
6.399522304534912109e+00,4.000460000000000127e-01,9.714010000000000869e-10
6.540548324584960938e+00,2.200239999999999974e+00,1.098760000000000040e-09
6.681084394454956055e+00,4.000449999999999839e-01,-4.995579999999999617e-10
6.822337388992309570e+00,2.300510000000000055e+00,-3.152490000000000143e-10
6.963375806808471680e+00,4.000469999999999859e-01,-2.055550000000000000e-09
7.117518663406372070e+00,2.400290000000000035e+00,2.562950000000000130e-09
7.257987499237060547e+00,4.000340000000000007e-01,1.348169999999999905e-09
7.399691820144653320e+00,2.500570000000000181e+00,1.421730000000000011e-09
7.540529012680053711e+00,4.000429999999999819e-01,-4.828330000000000014e-10
7.680583477020263672e+00,2.600420000000000176e+00,6.622550000000000049e-10
7.821014404296875000e+00,4.000420000000000087e-01,-8.531569999999999522e-10
7.960530996322631836e+00,2.700660000000000061e+00,6.007789999999999579e-10
8.102076053619384766e+00,4.000380000000000047e-01,-1.711689999999999907e-09
8.242247343063354492e+00,2.800559999999999938e+00,-8.513570000000000204e-10
8.382711410522460938e+00,4.000429999999999819e-01,-2.024170000000000052e-09
8.522365331649780273e+00,2.900459999999999816e+00,8.736369999999999683e-10
8.677687644958496094e+00,4.000340000000000007e-01,8.746029999999999834e-10
8.818454265594482422e+00,3.000659999999999883e+00,7.346379999999999606e-09
8.960480690002441406e+00,4.000420000000000087e-01,-1.391020000000000021e-09
9.101604223251342773e+00,3.100530000000000008e+00,3.640790000000000204e-09
9.244055747985839844e+00,4.000360000000000027e-01,-2.264820000000000043e-09
9.385348320007324219e+00,3.200549999999999784e+00,1.956000000000000045e-07
9.541836500167846680e+00,4.000489999999999879e-01,3.274400000000000191e-09
9.743561744689941406e+00,3.300559999999999938e+00,1.537410000000000000e-07
9.899493932723999023e+00,4.000369999999999759e-01,2.974069999999999843e-09
1.010244488716125488e+01,3.400739999999999874e+00,4.012789999999999763e-07
1.025736141204833984e+01,4.000290000000000235e-01,2.392829999999999894e-09
1.046192479133605957e+01,3.500490000000000101e+00,2.294429999999999986e-07
1.061844158172607422e+01,4.000319999999999987e-01,3.492260000000000098e-09
1.082158899307250977e+01,3.600690000000000168e+00,2.351030000000000088e-05
1.099159646034240723e+01,4.000239999999999907e-01,6.905200000000000184e-08
1.119517970085144043e+01,3.700660000000000061e+00,2.771529999999999873e-05
1.136836171150207520e+01,4.000299999999999967e-01,6.035169999999999374e-08
1.157766652107238770e+01,3.800530000000000186e+00,3.035350000000000000e-05
1.176268148422241211e+01,4.000400000000000067e-01,6.914709999999999586e-08
1.196863746643066406e+01,3.900780000000000136e+00,3.516169999999999913e-05
1.213956594467163086e+01,4.000380000000000047e-01,8.817300000000000478e-08
1.234317588806152344e+01,4.000609999999999999e+00,3.924739999999999967e-05
1.251475000381469727e+01,4.000360000000000027e-01,9.082189999999999881e-08
1.273408651351928711e+01,4.100880000000000081e+00,4.752219999999999708e-05
1.290552020072937012e+01,4.000360000000000027e-01,9.105430000000000557e-08
1.310643482208251953e+01,4.200730000000000075e+00,4.941280000000000233e-05
1.328050231933593750e+01,4.000389999999999779e-01,9.067129999999999480e-08
1.348595452308654785e+01,4.300849999999999618e+00,5.773850000000000293e-05
1.365845131874084473e+01,4.000290000000000235e-01,9.293960000000000195e-08
1.386053347587585449e+01,4.400780000000000136e+00,6.645780000000000600e-05
1.404508352279663086e+01,4.000259999999999927e-01,8.980670000000000173e-08
1.424737668037414551e+01,4.501030000000000086e+00,7.819380000000000341e-05
1.441955423355102539e+01,4.000279999999999947e-01,1.111809999999999948e-07
1.463709735870361328e+01,4.600929999999999964e+00,9.133329999999999509e-05
1.481228351593017578e+01,4.000270000000000215e-01,1.191189999999999961e-07
1.503096270561218262e+01,4.700849999999999973e+00,1.090379999999999952e-04
1.520254588127136230e+01,4.000369999999999759e-01,1.398959999999999975e-07
1.537344813346862793e+01,4.801120000000000054e+00,1.228699999999999942e-04
1.554566526412963867e+01,4.000330000000000275e-01,1.356449999999999947e-07
1.570006370544433594e+01,4.901010000000000311e+00,1.374260000000000087e-04
