# Fri Sep  1 18:00:20 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
5.606027126312255859e+00,4.000259999999999927e-01,1.093029999999999961e-07
5.760966777801513672e+00,2.432620000000000005e+00,6.969509999999999785e-06
5.915107727050781250e+00,4.000210000000000155e-01,1.004620000000000032e-07
6.072188377380371094e+00,2.567619999999999791e+00,8.114439999999999172e-06
6.228564500808715820e+00,4.000290000000000235e-01,9.299779999999999912e-08
6.430541515350341797e+00,2.702869999999999884e+00,9.386919999999999566e-06
6.604512691497802734e+00,4.000219999999999887e-01,9.607590000000000072e-08
6.806117296218872070e+00,2.838169999999999860e+00,1.107089999999999932e-05
6.980489253997802734e+00,4.000239999999999907e-01,9.596380000000000067e-08
7.196295738220214844e+00,2.973110000000000142e+00,1.334479999999999969e-05
7.368880271911621094e+00,4.000210000000000155e-01,1.052920000000000008e-07
7.586940765380859375e+00,3.108330000000000037e+00,1.450960000000000081e-05
7.756381988525390625e+00,4.000139999999999807e-01,9.167450000000000473e-08
7.962081670761108398e+00,3.243329999999999824e+00,1.701849999999999977e-05
8.135651588439941406e+00,4.000219999999999887e-01,1.073749999999999937e-07
8.353150129318237305e+00,3.378789999999999960e+00,1.917610000000000094e-05
8.524558067321777344e+00,4.000219999999999887e-01,1.065440000000000043e-07
8.742651224136352539e+00,3.513840000000000074e+00,2.286310000000000138e-05
8.913107395172119141e+00,4.000210000000000155e-01,1.186120000000000036e-07
9.131241083145141602e+00,3.649179999999999868e+00,2.689479999999999871e-05
9.303467988967895508e+00,4.000230000000000175e-01,1.432329999999999962e-07
9.459219217300415039e+00,3.784429999999999961e+00,3.178629999999999753e-05
9.632585525512695312e+00,4.000330000000000275e-01,1.490330000000000084e-07
9.786777973175048828e+00,3.919529999999999959e+00,3.626580000000000098e-05
9.957956314086914062e+00,4.000250000000000195e-01,9.797480000000000458e-08
1.017661380767822266e+01,4.054800000000000182e+00,3.971770000000000091e-05
1.034653663635253906e+01,4.000219999999999887e-01,1.610070000000000070e-07
1.050363969802856445e+01,4.189739999999999576e+00,4.507330000000000093e-05
1.067506647109985352e+01,4.000219999999999887e-01,1.048510000000000036e-07
1.089260840415954590e+01,4.325210000000000221e+00,5.193009999999999938e-05
1.106556510925292969e+01,4.000090000000000034e-01,1.146629999999999991e-07
1.128167390823364258e+01,4.460049999999999848e+00,5.949060000000000264e-05
1.145289444923400879e+01,4.000110000000000054e-01,1.299269999999999960e-07
1.160988616943359375e+01,4.595360000000000333e+00,6.735760000000000033e-05
1.178060531616210938e+01,4.000070000000000014e-01,9.298619999999999391e-08
1.198350548744201660e+01,4.730599999999999916e+00,7.131830000000000461e-05
1.215467929840087891e+01,4.000070000000000014e-01,8.905669999999999833e-08
1.235885190963745117e+01,4.865610000000000213e+00,7.856899999999999941e-05
1.254651498794555664e+01,4.000139999999999807e-01,1.074890000000000038e-07
