# Wed Jun 28 16:54:38 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.205880000000000109e+03,2.546950000000000000e+06,-8.749089999999999634e+01
2.307690000000000055e+03,2.481330000000000000e+06,-8.636050000000000182e+01
2.419349999999999909e+03,2.352010000000000000e+06,-8.697060000000000457e+01
2.542369999999999891e+03,2.238600000000000000e+06,-8.758480000000000132e+01
2.678570000000000164e+03,2.110930000000000000e+06,-8.727790000000000248e+01
2.803739999999999782e+03,1.848210000000000000e+06,-8.525159999999999627e+01
2.912619999999999891e+03,1.941660000000000000e+06,-8.741849999999999454e+01
3.061219999999999800e+03,1.868090000000000000e+06,-8.798799999999999955e+01
3.260869999999999891e+03,1.748680000000000000e+06,-8.802349999999999852e+01
3.409090000000000146e+03,1.710980000000000000e+06,-8.753910000000000480e+01
3.658539999999999964e+03,1.568300000000000000e+06,-8.862199999999999989e+01
3.846150000000000091e+03,1.501020000000000000e+06,-8.807659999999999911e+01
4.166670000000000073e+03,1.390250000000000000e+06,-8.677830000000000155e+01
4.411760000000000218e+03,1.331800000000000000e+06,-8.789759999999999707e+01
4.761899999999999636e+03,1.218370000000000000e+06,-8.822360000000000468e+01
5.172409999999999854e+03,1.129610000000000000e+06,-8.815959999999999752e+01
5.769229999999999563e+03,1.018050000000000000e+06,-8.867740000000000578e+01
6.250000000000000000e+03,9.354060000000000000e+05,-8.864490000000000691e+01
6.976739999999999782e+03,8.424530000000000000e+05,-8.890430000000000632e+01
7.317069999999999709e+03,8.087740000000000000e+05,-8.895839999999999748e+01
7.317069999999999709e+03,8.136760000000000000e+05,-8.869740000000000180e+01
7.500000000000000000e+03,7.864580000000000000e+05,-8.914029999999999632e+01
7.894739999999999782e+03,7.473430000000000000e+05,-8.886610000000000298e+01
8.108109999999999673e+03,7.292160000000000000e+05,-8.930599999999999739e+01
8.333329999999999927e+03,7.033130000000000000e+05,-8.905750000000000455e+01
8.333329999999999927e+03,7.039430000000000000e+05,-8.908010000000000161e+01
8.823530000000000655e+03,6.843870000000000000e+05,-8.953180000000000405e+01
9.090909999999999854e+03,6.543040000000000000e+05,-8.931250000000000000e+01
9.375000000000000000e+03,6.354100000000000000e+05,-8.971150000000000091e+01
9.375000000000000000e+03,6.387590000000000000e+05,-8.943630000000000280e+01
1.000000000000000000e+04,5.988980000000000000e+05,-8.745099999999999341e+01
1.000000000000000000e+04,6.011670000000000000e+05,-8.870159999999999911e+01
1.034479999999999927e+04,5.795360000000000000e+05,-9.043810000000000571e+01
1.111110000000000036e+04,5.386640000000000000e+05,-9.033350000000000080e+01
1.111110000000000036e+04,5.393990000000000000e+05,-9.003159999999999741e+01
1.200000000000000000e+04,5.003870000000000000e+05,-9.149639999999999418e+01
1.200000000000000000e+04,4.967790000000000000e+05,-8.928839999999999577e+01
1.250000000000000000e+04,4.807470000000000000e+05,-9.087779999999999347e+01
1.363639999999999964e+04,4.421180000000000000e+05,-9.094689999999999941e+01
1.428570000000000073e+04,4.203750000000000000e+05,-9.115600000000000591e+01
1.428570000000000073e+04,4.210500000000000000e+05,-9.133639999999999759e+01
1.500000000000000000e+04,3.985500000000000000e+05,-9.220579999999999643e+01
1.666670000000000073e+04,3.614760000000000000e+05,-9.202469999999999573e+01
1.764709999999999854e+04,3.406940000000000000e+05,-9.233540000000000703e+01
1.875000000000000000e+04,3.211730000000000000e+05,-9.266020000000000323e+01
1.875000000000000000e+04,3.251240000000000000e+05,-9.257510000000000616e+01
2.000000000000000000e+04,3.032120000000000000e+05,-9.302030000000000598e+01
2.307690000000000146e+04,2.606890000000000000e+05,-9.398340000000000316e+01
2.307690000000000146e+04,2.618790000000000000e+05,-9.383589999999999520e+01
2.500000000000000000e+04,2.412840000000000000e+05,-9.449769999999999470e+01
2.727270000000000073e+04,2.238660000000000000e+05,-9.538139999999999930e+01
2.727270000000000073e+04,2.241360000000000000e+05,-9.523569999999999425e+01
