# Wed Jun 28 19:20:37 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.678570000000000164e+03,1.740910000000000000e+06,-4.669270000000000209e+01
2.803739999999999782e+03,1.616790000000000000e+06,-4.587100000000000222e+01
2.912619999999999891e+03,1.689970000000000000e+06,-5.016629999999999967e+01
3.061219999999999800e+03,1.732240000000000000e+06,-5.649219999999999686e+01
3.260869999999999891e+03,1.682460000000000000e+06,-5.941230000000000189e+01
3.409090000000000146e+03,1.581570000000000000e+06,-5.735170000000000101e+01
3.658539999999999964e+03,1.466470000000000000e+06,-5.658650000000000091e+01
3.846150000000000091e+03,1.409990000000000000e+06,-5.737530000000000285e+01
4.166670000000000073e+03,1.362250000000000000e+06,-6.152620000000000289e+01
4.411760000000000218e+03,1.355580000000000000e+06,-6.697459999999999525e+01
4.761899999999999636e+03,1.316830000000000000e+06,-7.556650000000000489e+01
5.172409999999999854e+03,1.232150000000000000e+06,-7.722790000000000532e+01
5.769229999999999563e+03,1.120680000000000000e+06,-8.057309999999999661e+01
6.250000000000000000e+03,1.038880000000000000e+06,-8.107739999999999725e+01
6.976739999999999782e+03,9.357520000000000000e+05,-8.122960000000000491e+01
7.317069999999999709e+03,8.966250000000000000e+05,-8.205490000000000350e+01
7.317069999999999709e+03,8.965080000000000000e+05,-8.256390000000000384e+01
7.500000000000000000e+03,8.754440000000000000e+05,-8.304380000000000450e+01
7.894739999999999782e+03,8.370970000000000000e+05,-8.304680000000000462e+01
8.108109999999999673e+03,8.148250000000000000e+05,-8.319929999999999382e+01
8.333329999999999927e+03,7.925510000000000000e+05,-8.361199999999999477e+01
8.333329999999999927e+03,7.947290000000000000e+05,-8.340779999999999461e+01
8.823530000000000655e+03,7.508180000000000000e+05,-8.349479999999999791e+01
9.090909999999999854e+03,7.307560000000000000e+05,-8.389159999999999684e+01
9.375000000000000000e+03,7.089000000000000000e+05,-8.378489999999999327e+01
9.375000000000000000e+03,7.089450000000000000e+05,-8.391509999999999536e+01
1.000000000000000000e+04,6.696850000000000000e+05,-8.408769999999999811e+01
1.000000000000000000e+04,6.711130000000000000e+05,-8.399469999999999459e+01
1.034479999999999927e+04,6.457660000000000000e+05,-8.424590000000000600e+01
1.111110000000000036e+04,6.032800000000000000e+05,-8.453249999999999886e+01
1.111110000000000036e+04,6.027300000000000000e+05,-8.444480000000000075e+01
1.200000000000000000e+04,5.605750000000000000e+05,-8.472180000000000177e+01
1.200000000000000000e+04,5.602700000000000000e+05,-8.464209999999999923e+01
