# Wed Jun 28 16:00:46 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
7.653060000000000400e+02,8.387010000000000000e+05,-7.920759999999999934e+01
8.000000000000000000e+02,7.985340000000000000e+05,-7.923189999999999600e+01
8.403360000000000127e+02,7.657890000000000000e+05,-7.995029999999999859e+01
8.771929999999999836e+02,7.356500000000000000e+05,-7.997700000000000387e+01
9.202450000000000045e+02,7.016870000000000000e+05,-8.059470000000000312e+01
9.615380000000000109e+02,6.723820000000000000e+05,-8.106130000000000280e+01
1.006710000000000036e+03,6.432880000000000000e+05,-8.149710000000000321e+01
1.060069999999999936e+03,6.123560000000000000e+05,-8.165439999999999543e+01
1.107009999999999991e+03,5.870900000000000000e+05,-8.233329999999999416e+01
1.158299999999999955e+03,5.612190000000000000e+05,-8.213930000000000575e+01
1.214569999999999936e+03,5.365820000000000000e+05,-8.253589999999999804e+01
1.276599999999999909e+03,5.124590000000000000e+05,-8.275809999999999889e+01
1.327430000000000064e+03,4.952720000000000000e+05,-8.271689999999999543e+01
1.401869999999999891e+03,4.683030000000000000e+05,-8.320149999999999579e+01
1.456309999999999945e+03,4.528690000000000000e+05,-8.330079999999999529e+01
1.530609999999999900e+03,4.293790000000000000e+05,-8.359650000000000603e+01
1.595740000000000009e+03,4.131270000000000000e+05,-8.408020000000000493e+01
1.685390000000000100e+03,3.907660000000000000e+05,-8.387699999999999534e+01
1.764710000000000036e+03,3.740140000000000000e+05,-8.404550000000000409e+01
1.840490000000000009e+03,3.588460000000000000e+05,-8.428000000000000114e+01
1.935480000000000018e+03,3.481780000000000000e+05,-8.479670000000000130e+01
2.013420000000000073e+03,3.297400000000000000e+05,-8.436509999999999820e+01
2.127659999999999854e+03,3.114540000000000000e+05,-8.458050000000000068e+01
2.205880000000000109e+03,3.013040000000000000e+05,-8.501300000000000523e+01
2.307690000000000055e+03,2.887600000000000000e+05,-8.473319999999999652e+01
2.419349999999999909e+03,2.749220000000000000e+05,-8.512500000000000000e+01
2.542369999999999891e+03,2.617350000000000000e+05,-8.534929999999999950e+01
2.678570000000000164e+03,2.488320000000000000e+05,-8.542210000000000036e+01
2.803739999999999782e+03,2.392660000000000000e+05,-8.557899999999999352e+01
2.912619999999999891e+03,2.293330000000000000e+05,-8.560099999999999909e+01
3.061219999999999800e+03,2.184340000000000000e+05,-8.579649999999999466e+01
3.260869999999999891e+03,2.054880000000000000e+05,-8.595019999999999527e+01
3.409090000000000146e+03,1.967440000000000000e+05,-8.593710000000000093e+01
3.658539999999999964e+03,1.837620000000000000e+05,-8.626919999999999789e+01
3.846150000000000091e+03,1.746090000000000000e+05,-8.631709999999999638e+01
4.166670000000000073e+03,1.609660000000000000e+05,-8.632909999999999684e+01
4.411760000000000218e+03,1.526960000000000000e+05,-8.642579999999999529e+01
4.761899999999999636e+03,1.416760000000000000e+05,-8.652519999999999811e+01
5.172409999999999854e+03,1.306080000000000000e+05,-8.666500000000000625e+01
5.769229999999999563e+03,1.178770000000000000e+05,-8.668609999999999616e+01
6.250000000000000000e+03,1.084320000000000000e+05,-8.678810000000000002e+01
6.976739999999999782e+03,9.742260000000000582e+04,-8.691790000000000305e+01
7.317069999999999709e+03,9.294210000000000582e+04,-8.696330000000000382e+01
7.317069999999999709e+03,9.292739999999999418e+04,-8.694039999999999679e+01
7.500000000000000000e+03,9.071700000000000000e+04,-8.689979999999999905e+01
7.894739999999999782e+03,8.629600000000000000e+04,-8.700209999999999866e+01
8.108109999999999673e+03,8.409450000000000000e+04,-8.701680000000000348e+01
8.333329999999999927e+03,8.180150000000000000e+04,-8.700509999999999877e+01
8.333329999999999927e+03,8.180489999999999418e+04,-8.707710000000000150e+01
8.823530000000000655e+03,7.735200000000000000e+04,-8.700209999999999866e+01
9.090909999999999854e+03,7.511330000000000291e+04,-8.706699999999999307e+01
9.375000000000000000e+03,7.291639999999999418e+04,-8.713590000000000657e+01
9.375000000000000000e+03,7.288060000000000582e+04,-8.706749999999999545e+01
1.000000000000000000e+04,6.841010000000000582e+04,-8.707460000000000377e+01
1.000000000000000000e+04,6.836180000000000291e+04,-8.708509999999999707e+01
1.034479999999999927e+04,6.615260000000000582e+04,-8.706579999999999586e+01
1.111110000000000036e+04,6.167569999999999709e+04,-8.710890000000000555e+01
1.111110000000000036e+04,6.168919999999999709e+04,-8.708289999999999509e+01
1.200000000000000000e+04,5.718040000000000146e+04,-8.710680000000000689e+01
1.200000000000000000e+04,5.720290000000000146e+04,-8.707880000000000109e+01
1.250000000000000000e+04,5.492409999999999854e+04,-8.710689999999999600e+01
1.363639999999999964e+04,5.040619999999999709e+04,-8.707479999999999620e+01
1.428570000000000073e+04,4.816919999999999709e+04,-8.706040000000000134e+01
1.428570000000000073e+04,4.815169999999999709e+04,-8.706199999999999761e+01
1.500000000000000000e+04,4.591630000000000291e+04,-8.701900000000000546e+01
1.666670000000000073e+04,4.139659999999999854e+04,-8.695950000000000557e+01
1.764709999999999854e+04,3.913250000000000000e+04,-8.691219999999999857e+01
1.875000000000000000e+04,3.686409999999999854e+04,-8.689929999999999666e+01
1.875000000000000000e+04,3.686309999999999854e+04,-8.686820000000000164e+01
2.000000000000000000e+04,3.460450000000000000e+04,-8.682250000000000512e+01
2.307690000000000146e+04,3.005000000000000000e+04,-8.667319999999999425e+01
2.307690000000000146e+04,3.005479999999999927e+04,-8.670390000000000441e+01
2.500000000000000000e+04,2.777270000000000073e+04,-8.660609999999999786e+01
2.727270000000000073e+04,2.547800000000000000e+04,-8.654210000000000491e+01
2.727270000000000073e+04,2.547940000000000146e+04,-8.653069999999999595e+01
2.857140000000000146e+04,2.433870000000000073e+04,-8.643500000000000227e+01
3.000000000000000000e+04,2.320350000000000000e+04,-8.634329999999999927e+01
3.157890000000000146e+04,2.206159999999999854e+04,-8.622960000000000491e+01
3.333330000000000291e+04,2.091920000000000073e+04,-8.614579999999999416e+01
3.529409999999999854e+04,1.977820000000000073e+04,-8.602150000000000318e+01
3.750000000000000000e+04,1.863679999999999927e+04,-8.588490000000000180e+01
4.000000000000000000e+04,1.749029999999999927e+04,-8.575010000000000332e+01
4.285709999999999854e+04,1.634829999999999927e+04,-8.555289999999999395e+01
4.615380000000000291e+04,1.520900000000000000e+04,-8.534489999999999554e+01
5.000000000000000000e+04,1.405260000000000036e+04,-8.517470000000000141e+01
5.217390000000000146e+04,1.346839999999999964e+04,-8.502009999999999934e+01
5.714290000000000146e+04,1.231510000000000036e+04,-8.470040000000000191e+01
6.000000000000000000e+04,1.174270000000000073e+04,-8.449989999999999668e+01
6.000000000000000000e+04,1.174210000000000036e+04,-8.450990000000000180e+01
6.666669999999999709e+04,1.059520000000000073e+04,-8.405870000000000175e+01
7.058819999999999709e+04,1.001729999999999927e+04,-8.380060000000000286e+01
7.058819999999999709e+04,1.001770000000000073e+04,-8.380150000000000432e+01
7.500000000000000000e+04,9.521209999999999127e+03,-8.354550000000000409e+01
8.000000000000000000e+04,8.951180000000000291e+03,-8.323239999999999839e+01
9.230769999999999709e+04,7.808590000000000146e+03,-8.245940000000000225e+01
1.000000000000000000e+05,7.236939999999999600e+03,-8.200610000000000355e+01
1.000000000000000000e+05,7.242239999999999782e+03,-8.200430000000000064e+01
1.090910000000000000e+05,6.669310000000000400e+03,-8.143380000000000507e+01
1.142860000000000000e+05,6.384880000000000109e+03,-8.111719999999999686e+01
1.200000000000000000e+05,6.101420000000000073e+03,-8.078350000000000364e+01
1.200000000000000000e+05,6.101170000000000073e+03,-8.077889999999999304e+01
1.333330000000000000e+05,5.536960000000000036e+03,-7.997580000000000666e+01
1.333330000000000000e+05,5.535789999999999964e+03,-7.997379999999999711e+01
1.411760000000000000e+05,5.255989999999999782e+03,-7.950300000000000011e+01
1.500000000000000000e+05,4.978189999999999600e+03,-7.899530000000000030e+01
1.600000000000000000e+05,4.702300000000000182e+03,-7.845720000000000027e+01
1.846150000000000000e+05,4.152909999999999854e+03,-7.719110000000000582e+01
1.846150000000000000e+05,4.152039999999999964e+03,-7.718330000000000268e+01
2.000000000000000000e+05,3.880019999999999982e+03,-7.646939999999999316e+01
