# Wed Jun 28 18:33:26 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
1.000000000000000000e+05,7.724939999999999600e+03,-3.754379999999999740e+01
1.000000000000000000e+05,7.724680000000000291e+03,-3.753600000000000136e+01
1.090910000000000000e+05,7.489800000000000182e+03,-3.705319999999999681e+01
1.142860000000000000e+05,7.375800000000000182e+03,-3.678050000000000352e+01
1.200000000000000000e+05,7.260029999999999745e+03,-3.651019999999999754e+01
1.200000000000000000e+05,7.272590000000000146e+03,-3.646300000000000097e+01
1.333330000000000000e+05,7.018390000000000327e+03,-3.597059999999999746e+01
1.333330000000000000e+05,7.001880000000000109e+03,-3.602539999999999765e+01
1.411760000000000000e+05,6.865279999999999745e+03,-3.579220000000000113e+01
1.500000000000000000e+05,6.723050000000000182e+03,-3.554529999999999745e+01
1.600000000000000000e+05,6.581340000000000146e+03,-3.530340000000000344e+01
1.846150000000000000e+05,6.272180000000000291e+03,-3.480409999999999826e+01
1.846150000000000000e+05,6.277109999999999673e+03,-3.477439999999999998e+01
2.000000000000000000e+05,6.112380000000000109e+03,-3.451520000000000010e+01
