# Wed Jun 28 18:42:25 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.006690000000000111e+02,5.170250000000000000e+05,-2.173339999999999961e+01
2.199410000000000025e+02,5.099080000000000000e+05,-2.309100000000000108e+01
2.413520000000000039e+02,5.006280000000000000e+05,-2.486870000000000047e+01
2.645500000000000114e+02,4.890640000000000000e+05,-2.700059999999999860e+01
2.901349999999999909e+02,4.870160000000000000e+05,-2.964789999999999992e+01
3.184710000000000036e+02,4.705020000000000000e+05,-3.105600000000000094e+01
3.329630000000000223e+02,4.605190000000000000e+05,-3.165060000000000073e+01
3.488369999999999891e+02,4.558040000000000000e+05,-3.318130000000000024e+01
3.654080000000000155e+02,4.475190000000000000e+05,-3.468249999999999744e+01
3.826530000000000200e+02,4.349890000000000000e+05,-3.523899999999999721e+01
4.005339999999999918e+02,4.252170000000000000e+05,-3.663020000000000209e+01
4.195799999999999841e+02,4.197190000000000000e+05,-3.730579999999999785e+01
4.398829999999999814e+02,4.150270000000000000e+05,-3.806689999999999685e+01
4.608290000000000077e+02,4.029160000000000000e+05,-3.915740000000000265e+01
4.823149999999999977e+02,3.976000000000000000e+05,-4.083220000000000027e+01
5.050509999999999877e+02,3.814020000000000000e+05,-4.115379999999999683e+01
5.281689999999999827e+02,3.715400000000000000e+05,-4.223010000000000019e+01
5.545289999999999964e+02,3.518050000000000000e+05,-4.423980000000000246e+01
5.802709999999999582e+02,3.219780000000000000e+05,-4.694570000000000221e+01
6.072870000000000346e+02,3.151980000000000000e+05,-4.805579999999999785e+01
6.355929999999999609e+02,3.041580000000000000e+05,-4.917349999999999710e+01
6.651879999999999882e+02,2.992670000000000000e+05,-5.080789999999999651e+01
6.976739999999999782e+02,2.881140000000000000e+05,-5.180510000000000304e+01
7.299270000000000209e+02,2.797390000000000000e+05,-5.269509999999999650e+01
7.653060000000000400e+02,2.710860000000000000e+05,-5.371359999999999957e+01
8.000000000000000000e+02,2.619130000000000000e+05,-5.503820000000000334e+01
8.403360000000000127e+02,2.533930000000000000e+05,-5.590910000000000224e+01
8.771929999999999836e+02,2.451500000000000000e+05,-5.706539999999999679e+01
9.202450000000000045e+02,2.377800000000000000e+05,-5.698329999999999984e+01
9.615380000000000109e+02,2.344900000000000000e+05,-5.720720000000000027e+01
1.006710000000000036e+03,2.201710000000000000e+05,-5.949750000000000227e+01
1.060069999999999936e+03,2.113350000000000000e+05,-6.028020000000000067e+01
1.107009999999999991e+03,2.061810000000000000e+05,-6.068030000000000257e+01
1.158299999999999955e+03,1.964040000000000000e+05,-6.166870000000000118e+01
1.214569999999999936e+03,1.906640000000000000e+05,-6.176250000000000284e+01
1.276599999999999909e+03,1.809780000000000000e+05,-6.314209999999999923e+01
1.327430000000000064e+03,1.755630000000000000e+05,-6.370150000000000290e+01
1.401869999999999891e+03,1.670290000000000000e+05,-6.429070000000000107e+01
1.456309999999999945e+03,1.638750000000000000e+05,-6.348550000000000182e+01
1.530609999999999900e+03,1.554860000000000000e+05,-6.478709999999999525e+01
1.595740000000000009e+03,1.491400000000000000e+05,-6.547990000000000066e+01
1.685390000000000100e+03,1.418370000000000000e+05,-6.582019999999999982e+01
1.764710000000000036e+03,1.444000000000000000e+05,-6.110540000000000305e+01
1.840490000000000009e+03,1.314360000000000000e+05,-6.654810000000000514e+01
1.935480000000000018e+03,1.313020000000000000e+05,-6.186619999999999919e+01
2.013420000000000073e+03,1.209520000000000000e+05,-6.681870000000000687e+01
2.127659999999999854e+03,1.148860000000000000e+05,-6.715219999999999345e+01
2.205880000000000109e+03,1.113350000000000000e+05,-6.699809999999999377e+01
2.307690000000000055e+03,1.068680000000000000e+05,-6.715810000000000457e+01
2.419349999999999909e+03,1.020440000000000000e+05,-6.760869999999999891e+01
2.542369999999999891e+03,9.778360000000000582e+04,-6.759340000000000259e+01
2.678570000000000164e+03,9.341730000000000291e+04,-6.747910000000000252e+01
2.803739999999999782e+03,8.943010000000000582e+04,-6.757720000000000482e+01
2.912619999999999891e+03,8.645910000000000582e+04,-6.722310000000000230e+01
3.061219999999999800e+03,8.272669999999999709e+04,-6.691389999999999816e+01
3.260869999999999891e+03,7.831669999999999709e+04,-6.648120000000000118e+01
3.409090000000000146e+03,7.503489999999999418e+04,-6.642430000000000234e+01
3.658539999999999964e+03,7.839000000000000000e+04,-5.622630000000000194e+01
3.846150000000000091e+03,7.521600000000000000e+04,-5.580930000000000035e+01
4.166670000000000073e+03,6.392230000000000291e+04,-6.301630000000000109e+01
4.411760000000000218e+03,6.068259999999999854e+04,-6.290999999999999659e+01
4.761899999999999636e+03,5.735350000000000000e+04,-6.122330000000000183e+01
5.172409999999999854e+03,5.478080000000000291e+04,-5.833610000000000184e+01
5.769229999999999563e+03,4.848730000000000291e+04,-5.969319999999999737e+01
6.250000000000000000e+03,4.565180000000000291e+04,-5.824219999999999686e+01
6.976739999999999782e+03,4.209209999999999854e+04,-5.627069999999999794e+01
7.317069999999999709e+03,4.068719999999999709e+04,-5.538880000000000337e+01
7.317069999999999709e+03,4.070059999999999854e+04,-5.535779999999999745e+01
7.500000000000000000e+03,4.000480000000000291e+04,-5.475600000000000023e+01
7.894739999999999782e+03,3.971319999999999709e+04,-5.118319999999999936e+01
8.108109999999999673e+03,3.917690000000000146e+04,-5.146739999999999782e+01
8.333329999999999927e+03,4.135530000000000291e+04,-4.680899999999999750e+01
8.333329999999999927e+03,4.297590000000000146e+04,-4.892730000000000246e+01
8.823530000000000655e+03,3.901659999999999854e+04,-4.963739999999999952e+01
9.090909999999999854e+03,3.589359999999999854e+04,-4.979310000000000258e+01
9.375000000000000000e+03,4.251040000000000146e+04,-4.025529999999999831e+01
9.375000000000000000e+03,4.142569999999999709e+04,-3.950840000000000174e+01
1.000000000000000000e+04,3.418180000000000291e+04,-4.795439999999999969e+01
1.000000000000000000e+04,3.515040000000000146e+04,-4.593189999999999884e+01
1.034479999999999927e+04,3.478030000000000291e+04,-4.488889999999999958e+01
1.111110000000000036e+04,3.322080000000000291e+04,-4.372279999999999944e+01
1.111110000000000036e+04,3.347119999999999709e+04,-4.353600000000000136e+01
1.200000000000000000e+04,3.238040000000000146e+04,-4.221860000000000213e+01
1.200000000000000000e+04,3.219950000000000000e+04,-4.195839999999999748e+01
1.250000000000000000e+04,3.143709999999999854e+04,-4.143829999999999814e+01
1.363639999999999964e+04,3.033700000000000000e+04,-3.953909999999999769e+01
1.428570000000000073e+04,2.997200000000000000e+04,-3.839470000000000027e+01
1.428570000000000073e+04,2.701050000000000000e+04,-4.148040000000000305e+01
1.500000000000000000e+04,2.936540000000000146e+04,-3.741060000000000230e+01
1.666670000000000073e+04,2.858600000000000000e+04,-3.516190000000000282e+01
1.764709999999999854e+04,2.541420000000000073e+04,-3.642490000000000094e+01
1.875000000000000000e+04,2.580500000000000000e+04,-3.513519999999999754e+01
1.875000000000000000e+04,2.419290000000000146e+04,-3.584790000000000276e+01
2.000000000000000000e+04,2.550100000000000000e+04,-3.400880000000000081e+01
2.307690000000000146e+04,2.250220000000000073e+04,-3.399260000000000304e+01
2.307690000000000146e+04,2.613620000000000073e+04,-2.984570000000000078e+01
2.500000000000000000e+04,3.445619999999999709e+04,-2.107349999999999923e+01
2.727270000000000073e+04,2.456420000000000073e+04,-2.809619999999999962e+01
2.727270000000000073e+04,2.546270000000000073e+04,-2.745540000000000092e+01
2.857140000000000146e+04,2.468820000000000073e+04,-2.734420000000000073e+01
3.000000000000000000e+04,2.481250000000000000e+04,-2.664339999999999975e+01
3.157890000000000146e+04,2.514190000000000146e+04,-2.579050000000000153e+01
3.333330000000000291e+04,2.380720000000000073e+04,-2.600199999999999889e+01
3.529409999999999854e+04,2.050659999999999854e+04,-2.821900000000000119e+01
3.750000000000000000e+04,2.367490000000000146e+04,-2.494170000000000087e+01
4.000000000000000000e+04,2.297909999999999854e+04,-2.461739999999999995e+01
4.285709999999999854e+04,2.293840000000000146e+04,-2.406850000000000023e+01
4.615380000000000291e+04,2.245940000000000146e+04,-2.397510000000000119e+01
5.000000000000000000e+04,2.214379999999999927e+04,-2.386410000000000053e+01
5.217390000000000146e+04,2.240509999999999854e+04,-2.318380000000000152e+01
5.714290000000000146e+04,2.265650000000000000e+04,-2.368880000000000052e+01
6.000000000000000000e+04,2.322829999999999927e+04,-2.382280000000000086e+01
6.000000000000000000e+04,2.203079999999999927e+04,-2.311420000000000030e+01
6.666669999999999709e+04,2.267340000000000146e+04,-2.258200000000000074e+01
7.058819999999999709e+04,1.562750000000000000e+04,-2.519660000000000011e+01
7.058819999999999709e+04,1.192270000000000073e+04,-2.830920000000000059e+01
7.500000000000000000e+04,1.167910000000000036e+04,-2.833940000000000126e+01
8.000000000000000000e+04,1.153550000000000000e+04,-2.794849999999999923e+01
9.230769999999999709e+04,1.119950000000000000e+04,-2.732679999999999865e+01
1.000000000000000000e+05,1.103970000000000073e+04,-2.712259999999999849e+01
1.000000000000000000e+05,1.103179999999999927e+04,-2.711700000000000088e+01
1.090910000000000000e+05,1.042439999999999964e+04,-2.728579999999999828e+01
1.142860000000000000e+05,1.028850000000000000e+04,-2.724060000000000059e+01
1.200000000000000000e+05,1.018629999999999927e+04,-2.716209999999999880e+01
1.200000000000000000e+05,1.018939999999999964e+04,-2.717569999999999908e+01
1.333330000000000000e+05,9.916709999999999127e+03,-2.724759999999999849e+01
1.333330000000000000e+05,9.872120000000000800e+03,-2.718860000000000099e+01
1.411760000000000000e+05,9.717090000000000146e+03,-2.713050000000000139e+01
1.500000000000000000e+05,9.465860000000000582e+03,-2.733999999999999986e+01
1.600000000000000000e+05,9.761450000000000728e+03,-2.743799999999999883e+01
1.846150000000000000e+05,9.405459999999999127e+03,-2.737580000000000169e+01
1.846150000000000000e+05,9.417959999999999127e+03,-2.785989999999999966e+01
2.000000000000000000e+05,8.720639999999999418e+03,-2.821839999999999904e+01
