# Frecuencia [Hz], Resistencia [Ohm], Reactancia [Ohm]
2.417410000000000139e+02,2.248812294455990184e+02,-2.856622033844000725e+03
2.463050000000000068e+02,2.189265872292314725e+02,-2.804377616781334837e+03
2.508360000000000127e+02,2.134229295915935722e+02,-2.754383855370297169e+03
2.555370000000000061e+02,2.080023622325639110e+02,-2.704342627369112051e+03
2.601909999999999741e+02,2.027943382015769487e+02,-2.656641103591786305e+03
2.650179999999999723e+02,1.976527676558566498e+02,-2.608783197400271092e+03
2.700269999999999868e+02,1.926020637343579835e+02,-2.560927611363754295e+03
2.752289999999999850e+02,1.876928427509585333e+02,-2.513070671843524451e+03
2.801120000000000232e+02,1.833545605684652173e+02,-2.469783310640580112e+03
2.854420000000000073e+02,1.788438284653011863e+02,-2.424151775904279475e+03
2.906979999999999791e+02,1.746056840287420471e+02,-2.380805891941813570e+03
2.961499999999999773e+02,1.705315856653106721e+02,-2.337277124859282594e+03
3.018109999999999786e+02,1.663779875411436251e+02,-2.293974360201473246e+03
3.073770000000000095e+02,1.625733023656828209e+02,-2.252851700724642797e+03
3.131519999999999868e+02,1.587573113047937454e+02,-2.211639311688791622e+03
3.188100000000000023e+02,1.553743317419478274e+02,-2.172741618586007462e+03
3.250269999999999868e+02,1.517534983926965140e+02,-2.131625050548425406e+03
3.307610000000000241e+02,1.486570374949037046e+02,-2.094892147773540728e+03
3.370790000000000077e+02,1.453023342210566398e+02,-2.055951847215763792e+03
3.432490000000000236e+02,1.422660625953267299e+02,-2.019254544388503518e+03
3.496499999999999773e+02,1.393233815695159308e+02,-1.982620739185393177e+03
3.562950000000000159e+02,1.364230727652979454e+02,-1.945913724016888409e+03
3.627570000000000050e+02,1.337094833176440432e+02,-1.911559360043765082e+03
3.694580000000000268e+02,1.310162289615648774e+02,-1.877103283426005419e+03
3.764119999999999777e+02,1.284419705142588271e+02,-1.842628847655005529e+03
3.836320000000000050e+02,1.259079301457395985e+02,-1.808231789684722571e+03
3.906250000000000000e+02,1.234890026641079714e+02,-1.776042053308711502e+03
3.978779999999999859e+02,1.211489843419134615e+02,-1.743927011228659012e+03
4.054049999999999727e+02,1.189551261372904918e+02,-1.711741667093975138e+03
4.132230000000000132e+02,1.167477483773066780e+02,-1.679426947994115380e+03
4.207570000000000050e+02,1.146907925686468985e+02,-1.649587756683461521e+03
4.285710000000000264e+02,1.126961503082691962e+02,-1.619714158302537271e+03
4.366809999999999832e+02,1.107262232820540504e+02,-1.589758640667724876e+03
4.444440000000000168e+02,1.089474804852905407e+02,-1.562135465123273889e+03
4.531720000000000255e+02,1.070516461776638977e+02,-1.532254947830370838e+03
4.615380000000000109e+02,1.053122500449813259e+02,-1.504639010656862865e+03
4.702189999999999941e+02,1.036352960543132298e+02,-1.476978570430774653e+03
4.784689999999999941e+02,1.021432890439513983e+02,-1.451650855441240083e+03
4.878050000000000068e+02,1.005015365139148713e+02,-1.423987830726913899e+03
4.966890000000000214e+02,9.909553797336134551e+01,-1.398643877780820503e+03
5.059019999999999868e+02,9.760988262131297688e+01,-1.373255354700885164e+03
5.154640000000000555e+02,9.617486425151976448e+01,-1.347943349101215517e+03
5.253940000000000055e+02,9.480879793359333974e+01,-1.322586198413694092e+03
5.347590000000000146e+02,9.357147219505850444e+01,-1.299505527687839049e+03
5.444650000000000318e+02,9.233795636152693476e+01,-1.276434469416654565e+03
5.545289999999999964e+02,9.112770758448006347e+01,-1.253381624650049616e+03
5.649719999999999800e+02,8.996300599238837492e+01,-1.230325277986603624e+03
5.758160000000000309e+02,8.881149205331330165e+01,-1.207247687502139797e+03
5.870839999999999463e+02,8.766441652944801888e+01,-1.184169522566153319e+03
5.976100000000000136e+02,8.667519867797888367e+01,-1.163415789618712779e+03
6.085190000000000055e+02,8.567979782584957604e+01,-1.142652226989700011e+03
6.198350000000000364e+02,8.470650950878275864e+01,-1.121846606647646013e+03
6.315789999999999509e+02,8.375271617408019154e+01,-1.101049215718109508e+03
6.437770000000000437e+02,8.280672190581951497e+01,-1.080260899832634095e+03
6.550220000000000482e+02,8.200106263593524147e+01,-1.061798298796234576e+03
6.681509999999999536e+02,8.106707548987328948e+01,-1.041018308278735049e+03
6.802720000000000482e+02,8.029445917203722161e+01,-1.022542310091015338e+03
6.928410000000000082e+02,7.950705975439629469e+01,-1.004026910171839290e+03
7.058819999999999482e+02,7.873476281824298439e+01,-9.855740514644016912e+02
7.194239999999999782e+02,7.799104341124655093e+01,-9.670782619165963752e+02
7.317069999999999936e+02,7.733347577034443532e+01,-9.508875066243523406e+02
7.462690000000000055e+02,7.658666181734736256e+01,-9.324982307091394205e+02
7.594940000000000282e+02,7.595602294047888847e+01,-9.163112684536108645e+02
7.731960000000000264e+02,7.534987195232500312e+01,-9.001437852147668082e+02
7.894740000000000464e+02,7.465599635973458703e+01,-8.816357501193650705e+02
8.021390000000000100e+02,7.415395519327029206e+01,-8.677623790843864526e+02
8.174389999999999645e+02,7.356102586941261734e+01,-8.515727103477656783e+02
8.333329999999999700e+02,7.299331323388577175e+01,-8.353921275952628775e+02
8.498579999999999472e+02,7.242462154544743669e+01,-8.191876908761499863e+02
8.645529999999999973e+02,7.194449951571279200e+01,-8.053127214873943558e+02
8.797649999999999864e+02,7.148320788484940635e+01,-7.914363448531356653e+02
8.982039999999999509e+02,7.093758455515769867e+01,-7.752452498103292555e+02
9.146340000000000146e+02,7.049601572068695532e+01,-7.613542494059573755e+02
9.316770000000000209e+02,7.005228587583611954e+01,-7.474665395906160938e+02
9.493669999999999618e+02,6.961375302092788786e+01,-7.335803737603271202e+02
9.677419999999999618e+02,6.918254698542227743e+01,-7.196994910944497406e+02
9.836069999999999709e+02,6.883026005591760565e+01,-7.081186590089508854e+02
1.003340000000000032e+03,6.840777036313301096e+01,-6.942327858715294724e+02
1.020409999999999968e+03,6.806881224668165942e+01,-6.826607875917043202e+02
1.041670000000000073e+03,6.766174117241381225e+01,-6.687759601552057802e+02
1.060069999999999936e+03,6.732339263594204226e+01,-6.571956816877197980e+02
1.079140000000000100e+03,6.700044703493175291e+01,-6.456167432410029505e+02
1.098900000000000091e+03,6.667527706235975415e+01,-6.340428880995807503e+02
1.119400000000000091e+03,6.643497769873289371e+01,-6.224496878970771832e+02
1.140680000000000064e+03,6.611102390623698000e+01,-6.108659787605370184e+02
1.162789999999999964e+03,6.580628941954759625e+01,-5.992878143036372194e+02
1.185769999999999982e+03,6.549422844409656363e+01,-5.877089249360710710e+02
1.204819999999999936e+03,6.525579769114020223e+01,-5.784508408392998717e+02
1.229509999999999991e+03,6.495833384454162740e+01,-5.668682994736441287e+02
1.250000000000000000e+03,6.472932842676185317e+01,-5.576065451933113764e+02
1.276599999999999909e+03,6.443859529135497155e+01,-5.460228042681707166e+02
1.298700000000000045e+03,6.421620573994388792e+01,-5.367563134014960724e+02
1.321589999999999918e+03,6.398966175046623306e+01,-5.274929125486530666e+02
1.345289999999999964e+03,6.376533185499664569e+01,-5.182277346393399284e+02
1.376150000000000091e+03,6.349922766922491491e+01,-5.066442319314529641e+02
1.401869999999999891e+03,6.328580767941476637e+01,-4.973769499236611864e+02
1.421799999999999955e+03,6.313034278277228140e+01,-4.904254465299793537e+02
1.449279999999999973e+03,6.292856893715661926e+01,-4.811563568399793667e+02
1.477829999999999927e+03,6.272092337808279439e+01,-4.718869686054072758e+02
1.507539999999999964e+03,6.252145615075896501e+01,-4.626193339515640446e+02
1.530609999999999900e+03,6.237547758175301027e+01,-4.556655648844317170e+02
1.562500000000000000e+03,6.217793335335105098e+01,-4.463924253478168680e+02
1.595740000000000009e+03,6.198956336922503851e+01,-4.371254522837727450e+02
1.621619999999999891e+03,6.185157532335909991e+01,-4.301721351343190349e+02
1.648349999999999909e+03,6.171531118097301771e+01,-4.232188953612960631e+02
1.685390000000000100e+03,6.153196448672179741e+01,-4.139436814476152904e+02
1.714289999999999964e+03,6.139640496148921756e+01,-4.069880576955604283e+02
1.744190000000000055e+03,6.126591983692446775e+01,-4.000336964188585966e+02
1.775150000000000091e+03,6.113349918965252527e+01,-3.930785133950070644e+02
1.807230000000000018e+03,6.100468360192624573e+01,-3.861235581360309652e+02
1.851849999999999909e+03,6.083283999764530137e+01,-3.768475880960642712e+02
1.875000000000000000e+03,6.075124941206698992e+01,-3.722117709904844105e+02
1.910829999999999927e+03,6.062667959282525487e+01,-3.652546361451815073e+02
1.948049999999999955e+03,6.050416771705391739e+01,-3.582963519907321484e+02
1.986759999999999991e+03,6.038690410003128761e+01,-3.513392305083700649e+02
2.027029999999999973e+03,6.026682092282638337e+01,-3.443834447020587959e+02
2.068969999999999800e+03,6.014847120922577517e+01,-3.374259866047559626e+02
2.097900000000000091e+03,6.007304118792740155e+01,-3.327853972433790091e+02
2.142860000000000127e+03,5.995708708373731355e+01,-3.258284442915215209e+02
2.173909999999999854e+03,5.988196441264466330e+01,-3.211885257400749083e+02
2.222219999999999800e+03,5.977146630542382866e+01,-3.142297731146741171e+02
2.255639999999999873e+03,5.969919879679139285e+01,-3.095915739939011928e+02
2.307690000000000055e+03,5.958873202390659429e+01,-3.026301926391070083e+02
2.343750000000000000e+03,5.951979828081357482e+01,-2.979920007258772898e+02
2.400000000000000000e+03,5.942272308530620251e+01,-2.910396500773167645e+02
2.439019999999999982e+03,5.935273146430660773e+01,-2.863995958319877104e+02
2.479340000000000146e+03,5.928295272867520538e+01,-2.817588768783863316e+02
2.521010000000000218e+03,5.921501232438894391e+01,-2.771170139930467258e+02
2.586210000000000036e+03,5.911447894480573950e+01,-2.701560191502016437e+02
2.631579999999999927e+03,5.904839285300694485e+01,-2.655122281599794292e+02
2.678570000000000164e+03,5.898449633281585847e+01,-2.608727869218329261e+02
2.727269999999999982e+03,5.892009909131225243e+01,-2.562288917727076978e+02
2.777780000000000200e+03,5.885573684030527630e+01,-2.515863865195904054e+02
2.830190000000000055e+03,5.879207507752705908e+01,-2.469438876021806379e+02
2.884619999999999891e+03,5.873023257255806584e+01,-2.423009002685983546e+02
2.941179999999999836e+03,5.866695788776240761e+01,-2.376579712868800698e+02
3.000000000000000000e+03,5.860699157060518871e+01,-2.330126465216920622e+02
3.030300000000000182e+03,5.857746142269261469e+01,-2.306931841413459665e+02
3.092780000000000200e+03,5.851645558452685947e+01,-2.260498649122005190e+02
3.157889999999999873e+03,5.845742155406678364e+01,-2.214057901552037890e+02
3.225809999999999945e+03,5.839769118713100937e+01,-2.167623554610266865e+02
3.296699999999999818e+03,5.834068532903007309e+01,-2.121182794111320788e+02
3.333329999999999927e+03,5.831273277192312321e+01,-2.097967771360424933e+02
3.409090000000000146e+03,5.825530727784765617e+01,-2.051522028713402790e+02
3.448280000000000200e+03,5.822671349915932382e+01,-2.028308565383650262e+02
3.529409999999999854e+03,5.817117261578437137e+01,-1.981862202210451755e+02
3.614460000000000036e+03,5.811624417448057756e+01,-1.935397015913069652e+02
3.658539999999999964e+03,5.808799465821967090e+01,-1.912176994751967243e+02
3.750000000000000000e+03,5.803312191302723733e+01,-1.865717504930146617e+02
3.797469999999999800e+03,5.800673333646673768e+01,-1.842496570217487317e+02
3.896099999999999909e+03,5.795292246710640427e+01,-1.796035970172133318e+02
3.947369999999999891e+03,5.792661703817377372e+01,-1.772801428657839153e+02
4.000000000000000000e+03,5.790047301520295520e+01,-1.749570540035918214e+02
4.109590000000000146e+03,5.784999111043045161e+01,-1.703121712900258728e+02
4.166670000000000073e+03,5.782440989416497246e+01,-1.679895210701893689e+02
4.225350000000000364e+03,5.779915564726117339e+01,-1.656646231712240649e+02
4.347829999999999927e+03,5.775328420696389031e+01,-1.610179058592852925e+02
4.411760000000000218e+03,5.772572648907506476e+01,-1.586940584593780272e+02
4.477609999999999673e+03,5.770148836587889463e+01,-1.563705872898171947e+02
4.615380000000000109e+03,5.765276404100992380e+01,-1.517225133176735596e+02
4.687500000000000000e+03,5.762966353383566798e+01,-1.493981200182147120e+02
4.761899999999999636e+03,5.760540426666803882e+01,-1.470740208475777990e+02
4.838710000000000036e+03,5.758195268958291990e+01,-1.447492668321834230e+02
4.918029999999999745e+03,5.755824420018434751e+01,-1.424251522049106029e+02
5.000000000000000000e+03,5.753197073191620348e+01,-1.400970193962096175e+02
5.084750000000000000e+03,5.750736813728538266e+01,-1.377444732064511470e+02
5.263159999999999854e+03,5.746757308732487246e+01,-1.331247086173448793e+02
5.357140000000000327e+03,5.743799179398116195e+01,-1.307959135549523069e+02
5.454550000000000182e+03,5.741360413400447271e+01,-1.284694099205870259e+02
5.555560000000000400e+03,5.739318089580574878e+01,-1.261343921008910200e+02
5.660380000000000109e+03,5.736922573440682527e+01,-1.238125910504851390e+02
5.769229999999999563e+03,5.734024116364499690e+01,-1.214913099455884122e+02
5.882350000000000364e+03,5.732602931636348131e+01,-1.191397001793249188e+02
6.000000000000000000e+03,5.730234032638372810e+01,-1.168354353529754093e+02
6.000000000000000000e+03,5.729075863468555951e+01,-1.168355461795005397e+02
6.122449999999999818e+03,5.727711413112805161e+01,-1.144910326523860675e+02
6.250000000000000000e+03,5.724885514359434779e+01,-1.121804783406977180e+02
6.382979999999999563e+03,5.722872586247245863e+01,-1.098450036057989081e+02
6.521739999999999782e+03,5.720012332687338130e+01,-1.075320523955089271e+02
6.666670000000000073e+03,5.717968756671624675e+01,-1.052041417947635438e+02
6.818180000000000291e+03,5.715733735108879898e+01,-1.028773031719524909e+02
6.976739999999999782e+03,5.713591883386516912e+01,-1.005332780924305354e+02
6.976739999999999782e+03,5.713636655638195805e+01,-1.005295729660419823e+02
7.142859999999999673e+03,5.711335930692182217e+01,-9.822203718452620080e+01
7.317069999999999709e+03,5.709500748335442211e+01,-9.587513684201812225e+01
7.500000000000000000e+03,5.706859852118778065e+01,-9.356643346749667955e+01
7.500000000000000000e+03,5.706859852118778065e+01,-9.356643346749667955e+01
7.692310000000000400e+03,5.704500214731696417e+01,-9.123863516083855529e+01
7.894739999999999782e+03,5.702494543517953929e+01,-8.891010895345250731e+01
8.108109999999999673e+03,5.700265074161416123e+01,-8.658117999559462419e+01
8.108109999999999673e+03,5.700320063647087920e+01,-8.658201522948196782e+01
8.333329999999999927e+03,5.698163690084713551e+01,-8.425335260451073793e+01
8.571430000000000291e+03,5.695929940482076859e+01,-8.192378780379959835e+01
8.571430000000000291e+03,5.695961364535035187e+01,-8.192393470611879991e+01
8.823530000000000655e+03,5.693813658989642335e+01,-7.959431208265009161e+01
9.090909999999999854e+03,5.691644269393906086e+01,-7.726534881534897181e+01
9.090909999999999854e+03,5.691657754732583641e+01,-7.726524947729893711e+01
9.375000000000000000e+03,5.690009155835306132e+01,-7.493485443244044575e+01
9.375000000000000000e+03,5.689896367486635853e+01,-7.493445524380783240e+01
9.677420000000000073e+03,5.687855176029390947e+01,-7.260356075160203204e+01
1.000000000000000000e+04,5.685488458232108400e+01,-7.027361091455985331e+01
1.000000000000000000e+04,5.685451348617795020e+01,-7.027365388970470406e+01
1.034479999999999927e+04,5.683297064487215522e+01,-6.794327133954546127e+01
1.034479999999999927e+04,5.683289674588012019e+01,-6.794294203728692594e+01
1.071429999999999927e+04,5.681121432143107342e+01,-6.561057092637149424e+01
1.071429999999999927e+04,5.681105075602864218e+01,-6.561084483289280911e+01
1.111110000000000036e+04,5.678951117607409316e+01,-6.327916766576939267e+01
1.111110000000000036e+04,5.678960110654369231e+01,-6.327949005420041573e+01
1.153850000000000000e+04,5.676757903505720293e+01,-6.094696716932298131e+01
1.153850000000000000e+04,5.676747266244611723e+01,-6.094706624734640599e+01
1.200000000000000000e+04,5.674655612712698627e+01,-5.861355637112311001e+01
1.200000000000000000e+04,5.674690391302819137e+01,-5.861391559941671403e+01
1.250000000000000000e+04,5.672520855108638926e+01,-5.628103730783358571e+01
1.250000000000000000e+04,5.672551974448417411e+01,-5.628114959982725907e+01
1.304350000000000000e+04,5.670339070021095296e+01,-5.394697939559943478e+01
1.304350000000000000e+04,5.670368049891358453e+01,-5.394725510688312653e+01
1.304350000000000000e+04,5.670368049891358453e+01,-5.394725510688312653e+01
1.363639999999999964e+04,5.668201680237792317e+01,-5.161302714639924716e+01
1.363639999999999964e+04,5.668170490243331727e+01,-5.161292409313260521e+01
1.428570000000000073e+04,5.665951387283903529e+01,-4.927837019112502759e+01
1.428570000000000073e+04,5.665966478177319487e+01,-4.927850144086252726e+01
1.428570000000000073e+04,5.665951387283903529e+01,-4.927837019112502759e+01
1.500000000000000000e+04,5.664027481487075733e+01,-4.694189349499992403e+01
1.500000000000000000e+04,5.664066965698017952e+01,-4.694188721492613325e+01
1.578950000000000000e+04,5.661840529968423397e+01,-4.460583772647575529e+01
1.578950000000000000e+04,5.661856170250199938e+01,-4.460580079350636851e+01
1.578950000000000000e+04,5.661863955422469985e+01,-4.460570197540648962e+01
1.666670000000000073e+04,5.659658961153618151e+01,-4.226914048751590514e+01
1.666670000000000073e+04,5.659643571699194808e+01,-4.226917942866170819e+01
1.666670000000000073e+04,5.659627547521061075e+01,-4.226905975171524688e+01
1.764709999999999854e+04,5.657411402986889470e+01,-3.993157247273629906e+01
1.764709999999999854e+04,5.657388093845680288e+01,-3.993155588217560137e+01
1.764709999999999854e+04,5.657411402986889470e+01,-3.993157247273629906e+01
1.875000000000000000e+04,5.655156967719473471e+01,-3.759326340297407398e+01
1.875000000000000000e+04,5.655110533952581164e+01,-3.759323936345278838e+01
1.875000000000000000e+04,5.655130217649163171e+01,-3.759294326204232561e+01
2.000000000000000000e+04,5.653170922293165290e+01,-3.525171464161573454e+01
2.000000000000000000e+04,5.653164769699679937e+01,-3.525181330800781865e+01
2.000000000000000000e+04,5.653194045720211136e+01,-3.525172180054975968e+01
