# Tue Sep 26 15:49:46 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
2.977997994422912598e+01,4.000340000000000007e-01,9.055869999999999417e-08
2.998191571235656738e+01,1.000089999999999923e+00,8.300750000000000528e-07
3.013967823982238770e+01,4.000380000000000047e-01,8.771119999999999465e-08
3.034170293807983398e+01,9.000709999999999544e-01,6.224809999999999741e-07
3.051286768913269043e+01,4.000360000000000027e-01,8.817509999999999922e-08
3.071693515777587891e+01,8.000939999999999719e-01,4.969199999999999789e-07
3.087083292007446289e+01,4.000349999999999739e-01,8.915769999999999374e-08
3.107385993003845215e+01,7.000800000000000356e-01,3.675979999999999807e-07
3.122905111312866211e+01,4.000420000000000087e-01,8.587019999999999822e-08
3.143174862861633301e+01,6.000769999999999715e-01,2.585390000000000098e-07
3.159041762351989746e+01,4.000360000000000027e-01,8.647560000000000442e-08
3.179066777229309082e+01,5.000580000000000025e-01,1.998680000000000001e-07
3.194616675376892090e+01,4.000349999999999739e-01,8.026040000000000049e-08
3.214814639091491699e+01,4.000380000000000047e-01,8.547369999999999860e-08
3.228863859176635742e+01,4.000380000000000047e-01,8.482329999999999431e-08
3.243113565444946289e+01,2.999870000000000037e-01,4.694870000000000270e-08
3.257211494445800781e+01,4.000319999999999987e-01,8.526400000000000169e-08
3.271140408515930176e+01,1.999769999999999881e-01,2.225999999999999882e-08
3.285255217552185059e+01,4.000369999999999759e-01,8.202769999999999541e-08
3.299312758445739746e+01,9.999260000000000093e-02,7.571850000000000069e-09
3.313288044929504395e+01,4.000330000000000275e-01,8.314699999999999670e-08
3.327364611625671387e+01,-1.213549999999999926e-05,-9.536740000000000266e-14
3.341348147392272949e+01,4.000420000000000087e-01,8.187869999999999851e-08
3.355773639678955078e+01,-1.000540000000000040e-01,-7.190480000000000175e-09
3.370003223419189453e+01,4.000460000000000127e-01,8.377690000000000421e-08
3.384112143516540527e+01,-2.000450000000000006e-01,-2.204080000000000106e-08
3.398237681388854980e+01,4.000420000000000087e-01,8.316770000000000429e-08
3.413536763191223145e+01,-3.000889999999999946e-01,-4.886529999999999751e-08
3.427486538887023926e+01,4.000380000000000047e-01,8.553629999999999547e-08
3.441441035270690918e+01,-4.001080000000000192e-01,-9.017099999999999395e-08
3.455594396591186523e+01,4.000409999999999799e-01,8.903069999999999531e-08
3.471127009391784668e+01,-5.001189999999999802e-01,-1.671430000000000032e-07
3.486732244491577148e+01,4.000380000000000047e-01,8.116499999999999920e-08
3.506930756568908691e+01,-6.001619999999999733e-01,-2.480899999999999934e-07
3.522635698318481445e+01,4.000360000000000027e-01,8.433130000000000552e-08
3.542775440216064453e+01,-7.001709999999999878e-01,-3.470849999999999875e-07
3.558525276184082031e+01,4.000420000000000087e-01,7.992969999999999872e-08
3.578969573974609375e+01,-8.001509999999999456e-01,-4.614359999999999770e-07
3.594463038444519043e+01,4.000389999999999779e-01,7.962340000000000610e-08
3.614738774299621582e+01,-9.001700000000000257e-01,-6.296299999999999543e-07
3.630355405807495117e+01,4.000369999999999759e-01,8.481359999999999920e-08
3.650766897201538086e+01,-1.000159999999999938e+00,-7.679919999999999858e-07
3.666459250450134277e+01,4.000400000000000067e-01,8.244259999999999735e-08
3.686825823783874512e+01,-1.100200000000000067e+00,-1.011059999999999896e-06
3.703820753097534180e+01,4.000380000000000047e-01,9.026690000000000476e-08
3.724085187911987305e+01,-1.200180000000000025e+00,-1.215200000000000029e-06
3.741266608238220215e+01,4.000420000000000087e-01,9.639299999999999501e-08
3.761673235893249512e+01,-1.300159999999999982e+00,-1.531730000000000071e-06
3.778898882865905762e+01,4.000389999999999779e-01,8.969889999999999596e-08
3.799453330039978027e+01,-1.400169999999999915e+00,-1.935200000000000123e-06
3.816591954231262207e+01,4.000389999999999779e-01,8.951430000000000634e-08
3.836936593055725098e+01,-1.500140000000000029e+00,-2.343150000000000173e-06
3.854187297821044922e+01,4.000480000000000147e-01,1.065249999999999960e-07
3.869903039932250977e+01,-1.600119999999999987e+00,-2.741150000000000005e-06
3.885556435585021973e+01,4.000380000000000047e-01,9.462099999999999740e-08
3.906100320816040039e+01,-1.700150000000000050e+00,-3.071820000000000093e-06
3.923364114761352539e+01,4.000380000000000047e-01,9.102519999999999375e-08
3.945177817344665527e+01,-1.800130000000000008e+00,-3.640969999999999972e-06
3.962606382369995117e+01,4.000420000000000087e-01,9.069509999999999796e-08
3.982883167266845703e+01,-1.900130000000000097e+00,-4.003339999999999689e-06
3.999977350234985352e+01,4.000380000000000047e-01,9.528320000000000448e-08
4.020629787445068359e+01,-2.000109999999999832e+00,-4.563100000000000408e-06
4.037703299522399902e+01,4.000369999999999759e-01,8.990669999999999601e-08
4.058053064346313477e+01,-2.100290000000000212e+00,-4.923129999999999907e-06
4.075465059280395508e+01,4.000409999999999799e-01,8.232409999999999533e-08
4.095512676239013672e+01,-2.200450000000000017e+00,-5.171659999999999711e-06
4.112934923171997070e+01,4.000460000000000127e-01,7.904999999999999648e-08
4.133254766464233398e+01,-2.300349999999999895e+00,-5.784059999999999980e-06
4.150564384460449219e+01,4.000389999999999779e-01,7.481440000000000585e-08
4.171123671531677246e+01,-2.400520000000000209e+00,-6.175309999999999834e-06
4.188252401351928711e+01,4.000489999999999879e-01,6.851280000000000189e-08
4.208481454849243164e+01,-2.500410000000000021e+00,-6.512839999999999972e-06
4.225664401054382324e+01,4.000520000000000187e-01,6.328290000000000612e-08
4.245901179313659668e+01,-2.600589999999999957e+00,-7.035659999999999991e-06
4.263013887405395508e+01,4.000529999999999919e-01,7.265989999999999804e-08
4.283254885673522949e+01,-2.700470000000000148e+00,-7.636520000000000198e-06
4.300462436676025391e+01,4.000540000000000207e-01,7.033439999999999485e-08
4.320850801467895508e+01,-2.800450000000000106e+00,-8.516919999999999425e-06
4.338240790367126465e+01,4.000589999999999979e-01,6.484529999999999899e-08
4.358729147911071777e+01,-2.900609999999999911e+00,-8.435540000000000215e-06
4.376161837577819824e+01,4.000480000000000147e-01,5.212810000000000076e-08
4.396299695968627930e+01,-3.000500000000000167e+00,-9.338300000000000021e-06
4.413711071014404297e+01,4.000509999999999899e-01,4.955030000000000000e-08
4.433890914916992188e+01,-3.100729999999999986e+00,-9.675830000000000159e-06
4.451245474815368652e+01,4.000540000000000207e-01,3.624449999999999742e-08
4.471662116050720215e+01,-3.200540000000000163e+00,-8.041019999999999798e-05
4.488919878005981445e+01,4.000670000000000059e-01,8.549480000000000135e-07
4.504849028587341309e+01,-3.300819999999999865e+00,-2.794660000000000243e-04
4.521967411041259766e+01,4.000739999999999852e-01,1.515409999999999989e-06
4.537352848052978516e+01,-3.400599999999999845e+00,-2.925280000000000154e-04
