# Frecuencia que pedimos vs frecuencia que manda 
#  Frecuencia pedida [Hz], Frecuencia LCR [Hz]
5.565118804414249354e+01,5.565859999999999985e+01
5.616663997646345763e+01,5.616929999999999978e+01
5.668686612302619210e+01,5.668930000000000291e+01
5.721191070351484598e+01,5.721920000000000073e+01
5.774181834718473283e+01,5.774779999999999802e+01
5.827663409665574790e+01,5.828640000000000043e+01
5.881640341174128395e+01,5.882350000000000279e+01
5.936117217331205609e+01,5.937069999999999936e+01
5.991098668719627085e+01,5.991610000000000014e+01
6.046589368811556398e+01,6.047169999999999845e+01
6.102594034365739617e+01,6.103759999999999764e+01
6.159117425828453918e+01,6.160159999999999769e+01
6.216164347738128271e+01,6.216329999999999956e+01
6.273739649133753460e+01,6.274839999999999662e+01
6.331848223967045186e+01,6.333120000000000260e+01
6.390495011518424917e+01,6.391140000000000043e+01
6.449684996816884563e+01,6.450230000000000530e+01
6.509423211063696613e+01,6.510420000000000584e+01
6.569714732060087670e+01,6.570300000000000296e+01
6.630564684638851247e+01,6.631300000000000239e+01
6.691978241099947411e+01,6.693439999999999657e+01
6.753960621650183782e+01,6.755240000000000578e+01
6.816517094846905422e+01,6.816630000000000678e+01
6.879652978045849920e+01,6.880729999999999791e+01
6.943373637853123626e+01,6.944440000000000168e+01
7.007684490581348769e+01,7.007710000000000150e+01
7.072591002710086627e+01,7.073799999999999955e+01
7.138098691350460001e+01,7.139459999999999695e+01
7.204213124714141259e+01,7.204609999999999559e+01
7.270939922586640591e+01,7.270959999999999468e+01
7.338284756804988263e+01,7.338549999999999329e+01
7.406253351739854907e+01,7.407410000000000139e+01
7.474851484782129774e+01,7.475700000000000500e+01
7.544084986833995288e+01,7.545269999999999300e+01
7.613959742804573239e+01,7.614209999999999923e+01
7.684481692110122708e+01,7.686400000000000432e+01
7.755656829178916212e+01,7.755949999999999989e+01
7.827491203960768473e+01,7.828810000000000002e+01
7.899990922441287466e+01,7.900969999999999516e+01
7.973162147160883251e+01,7.974479999999999791e+01
8.047011097738587182e+01,8.047209999999999752e+01
8.121544051400731234e+01,8.123480000000000700e+01
8.196767343514524384e+01,8.198959999999999582e+01
8.272687368126548790e+01,8.273579999999999757e+01
8.349310578506275249e+01,8.349569999999999936e+01
8.426643487694579449e+01,8.426970000000000027e+01
8.504692669057365606e+01,8.505809999999999604e+01
8.583464756844315957e+01,8.583689999999999998e+01
8.662966446752798788e+01,8.663009999999999877e+01
8.743204496497010325e+01,8.743810000000000571e+01
8.824185726382381745e+01,8.826130000000000564e+01
8.905917019885312413e+01,8.907359999999999900e+01
8.988405324238284777e+01,8.990109999999999957e+01
9.071657651020373692e+01,9.074410000000000309e+01
9.155681076753238301e+01,9.157510000000000616e+01
9.240482743502627727e+01,9.242140000000000555e+01
9.326069859485464519e+01,9.328360000000000696e+01
9.412449699682564130e+01,9.413240000000000407e+01
9.499629606457000364e+01,9.499679999999999325e+01
9.587616990178220533e+01,9.587730000000000530e+01
9.676419329851916018e+01,9.677419999999999334e+01
9.766044173755760482e+01,9.768800000000000239e+01
9.856499140081028543e+01,9.858689999999999998e+01
9.947791917580126153e+01,9.950249999999999773e+01
1.003993026622015918e+02,1.004020000000000010e+02
1.013292201784253876e+02,1.013509999999999991e+02
1.022677507682865325e+02,1.022840000000000060e+02
1.032149742077181571e+02,1.032349999999999994e+02
1.041709710115532204e+02,1.042030000000000030e+02
1.051358224403684005e+02,1.051520000000000010e+02
1.061096105073914941e+02,1.061200000000000045e+02
1.070924179854721672e+02,1.071050000000000040e+02
1.080843284141183176e+02,1.081080000000000041e+02
1.090854261065967421e+02,1.090909999999999940e+02
1.100957961570993717e+02,1.101320000000000050e+02
1.111155244479775774e+02,1.111520000000000010e+02
1.121446976570406662e+02,1.121500000000000057e+02
1.131834032649248627e+02,1.132079999999999984e+02
1.142317295625287130e+02,1.142420000000000044e+02
1.152897656585174815e+02,1.152960000000000065e+02
1.163576014868987158e+02,1.163689999999999998e+02
1.174353278146651292e+02,1.174629999999999939e+02
1.185230362495110654e+02,1.185300000000000011e+02
1.196208192476188970e+02,1.196650000000000063e+02
1.207287701215172859e+02,1.207729999999999961e+02
1.218469830480142519e+02,1.218520000000000039e+02
1.229755530762004838e+02,1.230010000000000048e+02
1.241145761355300294e+02,1.241209999999999951e+02
1.252641490439738590e+02,1.253130000000000024e+02
1.264243695162489871e+02,1.264759999999999991e+02
1.275953361721256698e+02,1.276050000000000040e+02
1.287771485448083979e+02,1.288110000000000070e+02
1.299699070893977932e+02,1.299830000000000041e+02
1.311737131914287318e+02,1.311759999999999877e+02
1.323886691754879052e+02,1.323919999999999959e+02
1.336148783139122997e+02,1.336299999999999955e+02
1.348524448355668710e+02,1.348919999999999959e+02
1.361014739347041598e+02,1.361160000000000139e+02
1.373620717799061595e+02,1.373629999999999995e+02
1.386343455231081521e+02,1.386959999999999980e+02
1.399184033087074965e+02,1.399250000000000114e+02
1.412143542827554654e+02,1.412429999999999950e+02
1.425223086022349150e+02,1.425860000000000127e+02
1.438423774444238745e+02,1.438849999999999909e+02
1.451746730163450820e+02,1.452079999999999984e+02
1.465193085643046231e+02,1.465560000000000116e+02
1.478763983835173406e+02,1.479290000000000020e+02
1.492460578278221703e+02,1.492539999999999907e+02
1.506284033194875462e+02,1.506779999999999973e+02
1.520235523591066169e+02,1.520529999999999973e+02
1.534316235355860556e+02,1.534530000000000030e+02
1.548527365362254216e+02,1.548789999999999907e+02
1.562870121568908530e+02,1.563309999999999889e+02
1.577345723122831487e+02,1.578120000000000118e+02
1.591955400462997261e+02,1.592359999999999900e+02
1.606700395424947203e+02,1.606860000000000070e+02
1.621581961346337550e+02,1.621620000000000061e+02
1.636601363173478205e+02,1.636659999999999968e+02
1.651759877568854620e+02,1.651980000000000075e+02
1.667058793019639324e+02,1.667589999999999861e+02
1.682499409947223796e+02,1.682560000000000002e+02
1.698083040817749634e+02,1.698750000000000000e+02
1.713811010253669735e+02,1.714290000000000020e+02
1.729684655146345449e+02,1.730099999999999909e+02
1.745705324769676281e+02,1.746220000000000141e+02
1.761874380894798549e+02,1.762630000000000052e+02
1.778193197905831937e+02,1.778300000000000125e+02
1.794663162916704096e+02,1.795329999999999870e+02
1.811285675889058950e+02,1.811589999999999918e+02
1.828062149751246750e+02,1.828149999999999977e+02
1.844994010518435061e+02,1.845020000000000095e+02
1.862082697413815424e+02,1.862199999999999989e+02
1.879329662990938346e+02,1.879699999999999989e+02
1.896736373257185733e+02,1.897529999999999859e+02
1.914304307798373372e+02,1.914490000000000123e+02
1.932034959904529501e+02,1.932990000000000066e+02
1.949929836696817631e+02,1.950589999999999975e+02
1.967990459255645419e+02,1.968499999999999943e+02
1.986218362749960420e+02,1.986750000000000114e+02
2.004615096567731030e+02,2.005349999999999966e+02
2.023182224447659792e+02,2.024290000000000020e+02
2.041921324612093258e+02,2.042210000000000036e+02
2.060833989901175300e+02,2.061860000000000070e+02
2.079921827908241028e+02,2.080440000000000111e+02
2.099186461116455575e+02,2.099370000000000118e+02
2.118629527036740399e+02,2.118640000000000043e+02
2.138252678346952393e+02,2.138280000000000030e+02
2.158057583032367575e+02,2.158269999999999982e+02
2.178045924527461352e+02,2.178650000000000091e+02
2.198219401858994786e+02,2.199410000000000025e+02
2.218579729790445754e+02,2.218930000000000007e+02
2.239128638967756899e+02,2.240480000000000018e+02
2.259867876066443557e+02,2.260740000000000123e+02
2.280799203940066491e+02,2.281370000000000005e+02
2.301924401770064890e+02,2.302379999999999995e+02
2.323245265217003919e+02,2.323779999999999859e+02
2.344763606573197308e+02,2.345579999999999927e+02
2.366481254916756427e+02,2.367800000000000011e+02
2.388400056267065281e+02,2.388540000000000134e+02
2.410521873741685397e+02,2.411579999999999870e+02
2.432848587714736368e+02,2.433089999999999975e+02
2.455382095976718517e+02,2.456999999999999886e+02
2.478124313895831676e+02,2.479339999999999975e+02
2.501077174580782980e+02,2.502090000000000032e+02
2.524242629045095043e+02,2.525250000000000057e+02
2.547622646372957433e+02,2.548849999999999909e+02
2.571219213886593025e+02,2.572900000000000205e+02
2.595034337315174184e+02,2.595160000000000196e+02
2.619070040965335693e+02,2.620090000000000146e+02
2.643328367893210498e+02,2.645500000000000114e+02
2.667811380078117622e+02,2.669039999999999964e+02
2.692521158597822364e+02,2.693000000000000114e+02
2.717459803805418801e+02,2.719859999999999900e+02
2.742629435507891458e+02,2.744739999999999895e+02
2.768032193146263467e+02,2.770079999999999814e+02
2.793670235977479592e+02,2.795899999999999750e+02
2.819545743257936010e+02,2.822200000000000273e+02
2.845660914428704018e+02,2.846299999999999955e+02
2.872017969302521578e+02,2.873559999999999945e+02
2.898619148252433320e+02,2.901349999999999909e+02
2.925466712402260328e+02,2.926829999999999927e+02
2.952562943818782628e+02,2.952760000000000105e+02
2.979910145705707691e+02,2.982110000000000127e+02
3.007510642599477251e+02,3.009030000000000200e+02
3.035366780566811258e+02,3.036440000000000055e+02
3.063480927404160070e+02,3.064350000000000023e+02
3.091855472838957439e+02,3.092780000000000200e+02
3.120492828732736257e+02,3.121750000000000114e+02
3.149395429286173567e+02,3.151259999999999764e+02
3.178565731245956272e+02,3.181340000000000146e+02
3.208006214113640340e+02,3.208559999999999945e+02
3.237719380356398915e+02,3.239739999999999895e+02
3.267707755619721297e+02,3.267970000000000255e+02
3.297973888942130429e+02,3.300330000000000155e+02
3.328520352971807483e+02,3.329630000000000223e+02
3.359349744185306577e+02,3.359460000000000264e+02
3.390464683108243094e+02,3.393670000000000186e+02
3.421867814538027233e+02,3.424660000000000082e+02
3.453561807768712129e+02,3.456220000000000141e+02
3.485549356817838884e+02,3.488369999999999891e+02
3.517833180655465526e+02,3.521129999999999995e+02
3.550416023435272450e+02,3.554499999999999886e+02
3.583300654727799497e+02,3.584230000000000018e+02
3.616489869755903896e+02,3.618820000000000050e+02
3.649986489632304938e+02,3.654080000000000155e+02
3.683793361599422269e+02,3.685500000000000114e+02
3.717913359271377089e+02,3.722080000000000268e+02
3.752349382878239794e+02,3.754689999999999941e+02
3.787104359512591145e+02,3.787880000000000109e+02
3.822181243378276463e+02,3.826530000000000200e+02
3.857583016041555766e+02,3.861000000000000227e+02
3.893312686684527080e+02,3.896100000000000136e+02
3.929373292360889423e+02,3.931850000000000023e+02
3.965767898254143233e+02,3.968249999999999886e+02
4.002499597938074771e+02,4.005339999999999918e+02
4.039571513639757541e+02,4.043129999999999882e+02
4.076986796504928634e+02,4.081630000000000109e+02
4.114748626865823553e+02,4.115230000000000246e+02
4.152860214511550225e+02,4.155120000000000005e+02
4.191324798960866360e+02,4.195799999999999841e+02
4.230145649737589792e+02,4.231309999999999718e+02
4.269326066648491746e+02,4.273500000000000227e+02
4.308869380063765107e+02,4.310339999999999918e+02
4.348778951200160350e+02,4.354139999999999873e+02
4.389058172406627705e+02,4.392389999999999759e+02
4.429710467452719058e+02,4.431309999999999718e+02
4.470739291819593859e+02,4.470939999999999941e+02
4.512148132993718832e+02,4.518070000000000164e+02
4.553940510763360408e+02,4.559270000000000209e+02
4.596119977517702750e+02,4.601229999999999905e+02
4.638690118548855708e+02,4.643960000000000150e+02
4.681654552356589534e+02,4.687500000000000000e+02
4.725016930955890757e+02,4.731859999999999786e+02
4.768780940187441502e+02,4.769479999999999791e+02
4.812950300030848894e+02,4.815409999999999968e+02
4.857528764920901381e+02,4.862239999999999895e+02
4.902520124066680296e+02,4.909979999999999905e+02
4.947928201773623869e+02,4.950489999999999782e+02
4.993756857768653958e+02,5.000000000000000000e+02
5.040009987528184752e+02,5.042019999999999982e+02
5.086691522609297067e+02,5.093380000000000223e+02
5.133805430983904898e+02,5.136989999999999554e+02
5.181355717376012535e+02,5.190309999999999491e+02
5.229346423602185041e+02,5.235599999999999454e+02
5.277781628915021201e+02,5.281689999999999827e+02
5.326665450349962612e+02,5.328600000000000136e+02
5.376002043075216079e+02,5.376340000000000146e+02
5.425795600744929743e+02,5.434779999999999518e+02
5.476050355855716134e+02,5.484460000000000264e+02
5.526770580106340276e+02,5.535059999999999718e+02
5.577960584760879783e+02,5.586589999999999918e+02
5.629624721015163686e+02,5.639099999999999682e+02
5.681767380366603675e+02,5.681820000000000164e+02
5.734392994987540533e+02,5.736140000000000327e+02
5.787506038101901140e+02,5.791509999999999536e+02
5.841111024365491176e+02,5.847949999999999591e+02
5.895212510249717752e+02,5.905510000000000446e+02
5.949815094428881821e+02,5.952380000000000564e+02
6.004923418171099456e+02,6.012019999999999982e+02
6.060542165732792910e+02,6.060610000000000355e+02
6.116676064756863980e+02,6.122450000000000045e+02
6.173329886674549698e+02,6.185570000000000164e+02
6.230508447110977386e+02,6.237010000000000218e+02
6.288216606294530493e+02,6.289310000000000400e+02
6.346459269469953597e+02,6.355929999999999609e+02
6.405241387315301154e+02,6.410259999999999536e+02
6.464567956362761834e+02,6.465520000000000209e+02
6.524444019423340251e+02,6.535950000000000273e+02
6.584874666015538196e+02,6.593410000000000082e+02
6.645865032797944423e+02,6.651879999999999882e+02
6.707420304005858043e+02,6.711409999999999627e+02
6.769545711891967130e+02,6.772010000000000218e+02
6.832246537171057525e+02,6.833709999999999809e+02
6.895528109468929188e+02,6.896549999999999727e+02
6.959395807775383673e+02,6.960560000000000400e+02
7.023855060901456682e+02,7.025760000000000218e+02
7.088911347940871792e+02,7.092200000000000273e+02
7.154570198735747226e+02,7.159900000000000091e+02
7.220837194346676142e+02,7.228920000000000528e+02
7.287717967527089513e+02,7.299270000000000209e+02
7.355218203202061886e+02,7.371009999999999991e+02
7.423343638951535013e+02,7.425739999999999554e+02
7.492100065497986634e+02,7.500000000000000000e+02
7.561493327198699035e+02,7.575760000000000218e+02
7.631529322542497766e+02,7.633590000000000373e+02
7.702214004651139021e+02,7.712079999999999700e+02
7.773553381785336569e+02,7.792210000000000036e+02
7.845553517855439623e+02,7.853400000000000318e+02
7.918220532936918516e+02,7.936509999999999536e+02
7.991560603790539972e+02,8.000000000000000000e+02
8.065579964387411565e+02,8.086250000000000000e+02
8.140284906438878352e+02,8.152169999999999845e+02
8.215681779931294386e+02,8.219180000000000064e+02
8.291776993665823738e+02,8.310249999999999773e+02
8.368577015803169843e+02,8.379890000000000327e+02
8.446088374413345718e+02,8.450700000000000500e+02
8.524317658030651046e+02,8.547010000000000218e+02
8.603271516213591212e+02,8.620689999999999600e+02
8.682956660110186249e+02,8.695650000000000546e+02
8.763379863028389991e+02,8.771929999999999836e+02
8.844547961011795678e+02,8.849560000000000173e+02
8.926467853420796246e+02,8.928569999999999709e+02
9.009146503518918507e+02,9.036140000000000327e+02
9.092590939064800750e+02,9.118540000000000418e+02
9.176808252909523844e+02,9.202450000000000045e+02
9.261805603599475489e+02,9.287930000000000064e+02
9.347590215984928363e+02,9.375000000000000000e+02
9.434169381834036585e+02,9.463719999999999573e+02
9.521550460452737070e+02,9.523809999999999718e+02
9.609740879310269293e+02,9.615380000000000109e+02
9.698748134670468062e+02,9.708740000000000236e+02
9.788579792229064651e+02,9.803920000000000528e+02
9.879243487756642708e+02,9.900990000000000464e+02
9.970746927747788959e+02,1.000000000000000000e+03
1.006309789007611471e+03,1.006710000000000036e+03
1.015630422465534252e+03,1.016950000000000045e+03
1.025037385410666730e+03,1.027400000000000091e+03
1.034531477443204039e+03,1.038059999999999945e+03
1.044113505569395102e+03,1.045299999999999955e+03
1.053784284270135458e+03,1.056339999999999918e+03
1.063544635570193350e+03,1.063829999999999927e+03
1.073395389108095287e+03,1.075269999999999982e+03
1.083337382206630537e+03,1.086960000000000036e+03
1.093371459944036360e+03,1.094890000000000100e+03
1.103498475225825814e+03,1.107009999999999991e+03
1.113719288857281981e+03,1.115240000000000009e+03
1.124034769616637732e+03,1.127819999999999936e+03
1.134445794328908732e+03,1.136359999999999900e+03
1.144953247940435858e+03,1.145039999999999964e+03
1.155558023594101542e+03,1.158299999999999955e+03
1.166261022705243931e+03,1.167319999999999936e+03
1.177063155038290233e+03,1.181099999999999909e+03
1.187965338784071491e+03,1.190480000000000018e+03
1.198968500637882016e+03,1.200000000000000000e+03
1.210073575878245038e+03,1.214569999999999936e+03
1.221281508446407543e+03,1.224490000000000009e+03
1.232593251026588632e+03,1.234569999999999936e+03
1.244009765126942511e+03,1.244809999999999945e+03
1.255532021161300236e+03,1.260500000000000000e+03
1.267160998531651103e+03,1.271190000000000055e+03
1.278897685711387567e+03,1.282049999999999955e+03
1.290743080329340501e+03,1.293099999999999909e+03
1.302698189254560702e+03,1.304349999999999909e+03
1.314764028681917125e+03,1.315789999999999964e+03
1.326941624218470224e+03,1.327430000000000064e+03
1.339232010970643159e+03,1.339289999999999964e+03
1.351636233632222229e+03,1.357470000000000027e+03
1.364155346573137194e+03,1.369859999999999900e+03
1.376790413929099486e+03,1.382490000000000009e+03
1.389542509692048270e+03,1.395349999999999909e+03
1.402412717801435520e+03,1.408450000000000045e+03
1.415402132236378065e+03,1.421799999999999955e+03
1.428511857108625463e+03,1.428569999999999936e+03
1.441743006756427349e+03,1.442309999999999945e+03
1.455096705839246624e+03,1.456309999999999945e+03
1.468574089433351674e+03,1.470589999999999918e+03
1.482176303128314203e+03,1.485150000000000091e+03
1.495904503124364510e+03,1.500000000000000000e+03
1.509759856330686489e+03,1.515150000000000091e+03
1.523743540464600073e+03,1.530609999999999900e+03
1.537856744151661360e+03,1.538460000000000036e+03
1.552100667026714518e+03,1.554400000000000091e+03
1.566476519835839554e+03,1.570680000000000064e+03
1.580985524539284370e+03,1.587299999999999955e+03
1.595628914415326108e+03,1.595740000000000009e+03
1.610407934165094048e+03,1.612900000000000091e+03
1.625323840018389319e+03,1.630430000000000064e+03
1.640377899840440932e+03,1.648349999999999909e+03
1.655571393239694771e+03,1.657460000000000036e+03
1.670905611676574608e+03,1.675980000000000018e+03
1.686381858573250383e+03,1.694920000000000073e+03
1.702001449424449447e+03,1.704549999999999955e+03
1.717765711909250058e+03,1.724140000000000100e+03
1.733675986003955131e+03,1.734099999999999909e+03
1.749733624095983032e+03,1.754390000000000100e+03
1.765939991098816790e+03,1.775150000000000091e+03
1.782296464568040619e+03,1.785710000000000036e+03
1.798804434818409163e+03,1.807230000000000018e+03
1.815465305042044974e+03,1.818180000000000064e+03
1.832280491427704419e+03,1.840490000000000009e+03
1.849251423281147027e+03,1.851849999999999909e+03
1.866379543146648075e+03,1.875000000000000000e+03
1.883666306929590519e+03,1.886789999999999964e+03
1.901113184020238577e+03,1.910829999999999927e+03
1.918721657418629547e+03,1.923079999999999927e+03
1.936493223860624994e+03,1.948049999999999955e+03
1.954429393945145193e+03,1.960779999999999973e+03
1.972531692262564320e+03,1.973680000000000064e+03
1.990801657524303891e+03,2.000000000000000000e+03
2.009240842693626519e+03,2.013420000000000073e+03
2.027850815117630873e+03,2.040819999999999936e+03
2.046633156660490158e+03,2.054789999999999964e+03
2.065589463837903168e+03,2.068969999999999800e+03
2.084721347952802716e+03,2.097900000000000091e+03
2.104030435232318268e+03,2.112679999999999836e+03
2.123518366966000485e+03,2.127659999999999854e+03
2.143186799645342489e+03,2.158269999999999982e+03
2.163037405104576465e+03,2.173909999999999854e+03
2.183071870662782658e+03,2.189780000000000200e+03
2.203291899267313966e+03,2.205880000000000109e+03
2.223699209638542470e+03,2.238809999999999945e+03
2.244295536415960669e+03,2.255639999999999873e+03
2.265082630305623297e+03,2.272730000000000018e+03
2.286062258228957489e+03,2.290079999999999927e+03
2.307236203472957186e+03,2.307690000000000055e+03
2.328606265841754066e+03,2.343750000000000000e+03
2.350174261809615473e+03,2.362199999999999818e+03
2.371942024675339326e+03,2.380949999999999818e+03
2.393911404718086033e+03,2.400000000000000000e+03
2.416084269354658318e+03,2.419349999999999909e+03
2.438462503298221691e+03,2.439019999999999982e+03
2.461048008718523306e+03,2.479340000000000146e+03
2.483842705403566924e+03,2.500000000000000000e+03
2.506848530922799455e+03,2.521010000000000218e+03
2.530067440791808167e+03,2.542369999999999891e+03
2.553501408638531757e+03,2.564099999999999909e+03
2.577152426371036199e+03,2.586210000000000036e+03
2.601022504346817641e+03,2.608699999999999818e+03
2.625113671543685996e+03,2.631579999999999927e+03
2.649427975732235154e+03,2.654869999999999891e+03
2.673967483649893438e+03,2.678570000000000164e+03
2.698734281176613422e+03,2.702699999999999818e+03
2.723730473512162916e+03,2.727269999999999982e+03
2.748958185355073510e+03,2.752289999999999964e+03
2.774419561083242570e+03,2.777780000000000200e+03
2.800116764936195523e+03,2.803739999999999782e+03
2.826051981199067541e+03,2.830190000000000055e+03
2.852227414388256875e+03,2.857139999999999873e+03
2.878645289438813506e+03,2.884619999999999891e+03
2.905307851893562656e+03,2.912619999999999891e+03
2.932217368093969526e+03,2.941179999999999836e+03
2.959376125372793013e+03,2.970300000000000182e+03
2.986786432248503843e+03,3.000000000000000000e+03
3.014450618621511694e+03,3.030300000000000182e+03
3.042371035972209938e+03,3.061219999999999800e+03
3.070550057560845744e+03,3.092780000000000200e+03
3.098990078629263735e+03,3.125000000000000000e+03
3.127693516604492743e+03,3.157889999999999873e+03
3.156662811304236584e+03,3.157889999999999873e+03
3.185900425144246128e+03,3.191489999999999782e+03
3.215408843347647689e+03,3.225809999999999945e+03
3.245190574156174534e+03,3.260869999999999891e+03
3.275248149043375179e+03,3.296699999999999818e+03
3.305584122929791647e+03,3.333329999999999927e+03
3.336201074400118614e+03,3.370789999999999964e+03
3.367101605922405270e+03,3.370789999999999964e+03
3.398288344069252616e+03,3.409090000000000146e+03
3.429763939741078957e+03,3.448280000000000200e+03
3.461531068391452209e+03,3.488369999999999891e+03
3.493592430254491774e+03,3.529409999999999854e+03
3.525950750574411813e+03,3.529409999999999854e+03
3.558608779837154998e+03,3.571429999999999836e+03
3.591569294004190397e+03,3.614460000000000036e+03
3.624835094748475967e+03,3.658539999999999964e+03
3.658409009692587915e+03,3.658539999999999964e+03
3.692293892649095596e+03,3.703699999999999818e+03
3.726492623863120116e+03,3.750000000000000000e+03
3.761008110257163480e+03,3.797469999999999800e+03
3.795843285678203301e+03,3.797469999999999800e+03
3.831001111147056235e+03,3.846150000000000091e+03
3.866484575110091100e+03,3.896099999999999909e+03
3.902296693693233465e+03,3.947369999999999891e+03
3.938440510958343566e+03,3.947369999999999891e+03
3.974919099161968006e+03,4.000000000000000000e+03
4.011735559016468414e+03,4.054050000000000182e+03
4.048893019953608473e+03,4.054050000000000182e+03
4.086394640390541554e+03,4.109590000000000146e+03
