# Frecuencia que pedimos vs frecuencia que manda 
#  Frecuencia pedida [Hz], Frecuencia LCR [Hz]
2.000000000000000355e+01,2.000000000000000000e+01
2.018524381974095050e+01,2.018570000000000064e+01
2.037220340311951716e+01,2.037209999999999965e+01
2.056089464186618798e+01,2.056200000000000117e+01
2.075133357490372177e+01,2.075120000000000076e+01
2.094353638971040965e+01,2.094529999999999959e+01
2.113751942369608372e+01,2.113870000000000005e+01
2.133329916559079109e+01,2.133409999999999940e+01
2.153089225684631103e+01,2.153160000000000096e+01
2.173031549305077093e+01,2.173130000000000095e+01
2.193158582535620127e+01,2.193299999999999983e+01
2.213472036191947012e+01,2.213530000000000086e+01
2.233973636935646567e+01,2.234140000000000015e+01
2.254665127420973292e+01,2.254789999999999850e+01
2.275548266442983092e+01,2.275659999999999883e+01
2.296624829087022590e+01,2.296740000000000137e+01
2.317896606879621402e+01,2.318029999999999902e+01
2.339365407940770680e+01,2.339549999999999841e+01
2.361033057137610314e+01,2.361090000000000089e+01
2.382901396239552128e+01,2.383030000000000115e+01
2.404972284074824884e+01,2.405000000000000071e+01
2.427247596688481224e+01,2.427380000000000138e+01
2.449729227501862994e+01,2.449780000000000157e+01
2.472419087473537402e+01,2.472599999999999909e+01
2.495319105261739878e+01,2.495429999999999993e+01
2.518431227388302318e+01,2.518469999999999942e+01
2.541757418404117885e+01,2.541939999999999955e+01
2.565299661056121394e+01,2.565419999999999945e+01
2.589059956455831113e+01,2.589110000000000156e+01
2.613040324249442747e+01,2.613009999999999877e+01
2.637242802789497276e+01,2.637359999999999971e+01
2.661669449308151059e+01,2.661929999999999907e+01
2.686322340092032235e+01,2.686489999999999867e+01
2.711203570658736695e+01,2.711250000000000071e+01
2.736315255934944091e+01,2.736479999999999890e+01
2.761659530436185150e+01,2.761919999999999931e+01
2.787238548448285869e+01,2.787330000000000041e+01
2.813054484210474726e+01,2.813200000000000145e+01
2.839109532100203381e+01,2.839300000000000068e+01
2.865405906819662363e+01,2.865599999999999881e+01
2.891945843584039721e+01,2.892119999999999891e+01
2.918731598311514119e+01,2.918860000000000099e+01
2.945765447815005444e+01,2.946089999999999876e+01
2.973049689995714573e+01,2.973239999999999839e+01
3.000586644038437001e+01,3.000600000000000023e+01
3.028378650608704348e+01,3.028470000000000084e+01
3.056428072051740585e+01,3.056550000000000011e+01
3.084737292593256797e+01,3.084829999999999828e+01
3.113308718542124609e+01,3.113329999999999842e+01
3.142144778494901303e+01,3.142350000000000065e+01
3.171247923542274805e+01,3.171249999999999858e+01
3.200620627477402280e+01,3.200679999999999836e+01
3.230265387006181044e+01,3.230319999999999681e+01
3.260184721959483056e+01,3.260520000000000351e+01
3.290381175507325651e+01,3.290559999999999974e+01
3.320857314375059843e+01,3.321159999999999712e+01
3.351615729061536086e+01,3.351959999999999695e+01
3.382659034059296488e+01,3.382950000000000301e+01
3.413989868076816236e+01,3.414130000000000109e+01
3.445610894262788548e+01,3.445900000000000318e+01
3.477524800432501451e+01,3.477859999999999729e+01
3.509734299296302851e+01,3.510000000000000142e+01
3.542242128690175917e+01,3.542329999999999757e+01
3.575051051808471669e+01,3.575260000000000105e+01
3.608163857438766087e+01,3.608370000000000033e+01
3.641583360198925590e+01,3.641660000000000252e+01
3.675312400776343225e+01,3.675569999999999737e+01
3.709353846169397428e+01,3.709660000000000224e+01
3.743710589931158950e+01,3.743919999999999959e+01
3.778385552415333137e+01,3.778810000000000002e+01
3.813381681024504388e+01,3.813880000000000337e+01
3.848701950460662857e+01,3.849110000000000298e+01
3.884349362978051090e+01,3.884499999999999886e+01
3.920326948638371789e+01,3.920539999999999736e+01
3.956637765568329002e+01,3.956739999999999924e+01
3.993284900219587286e+01,3.993610000000000326e+01
4.030271467631115456e+01,4.030630000000000024e+01
4.067600611693962520e+01,4.067799999999999727e+01
4.105275505418504878e+01,4.105649999999999977e+01
4.143299351204138503e+01,4.143650000000000233e+01
4.181675381111500656e+01,4.181770000000000209e+01
4.220406857137191281e+01,4.220600000000000307e+01
4.259497071491040288e+01,4.259550000000000125e+01
4.298949346875961908e+01,4.299230000000000018e+01
4.338767036770369145e+01,4.339020000000000010e+01
4.378953525713242101e+01,4.379560000000000031e+01
4.419512229591804697e+01,4.419559999999999889e+01
4.460446595931875180e+01,4.460969999999999658e+01
4.501760104190923784e+01,4.501800000000000068e+01
4.543456266053810566e+01,4.544080000000000297e+01
4.585538625731297913e+01,4.585750000000000171e+01
4.628010760261306444e+01,4.628199999999999648e+01
4.670876279812959098e+01,4.671439999999999770e+01
4.714138827993456005e+01,4.714759999999999707e+01
4.757802082157787282e+01,4.758129999999999882e+01
4.801869753721304335e+01,4.802309999999999945e+01
4.846345588475199406e+01,4.846529999999999916e+01
4.891233366904894098e+01,4.891570000000000107e+01
4.936536904511385870e+01,4.936650000000000205e+01
4.982260052135577411e+01,4.982560000000000144e+01
5.028406696285593824e+01,5.028490000000000038e+01
5.074980759467141667e+01,5.075280000000000058e+01
5.121986200516919752e+01,5.122079999999999700e+01
5.169427014939127929e+01,5.169740000000000180e+01
5.217307235245096564e+01,5.217390000000000327e+01
5.265630931296043116e+01,5.265930000000000177e+01
5.314402210649011238e+01,5.314439999999999742e+01
5.363625218906032188e+01,5.363850000000000051e+01
5.413304140066483683e+01,5.414189999999999969e+01
5.463443196882753483e+01,5.463490000000000180e+01
5.514046651219168638e+01,5.514710000000000178e+01
