# Fri Aug 25 16:35:13 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-3, Npos=50, Nneg=50, pw=0.1, hslV=0.4
1.049613952636718750e-01,-3.163809999999999783e-05,-6.663799999999999939e-12,2.779841423034667969e-01,4.000170000000000115e-01,1.188580000000000046e-09
4.017894268035888672e-01,1.199729999999999963e-01,4.286769999999999999e-11,5.279095172882080078e-01,4.000159999999999827e-01,1.080069999999999973e-09
6.522717475891113281e-01,2.399640000000000106e-01,2.511260000000000073e-10,7.778537273406982422e-01,4.000190000000000135e-01,1.043890000000000001e-09
9.011409282684326172e-01,3.599970000000000114e-01,7.184390000000000458e-10,1.029069423675537109e+00,4.000190000000000135e-01,9.867070000000000752e-10
1.156488895416259766e+00,4.800170000000000270e-01,1.791190000000000098e-09,1.280795097351074219e+00,4.000170000000000115e-01,9.882329999999999312e-10
1.404886484146118164e+00,6.000429999999999930e-01,3.997480000000000138e-09,1.532724618911743164e+00,4.000170000000000115e-01,9.717229999999999541e-10
1.658844947814941406e+00,7.200379999999999558e-01,7.604049999999999193e-09,1.781526803970336914e+00,4.000190000000000135e-01,8.044240000000000337e-10
1.908509731292724609e+00,8.400370000000000337e-01,1.449170000000000032e-08,2.033132553100585938e+00,4.000170000000000115e-01,7.471559999999999995e-10
2.160129785537719727e+00,9.600400000000000045e-01,2.421780000000000130e-08,2.285228252410888672e+00,4.000230000000000175e-01,6.262180000000000186e-10
2.409084796905517578e+00,1.080049999999999955e+00,3.512839999999999710e-08,2.534539461135864258e+00,4.000219999999999887e-01,4.991170000000000043e-10
2.658717393875122070e+00,1.200059999999999905e+00,5.118580000000000165e-08,2.782040834426879883e+00,4.000179999999999847e-01,3.916859999999999852e-10
2.908128738403320312e+00,1.320060000000000011e+00,6.716459999999999779e-08,3.031981229782104492e+00,4.000219999999999887e-01,2.911089999999999819e-10
3.157017469406127930e+00,1.440010000000000012e+00,8.462230000000000462e-08,3.294615268707275391e+00,4.000179999999999847e-01,2.113699999999999897e-10
3.419844388961791992e+00,1.559989999999999988e+00,1.182490000000000023e-07,3.576048851013183594e+00,4.000150000000000095e-01,7.783410000000000319e-10
3.764083862304687500e+00,1.679999999999999938e+00,1.631189999999999931e-07,3.918993711471557617e+00,4.000159999999999827e-01,7.594349999999999733e-10
4.107923746109008789e+00,1.799989999999999979e+00,1.685470000000000070e-07,4.264041423797607422e+00,4.000179999999999847e-01,5.527729999999999687e-10
4.455766916275024414e+00,1.919969999999999954e+00,2.021059999999999967e-07,4.598758697509765625e+00,4.000170000000000115e-01,3.463630000000000063e-10
4.789628982543945312e+00,2.039919999999999956e+00,2.619979999999999880e-07,4.946540594100952148e+00,4.000179999999999847e-01,6.436470000000000212e-10
5.137942314147949219e+00,2.159899999999999931e+00,4.276669999999999874e-07,5.281347990036010742e+00,4.000199999999999867e-01,2.197709999999999848e-09
5.471120119094848633e+00,2.279920000000000169e+00,5.321619999999999712e-07,5.613225936889648438e+00,4.000210000000000155e-01,2.129610000000000052e-09
5.804631948471069336e+00,2.399900000000000144e+00,8.977860000000000428e-07,5.948121309280395508e+00,4.000210000000000155e-01,3.201249999999999880e-09
6.137705087661743164e+00,2.519909999999999872e+00,7.609630000000000358e-07,6.293285846710205078e+00,4.000219999999999887e-01,2.673469999999999868e-09
6.481642723083496094e+00,2.639860000000000095e+00,8.991470000000000244e-07,6.638173103332519531e+00,4.000159999999999827e-01,3.075439999999999877e-09
6.825966596603393555e+00,2.760120000000000129e+00,6.894240000000000250e-06,6.998650789260864258e+00,4.000190000000000135e-01,2.272479999999999978e-07
7.155070066452026367e+00,2.880180000000000184e+00,3.978730000000000106e-06,7.309967279434204102e+00,4.000130000000000075e-01,4.101299999999999806e-08
7.497883081436157227e+00,3.000129999999999963e+00,3.722049999999999795e-06,7.668146133422851562e+00,4.000110000000000054e-01,6.210610000000000580e-08
7.857764005661010742e+00,2.880139999999999922e+00,5.359960000000000093e-06,8.032404184341430664e+00,4.000059999999999727e-01,5.119259999999999877e-08
8.223753213882446289e+00,2.760079999999999867e+00,2.949830000000000097e-06,8.398215770721435547e+00,4.000070000000000014e-01,4.463419999999999875e-08
8.590087652206420898e+00,2.639800000000000146e+00,2.964360000000000109e-06,8.765005826950073242e+00,4.000049999999999994e-01,6.422919999999999654e-08
8.955653667449951172e+00,2.519839999999999858e+00,2.388780000000000192e-06,9.127838850021362305e+00,4.000070000000000014e-01,6.734410000000000281e-08
9.330566883087158203e+00,2.399849999999999817e+00,2.146820000000000056e-06,9.501867055892944336e+00,4.000150000000000095e-01,6.421540000000000471e-08
9.703157186508178711e+00,2.279860000000000220e+00,2.207290000000000173e-06,9.875541687011718750e+00,4.000020000000000242e-01,5.955530000000000257e-08
1.006388545036315918e+01,2.159879999999999800e+00,1.768239999999999904e-06,1.023468804359436035e+01,4.000029999999999974e-01,7.292419999999999598e-08
1.043581795692443848e+01,2.039899999999999824e+00,1.506200000000000080e-06,1.060949110984802246e+01,4.000070000000000014e-01,7.138040000000000303e-08
1.079621696472167969e+01,1.919969999999999954e+00,1.310059999999999913e-06,1.096747493743896484e+01,4.000040000000000262e-01,7.041689999999999575e-08
