# Fri Aug 25 16:37:55 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=5, Vmin=-5, Npos=50, Nneg=50, pw=0.1, hslV=0.4
1.060202121734619141e-01,-3.778930000000000087e-05,4.947189999999999643e-12,2.761278152465820312e-01,4.000119999999999787e-01,2.893089999999999984e-10
4.007313251495361328e-01,1.999549999999999939e-01,5.164150000000000205e-11,5.281116962432861328e-01,4.000090000000000034e-01,2.362969999999999751e-10
6.520948410034179688e-01,4.000090000000000034e-01,1.961829999999999883e-10,7.780900001525878906e-01,4.000090000000000034e-01,1.825209999999999894e-10
9.011666774749755859e-01,6.000360000000000138e-01,5.293850000000000284e-10,1.024200439453125000e+00,4.000110000000000054e-01,1.417990000000000084e-10
1.150117874145507812e+00,8.000580000000000469e-01,1.191690000000000049e-09,1.275273799896240234e+00,4.000130000000000075e-01,7.543560000000000625e-11
1.398755073547363281e+00,1.000059999999999949e+00,2.517250000000000174e-09,1.524385929107666016e+00,4.000110000000000054e-01,2.249479999999999983e-11
1.647975444793701172e+00,1.200050000000000061e+00,5.145530000000000118e-09,1.772795438766479492e+00,4.000119999999999787e-01,-2.120729999999999911e-11
1.897866487503051758e+00,1.400030000000000108e+00,9.675570000000000328e-09,2.022442102432250977e+00,4.000139999999999807e-01,-7.096530000000000257e-11
2.148824930191040039e+00,1.600000000000000089e+00,1.828129999999999973e-08,2.272615194320678711e+00,4.000130000000000075e-01,-1.630189999999999879e-10
2.396641731262207031e+00,1.799989999999999979e+00,3.285289999999999767e-08,2.522932529449462891e+00,4.000090000000000034e-01,-2.485869999999999916e-10
2.650140523910522461e+00,1.999940000000000051e+00,5.864609999999999996e-08,2.775573015213012695e+00,4.000099999999999767e-01,-3.435970000000000078e-10
2.902222394943237305e+00,2.199699999999999989e+00,3.168320000000000143e-07,3.060534715652465820e+00,4.000119999999999787e-01,3.122089999999999917e-11
3.262063741683959961e+00,2.399779999999999802e+00,3.394910000000000057e-07,3.417725324630737305e+00,4.000099999999999767e-01,8.989210000000000435e-10
3.605566501617431641e+00,2.599889999999999812e+00,5.679839999999999858e-07,3.760508775711059570e+00,4.000170000000000115e-01,3.968099999999999977e-09
