# Fri Aug 25 16:36:29 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-3, Npos=50, Nneg=50, pw=0.1, hslV=0.4
1.195035767555236816e+01,1.679990000000000094e+00,2.825569999999999804e-07,1.210588407516479492e+01,4.000119999999999787e-01,6.829060000000000404e-09
1.230624055862426758e+01,1.559979999999999922e+00,1.851289999999999897e-07,1.246165204048156738e+01,4.000119999999999787e-01,7.145459999999999849e-09
1.264879846572875977e+01,1.439999999999999947e+00,1.395689999999999973e-07,1.280494451522827148e+01,4.000079999999999747e-01,7.160120000000000292e-09
1.300628900527954102e+01,1.320049999999999946e+00,1.060839999999999989e-07,1.316252732276916504e+01,4.000159999999999827e-01,7.940359999999999244e-09
1.335008716583251953e+01,1.200050000000000061e+00,8.113940000000000458e-08,1.347415232658386230e+01,4.000119999999999787e-01,4.354889999999999631e-09
1.360041284561157227e+01,1.080039999999999889e+00,7.328699999999999973e-08,1.372405123710632324e+01,4.000090000000000034e-01,7.568250000000000619e-09
1.384862780570983887e+01,9.600379999999999470e-01,5.217809999999999790e-08,1.397321248054504395e+01,4.000139999999999807e-01,8.047600000000000210e-09
1.409868884086608887e+01,8.400300000000000544e-01,3.901770000000000269e-08,1.422544002532958984e+01,4.000119999999999787e-01,6.996119999999999618e-09
1.434962010383605957e+01,7.200309999999999766e-01,2.479910000000000135e-08,1.447507977485656738e+01,4.000119999999999787e-01,7.525190000000000563e-09
1.460318207740783691e+01,6.000400000000000178e-01,1.633919999999999916e-08,1.473969769477844238e+01,4.000130000000000075e-01,7.322919999999999772e-09
1.486369919776916504e+01,4.800130000000000230e-01,1.105350000000000035e-08,1.498877191543579102e+01,4.000119999999999787e-01,7.454179999999999585e-09
1.511210584640502930e+01,3.599849999999999994e-01,5.708150000000000394e-09,1.523973512649536133e+01,4.000130000000000075e-01,7.493210000000000432e-09
1.541222047805786133e+01,2.399630000000000096e-01,2.694389999999999833e-09,1.553648018836975098e+01,4.000130000000000075e-01,7.091360000000000211e-09
1.567475676536560059e+01,1.199690000000000062e-01,8.045320000000000296e-10,1.580090785026550293e+01,4.000099999999999767e-01,7.248290000000000413e-09
1.592555022239685059e+01,-3.802780000000000206e-05,-2.655149999999999873e-10,1.604899621009826660e+01,4.000130000000000075e-01,8.097370000000000132e-09
1.617189645767211914e+01,-1.200610000000000011e-01,-1.524009999999999993e-09,1.629750609397888184e+01,4.000119999999999787e-01,8.718170000000000304e-09
1.642301535606384277e+01,-2.400789999999999869e-01,-3.664429999999999928e-09,1.654811596870422363e+01,4.000119999999999787e-01,8.252179999999999518e-09
1.667162942886352539e+01,-3.600820000000000132e-01,-7.481629999999999940e-09,1.679594588279724121e+01,4.000130000000000075e-01,7.452360000000000102e-09
1.692076277732849121e+01,-4.801110000000000100e-01,-1.923319999999999848e-08,1.704341793060302734e+01,4.000119999999999787e-01,1.046140000000000029e-08
1.716901397705078125e+01,-6.001440000000000108e-01,-2.142480000000000071e-08,1.729593801498413086e+01,4.000159999999999827e-01,1.042380000000000034e-08
1.742084097862243652e+01,-7.201549999999999896e-01,-3.313349999999999689e-08,1.754523038864135742e+01,4.000199999999999867e-01,7.764079999999999932e-09
1.766981458663940430e+01,-8.401579999999999604e-01,-4.943360000000000267e-08,1.779641771316528320e+01,4.000190000000000135e-01,7.992859999999999218e-09
1.792209911346435547e+01,-9.601800000000000335e-01,-7.104379999999999987e-08,1.804577374458312988e+01,4.000199999999999867e-01,7.594660000000000324e-09
1.817153930664062500e+01,-1.080160000000000009e+00,-8.638010000000000201e-08,1.832791376113891602e+01,4.000119999999999787e-01,6.443600000000000372e-09
1.853093767166137695e+01,-1.200180000000000025e+00,-2.484810000000000067e-08,1.866864061355590820e+01,4.000159999999999827e-01,1.119660000000000040e-09
1.879467701911926270e+01,-1.320189999999999975e+00,-3.536989999999999963e-08,1.892011165618896484e+01,4.000139999999999807e-01,1.228400000000000018e-09
1.904557967185974121e+01,-1.440150000000000041e+00,-5.299100000000000116e-08,1.916900014877319336e+01,4.000150000000000095e-01,1.315400000000000028e-09
1.929342389106750488e+01,-1.560149999999999926e+00,-8.795410000000000009e-08,1.941782212257385254e+01,4.000170000000000115e-01,1.411929999999999900e-09
1.954275178909301758e+01,-1.680169999999999941e+00,-1.256279999999999918e-07,1.969640517234802246e+01,4.000110000000000054e-01,1.048020000000000068e-09
1.989811110496520996e+01,-1.800140000000000073e+00,-1.816690000000000103e-07,2.005306529998779297e+01,4.000119999999999787e-01,1.101150000000000070e-09
2.024098348617553711e+01,-1.920129999999999892e+00,-2.685120000000000158e-07,2.039531254768371582e+01,4.000130000000000075e-01,1.140870000000000011e-09
2.059706974029541016e+01,-2.040340000000000042e+00,-3.887119999999999936e-07,2.075355696678161621e+01,4.000179999999999847e-01,1.310669999999999983e-09
2.095509791374206543e+01,-2.160309999999999953e+00,-5.729859999999999931e-07,2.111007189750671387e+01,4.000139999999999807e-01,1.231399999999999904e-09
2.129995846748352051e+01,-2.280629999999999935e+00,-7.966620000000000434e-07,2.145617365837097168e+01,4.000150000000000095e-01,1.452110000000000065e-09
2.164480423927307129e+01,-2.400619999999999976e+00,-1.098590000000000098e-06,2.181669139862060547e+01,4.000179999999999847e-01,1.474750000000000103e-09
2.200454592704772949e+01,-2.520579999999999821e+00,-1.451020000000000085e-06,2.217523050308227539e+01,4.000230000000000175e-01,1.487409999999999933e-09
2.236163759231567383e+01,-2.640550000000000175e+00,-1.915270000000000130e-06,2.253322553634643555e+01,4.000210000000000155e-01,1.610890000000000007e-09
2.272053027153015137e+01,-2.760549999999999837e+00,-2.510000000000000109e-06,2.289310407638549805e+01,4.000199999999999867e-01,1.595089999999999917e-09
2.308133482933044434e+01,-2.880560000000000009e+00,-3.219220000000000156e-06,2.325446414947509766e+01,4.000230000000000175e-01,1.738920000000000029e-09
