# Tue Sep  5 18:15:27 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0, T = 0, nplc=0.5
2.019405364990234375e-03,4.000790000000000179e-01,3.160109999999999834e-08
3.209900856018066406e-02,-2.622600000000000098e-06,-1.260449999999999923e-09
5.175328254699707031e-02,4.000719999999999832e-01,3.329220000000000214e-08
7.123136520385742188e-02,1.000079999999999997e-01,6.422039999999999880e-09
9.131717681884765625e-02,4.000750000000000139e-01,3.348910000000000174e-08
1.113948822021484375e-01,2.000020000000000131e-01,1.528500000000000088e-08
1.306254863739013672e-01,4.000690000000000079e-01,3.346230000000000179e-08
1.516733169555664062e-01,3.000220000000000109e-01,2.447989999999999939e-08
1.696667671203613281e-01,4.000670000000000059e-01,3.405419999999999930e-08
1.891131401062011719e-01,4.000679999999999792e-01,3.421019999999999752e-08
2.077965736389160156e-01,4.000670000000000059e-01,3.381010000000000177e-08
2.315516471862792969e-01,5.000809999999999977e-01,4.327610000000000196e-08
2.454862594604492188e-01,4.000619999999999732e-01,3.259859999999999784e-08
2.648661136627197266e-01,6.001130000000000075e-01,5.322969999999999787e-08
2.843408584594726562e-01,4.000699999999999812e-01,3.151760000000000291e-08
3.034090995788574219e-01,7.001270000000000548e-01,6.480849999999999432e-08
3.223035335540771484e-01,4.000739999999999852e-01,3.063070000000000177e-08
3.452887535095214844e-01,8.001519999999999744e-01,7.784019999999999844e-08
3.592817783355712891e-01,4.000770000000000159e-01,2.991930000000000110e-08
3.782730102539062500e-01,9.001230000000000064e-01,9.326309999999999819e-08
3.962793350219726562e-01,4.000719999999999832e-01,3.076690000000000136e-08
4.162476062774658203e-01,1.000099999999999989e+00,6.938839999999999419e-08
4.434628486633300781e-01,4.000429999999999819e-01,3.208410000000000091e-09
5.169544219970703125e-01,1.100079999999999947e+00,9.000250000000000141e-08
5.433130264282226562e-01,4.000440000000000107e-01,3.997000000000000156e-09
6.154785156250000000e-01,1.200099999999999945e+00,1.204029999999999963e-07
6.424682140350341797e-01,4.000469999999999859e-01,3.986800000000000336e-09
7.154467105865478516e-01,1.300079999999999902e+00,1.617760000000000055e-07
7.448279857635498047e-01,4.000549999999999939e-01,4.187290000000000333e-09
8.154642581939697266e-01,1.400060000000000082e+00,1.882789999999999881e-07
8.441658020019531250e-01,4.000429999999999819e-01,4.037740000000000162e-09
9.151253700256347656e-01,1.500029999999999974e+00,2.315909999999999990e-07
9.440422058105468750e-01,4.000469999999999859e-01,4.191039999999999623e-09
1.015932798385620117e+00,1.600030000000000063e+00,2.875960000000000032e-07
1.043347120285034180e+00,4.000520000000000187e-01,3.597339999999999905e-09
1.116628170013427734e+00,1.700029999999999930e+00,3.378900000000000167e-07
1.146765232086181641e+00,4.000489999999999879e-01,3.772339999999999817e-09
1.216962814331054688e+00,1.800040000000000084e+00,4.279659999999999823e-07
1.245185375213623047e+00,4.000469999999999859e-01,3.527549999999999880e-09
1.320531368255615234e+00,1.900009999999999977e+00,5.101850000000000120e-07
1.344520092010498047e+00,4.000440000000000107e-01,3.750970000000000335e-09
1.416573524475097656e+00,2.000000000000000000e+00,6.285820000000000365e-07
1.445449113845825195e+00,4.000449999999999839e-01,3.806029999999999936e-09
1.517691850662231445e+00,2.100420000000000176e+00,7.556810000000000286e-07
1.546118021011352539e+00,4.000400000000000067e-01,4.441920000000000311e-09
1.625778675079345703e+00,2.200260000000000105e+00,8.690049999999999918e-07
1.648480892181396484e+00,4.000380000000000047e-01,4.239540000000000024e-09
1.721156597137451172e+00,2.300570000000000004e+00,9.862580000000000955e-07
1.759743452072143555e+00,4.000440000000000107e-01,5.489679999999999597e-09
1.831244945526123047e+00,2.400419999999999998e+00,1.101299999999999942e-06
1.869221448898315430e+00,4.000369999999999759e-01,4.837180000000000040e-09
1.944359540939331055e+00,2.500669999999999948e+00,1.277619999999999975e-06
1.980105876922607422e+00,4.000429999999999819e-01,4.713459999999999975e-09
2.053728103637695312e+00,2.600490000000000190e+00,1.510320000000000093e-06
2.094405412673950195e+00,4.000369999999999759e-01,4.947269999999999605e-09
2.165047645568847656e+00,2.700740000000000141e+00,1.744080000000000037e-06
2.202579975128173828e+00,4.000420000000000087e-01,5.399610000000000134e-09
2.277908086776733398e+00,2.800660000000000149e+00,2.225109999999999945e-06
2.312806129455566406e+00,4.000299999999999967e-01,9.213440000000000808e-09
2.386699438095092773e+00,2.900529999999999831e+00,2.593570000000000056e-06
