# Tue Sep  5 19:18:36 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0, T = 0, nplc=0.5
1.374802112579345703e+00,4.000380000000000047e-01,4.736390000000000234e-07
1.412781238555908203e+00,1.680039999999999978e+00,1.889259999999999933e-05
1.441763639450073242e+00,4.000389999999999779e-01,4.891329999999999635e-07
1.513722658157348633e+00,1.800040000000000084e+00,2.308100000000000144e-05
1.557697057723999023e+00,4.000469999999999859e-01,5.136359999999999812e-07
1.585683584213256836e+00,1.920029999999999903e+00,2.784430000000000038e-05
1.619660139083862305e+00,4.000400000000000067e-01,5.012969999999999922e-07
1.647645473480224609e+00,2.040309999999999846e+00,3.331339999999999855e-05
1.692619562149047852e+00,4.000400000000000067e-01,4.998389999999999801e-07
1.714607477188110352e+00,2.160359999999999836e+00,3.933709999999999984e-05
1.751083135604858398e+00,4.000389999999999779e-01,5.256099999999999532e-07
1.782422065734863281e+00,2.280370000000000008e+00,4.604090000000000163e-05
1.819399356842041016e+00,4.000319999999999987e-01,5.100989999999999674e-07
1.846444606781005859e+00,2.400319999999999787e+00,5.368950000000000155e-05
1.892369270324707031e+00,4.000349999999999739e-01,5.313719999999999753e-07
1.924336910247802734e+00,2.520350000000000090e+00,6.232720000000000187e-05
1.956379175186157227e+00,4.000319999999999987e-01,5.464630000000000143e-07
1.984051465988159180e+00,2.640299999999999869e+00,7.197779999999999380e-05
2.025027036666870117e+00,4.000239999999999907e-01,5.676809999999999863e-07
2.050011396408081055e+00,2.760619999999999852e+00,8.249040000000000560e-05
2.089990139007568359e+00,4.000270000000000215e-01,5.580400000000000392e-07
2.116974115371704102e+00,2.880630000000000024e+00,9.426570000000000110e-05
2.155967235565185547e+00,4.000279999999999947e-01,5.676159999999999920e-07
2.191919803619384766e+00,3.000770000000000159e+00,1.080129999999999974e-04
2.236651420593261719e+00,4.000259999999999927e-01,5.637289999999999520e-07
2.267673015594482422e+00,3.120779999999999887e+00,1.230760000000000122e-04
2.310717105865478516e+00,4.000239999999999907e-01,5.866270000000000291e-07
2.339699029922485352e+00,3.240740000000000176e+00,1.373690000000000056e-04
2.387301683425903320e+00,4.000159999999999827e-01,5.936990000000000013e-07
2.413043737411499023e+00,3.360749999999999904e+00,1.543179999999999953e-04
2.459095716476440430e+00,4.000119999999999787e-01,5.799260000000000275e-07
2.489955902099609375e+00,3.480780000000000207e+00,1.744860000000000096e-04
2.548833131790161133e+00,4.000070000000000014e-01,6.092639999999999955e-07
2.575818538665771484e+00,3.601059999999999928e+00,1.947669999999999870e-04
2.629787921905517578e+00,4.000040000000000262e-01,6.464300000000000518e-07
2.657770633697509766e+00,3.721010000000000151e+00,2.184350000000000050e-04
2.703282356262207031e+00,4.000020000000000242e-01,6.792250000000000486e-07
2.732792377471923828e+00,3.841029999999999944e+00,2.438920000000000020e-04
2.778687715530395508e+00,4.000000000000000222e-01,7.079059999999999863e-07
2.808632373809814453e+00,3.961009999999999920e+00,2.733629999999999914e-04
2.859108686447143555e+00,4.000009999999999954e-01,6.989080000000000006e-07
2.884065628051757812e+00,4.080949999999999633e+00,3.017049999999999853e-04
2.928244590759277344e+00,3.999969999999999914e-01,7.207359999999999761e-07
2.960232019424438477e+00,4.200969999999999871e+00,3.357379999999999761e-04
3.003201246261596680e+00,3.999920000000000142e-01,7.531730000000000435e-07
3.031184673309326172e+00,4.320879999999999832e+00,3.657339999999999918e-04
3.078375101089477539e+00,3.999920000000000142e-01,7.191230000000000265e-07
3.105791568756103516e+00,4.440979999999999706e+00,3.990430000000000214e-04
3.152413845062255859e+00,3.999940000000000162e-01,7.353400000000000188e-07
3.183205127716064453e+00,4.561300000000000132e+00,4.426470000000000057e-04
3.227545738220214844e+00,3.999849999999999794e-01,7.485059999999999661e-07
3.255814313888549805e+00,4.681320000000000370e+00,4.770539999999999763e-04
3.304396867752075195e+00,3.999840000000000062e-01,7.357209999999999479e-07
3.330317735671997070e+00,4.801309999999999967e+00,5.191170000000000376e-04
3.375751733779907227e+00,3.999869999999999814e-01,7.666350000000000088e-07
3.406231403350830078e+00,4.921240000000000059e+00,5.615149999999999525e-04
3.450642108917236328e+00,3.999869999999999814e-01,7.673600000000000103e-07
3.478954076766967773e+00,5.041269999999999918e+00,6.103639999999999587e-04
3.525264978408813477e+00,3.999869999999999814e-01,7.400810000000000213e-07
3.553249120712280273e+00,5.161240000000000272e+00,6.496959999999999541e-04
3.599330663681030273e+00,3.999840000000000062e-01,7.393210000000000066e-07
3.628435850143432617e+00,5.281250000000000000e+00,7.034019999999999986e-04
3.673976421356201172e+00,3.999869999999999814e-01,7.307610000000000411e-07
3.702984333038330078e+00,5.401519999999999655e+00,7.436689999999999707e-04
3.752652645111083984e+00,3.999860000000000082e-01,6.514909999999999937e-07
3.777625083923339844e+00,5.521519999999999762e+00,7.995419999999999828e-04
3.823566913604736328e+00,3.999860000000000082e-01,6.240630000000000210e-07
3.853524446487426758e+00,5.641560000000000130e+00,8.394280000000000274e-04
3.897591352462768555e+00,3.999869999999999814e-01,6.615180000000000079e-07
3.927630424499511719e+00,5.761519999999999975e+00,8.834160000000000406e-04
3.978402376174926758e+00,3.999889999999999834e-01,5.843429999999999803e-07
4.001625299453735352e+00,5.881479999999999819e+00,9.457480000000000530e-04
4.046866655349731445e+00,3.999880000000000102e-01,5.757669999999999967e-07
4.076848983764648438e+00,3.999960000000000182e-01,5.579820000000000263e-07
4.093739748001098633e+00,4.000070000000000014e-01,5.521910000000000508e-07
4.112928628921508789e+00,4.000219999999999887e-01,5.449459999999999618e-07
4.132782220840454102e+00,4.000310000000000255e-01,5.489560000000000089e-07
4.151911020278930664e+00,4.000369999999999759e-01,5.393039999999999699e-07
4.170762300491333008e+00,4.000409999999999799e-01,5.376889999999999650e-07
4.190696001052856445e+00,4.000409999999999799e-01,5.352079999999999840e-07
4.208305835723876953e+00,4.000489999999999879e-01,5.126809999999999835e-07
4.260944128036499023e+00,4.000440000000000107e-01,5.141799999999999627e-07
4.279306173324584961e+00,4.000420000000000087e-01,5.098489999999999486e-07
4.300403594970703125e+00,4.000460000000000127e-01,5.050749999999999881e-07
4.317490816116333008e+00,4.000469999999999859e-01,5.048289999999999738e-07
4.336571931838989258e+00,4.000429999999999819e-01,5.049800000000000127e-07
4.355540037155151367e+00,4.000409999999999799e-01,5.085309999999999894e-07
4.374652862548828125e+00,4.000429999999999819e-01,5.060059999999999585e-07
4.394058465957641602e+00,4.000429999999999819e-01,5.067530000000000379e-07
4.415150403976440430e+00,4.000460000000000127e-01,5.033620000000000309e-07
4.431586265563964844e+00,4.000429999999999819e-01,5.024450000000000234e-07
4.450614452362060547e+00,4.000349999999999739e-01,4.993680000000000019e-07
4.469574213027954102e+00,4.000420000000000087e-01,5.029050000000000156e-07
4.488475799560546875e+00,4.000369999999999759e-01,4.972449999999999504e-07
4.506528139114379883e+00,4.000420000000000087e-01,5.032789999999999633e-07
4.527521133422851562e+00,4.000420000000000087e-01,5.036880000000000300e-07
4.543531656265258789e+00,4.000429999999999819e-01,4.953349999999999551e-07
4.562501192092895508e+00,4.000429999999999819e-01,4.851489999999999988e-07
4.582212209701538086e+00,4.000469999999999859e-01,4.772659999999999804e-07
4.600521802902221680e+00,4.000469999999999859e-01,4.780620000000000360e-07
4.619819641113281250e+00,4.000480000000000147e-01,4.697070000000000118e-07
4.639723539352416992e+00,4.000440000000000107e-01,4.651379999999999925e-07
4.656751632690429688e+00,4.000420000000000087e-01,4.677439999999999829e-07
4.676277637481689453e+00,4.000440000000000107e-01,4.650649999999999891e-07
4.693978071212768555e+00,4.000429999999999819e-01,4.646650000000000120e-07
4.713132619857788086e+00,4.000409999999999799e-01,4.617239999999999859e-07
4.732751607894897461e+00,4.000440000000000107e-01,4.656620000000000043e-07
4.752273321151733398e+00,4.000389999999999779e-01,4.659609999999999993e-07
4.770054101943969727e+00,4.000380000000000047e-01,4.658279999999999808e-07
4.788642644882202148e+00,4.000420000000000087e-01,4.659069999999999910e-07
4.808231592178344727e+00,4.000409999999999799e-01,4.618230000000000187e-07
4.826381444931030273e+00,4.000400000000000067e-01,4.623430000000000260e-07
4.845835924148559570e+00,4.000389999999999779e-01,4.670990000000000191e-07
4.866073131561279297e+00,4.000429999999999819e-01,4.636649999999999898e-07
4.883300542831420898e+00,4.000469999999999859e-01,4.643060000000000020e-07
4.901485919952392578e+00,4.000429999999999819e-01,4.631460000000000101e-07
4.920797109603881836e+00,4.000509999999999899e-01,4.596520000000000187e-07
4.939600467681884766e+00,4.000480000000000147e-01,4.601459999999999965e-07
4.958719253540039062e+00,4.000469999999999859e-01,4.642709999999999888e-07
4.980803489685058594e+00,4.000440000000000107e-01,4.549059999999999840e-07
4.997563600540161133e+00,4.000440000000000107e-01,4.515140000000000023e-07
5.015591621398925781e+00,4.000440000000000107e-01,4.520480000000000255e-07
5.034576654434204102e+00,4.000400000000000067e-01,4.464139999999999897e-07
5.052580833435058594e+00,4.000400000000000067e-01,4.498110000000000036e-07
5.072550535202026367e+00,4.000449999999999839e-01,4.498150000000000081e-07
5.092785120010375977e+00,4.000360000000000027e-01,4.477869999999999849e-07
5.110819578170776367e+00,4.000429999999999819e-01,4.490989999999999903e-07
5.128908872604370117e+00,4.000429999999999819e-01,4.413799999999999991e-07
5.147560358047485352e+00,4.000420000000000087e-01,4.441610000000000026e-07
5.167168378829956055e+00,4.000400000000000067e-01,4.399080000000000240e-07
5.186025619506835938e+00,4.000420000000000087e-01,4.399920000000000134e-07
5.206053018569946289e+00,4.000440000000000107e-01,4.420840000000000033e-07
5.222859859466552734e+00,4.000449999999999839e-01,4.405489999999999832e-07
5.242727518081665039e+00,4.000500000000000167e-01,4.352409999999999995e-07
5.260524749755859375e+00,4.000460000000000127e-01,4.325950000000000167e-07
5.279275655746459961e+00,4.000529999999999919e-01,4.294679999999999914e-07
5.298823595046997070e+00,4.000509999999999899e-01,4.285949999999999809e-07
5.318264722824096680e+00,4.000489999999999879e-01,4.250529999999999879e-07
5.336553335189819336e+00,4.000500000000000167e-01,4.240839999999999744e-07
5.355039119720458984e+00,4.000460000000000127e-01,4.209329999999999749e-07
5.374158143997192383e+00,4.000420000000000087e-01,4.240890000000000066e-07
5.392977476119995117e+00,4.000409999999999799e-01,4.285589999999999930e-07
5.411528110504150391e+00,4.000429999999999819e-01,4.288050000000000072e-07
5.434644222259521484e+00,4.000400000000000067e-01,4.298720000000000260e-07
5.450629711151123047e+00,4.000400000000000067e-01,4.316130000000000149e-07
5.470216989517211914e+00,4.000389999999999779e-01,4.298220000000000222e-07
5.489310741424560547e+00,4.000440000000000107e-01,4.334520000000000091e-07
5.507970333099365234e+00,4.000380000000000047e-01,4.297979999999999950e-07
5.526961088180541992e+00,4.000429999999999819e-01,4.308659999999999884e-07
5.546940088272094727e+00,4.000460000000000127e-01,4.261070000000000184e-07
5.563928842544555664e+00,4.000460000000000127e-01,4.313250000000000060e-07
5.583163022994995117e+00,4.000409999999999799e-01,4.287969999999999982e-07
5.602340221405029297e+00,4.000460000000000127e-01,4.216500000000000203e-07
5.621583938598632812e+00,4.000469999999999859e-01,4.220290000000000000e-07
5.641306877136230469e+00,4.000449999999999839e-01,4.222359999999999965e-07
5.661540746688842773e+00,4.000469999999999859e-01,4.238659999999999919e-07
5.678552865982055664e+00,4.000420000000000087e-01,4.212839999999999758e-07
5.697777748107910156e+00,4.000420000000000087e-01,4.202789999999999744e-07
5.716629505157470703e+00,4.000429999999999819e-01,4.155280000000000135e-07
5.735474586486816406e+00,4.000449999999999839e-01,4.204340000000000178e-07
5.754629135131835938e+00,4.000429999999999819e-01,4.189820000000000125e-07
5.776195526123046875e+00,4.000429999999999819e-01,4.229850000000000253e-07
5.793461084365844727e+00,4.000349999999999739e-01,4.178799999999999805e-07
5.811390876770019531e+00,4.000369999999999759e-01,4.182829999999999875e-07
5.831496715545654297e+00,4.000380000000000047e-01,4.215489999999999851e-07
5.851033210754394531e+00,4.000429999999999819e-01,4.246110000000000161e-07
5.869290828704833984e+00,4.000380000000000047e-01,4.226019999999999880e-07
5.891228437423706055e+00,4.000389999999999779e-01,4.240280000000000168e-07
5.907224655151367188e+00,4.000380000000000047e-01,4.249779999999999823e-07
5.926379919052124023e+00,4.000389999999999779e-01,4.284220000000000229e-07
5.945217609405517578e+00,4.000369999999999759e-01,4.301049999999999990e-07
5.964475393295288086e+00,4.000409999999999799e-01,4.272699999999999872e-07
5.983562707901000977e+00,4.000440000000000107e-01,4.229140000000000242e-07
6.008089303970336914e+00,4.000360000000000027e-01,4.264199999999999763e-07
6.028076887130737305e+00,4.000449999999999839e-01,4.222980000000000139e-07
6.042066097259521484e+00,4.000389999999999779e-01,4.244570000000000003e-07
6.061062335968017578e+00,4.000389999999999779e-01,4.260900000000000256e-07
6.080043792724609375e+00,4.000389999999999779e-01,4.247669999999999813e-07
6.099048137664794922e+00,4.000380000000000047e-01,4.245809999999999821e-07
6.119007825851440430e+00,4.000429999999999819e-01,4.229949999999999837e-07
6.136343240737915039e+00,4.000380000000000047e-01,4.201000000000000097e-07
6.154648065567016602e+00,4.000369999999999759e-01,4.147170000000000203e-07
6.174317598342895508e+00,4.000389999999999779e-01,4.157010000000000244e-07
6.193395376205444336e+00,4.000369999999999759e-01,4.161820000000000139e-07
6.211961746215820312e+00,4.000349999999999739e-01,4.186719999999999786e-07
6.233825683593750000e+00,4.000360000000000027e-01,4.189130000000000137e-07
6.250180721282958984e+00,4.000380000000000047e-01,4.159190000000000069e-07
6.268319606781005859e+00,4.000380000000000047e-01,4.188340000000000035e-07
