# Tue Sep  5 18:39:01 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0, T = 0, nplc=0.5
4.997014999389648438e-03,4.000830000000000219e-01,3.143639999999999951e-08
3.499102592468261719e-02,-3.576280000000000046e-07,-1.995020000000000003e-09
5.487799644470214844e-02,4.000810000000000199e-01,3.133900000000000024e-08
7.354640960693359375e-02,1.200110000000000066e-01,6.225960000000000284e-09
9.389853477478027344e-02,4.000779999999999892e-01,3.149320000000000039e-08
1.145768165588378906e-01,2.400210000000000121e-01,1.673699999999999959e-08
1.320776939392089844e-01,4.000770000000000159e-01,3.217060000000000221e-08
1.506960391998291016e-01,3.600459999999999772e-01,2.891979999999999933e-08
1.697719097137451172e-01,4.000770000000000159e-01,3.341140000000000231e-08
1.885182857513427734e-01,4.800920000000000187e-01,4.203019999999999740e-08
2.071483135223388672e-01,4.000719999999999832e-01,3.361610000000000017e-08
2.267253398895263672e-01,6.001199999999999868e-01,5.556209999999999697e-08
2.445721626281738281e-01,4.000719999999999832e-01,3.317009999999999736e-08
2.627673149108886719e-01,7.201159999999999783e-01,6.946209999999999570e-08
2.819523811340332031e-01,4.000699999999999812e-01,3.140790000000000028e-08
3.006372451782226562e-01,8.401239999999999819e-01,8.529510000000000255e-08
3.197107315063476562e-01,4.000799999999999912e-01,3.049549999999999669e-08
3.399083614349365234e-01,9.600870000000000237e-01,6.734159999999999997e-08
3.658542633056640625e-01,4.000509999999999899e-01,3.293489999999999966e-09
4.381110668182373047e-01,1.080089999999999995e+00,9.655239999999999841e-08
4.649066925048828125e-01,4.000429999999999819e-01,3.522219999999999858e-09
5.374958515167236328e-01,1.200099999999999945e+00,1.332339999999999872e-07
5.644822120666503906e-01,4.000429999999999819e-01,3.110830000000000103e-09
6.387252807617187500e-01,1.320100000000000051e+00,1.694780000000000039e-07
6.637210845947265625e-01,4.000429999999999819e-01,3.215550000000000130e-09
7.366704940795898438e-01,1.440039999999999987e+00,2.176640000000000094e-07
7.653594017028808594e-01,4.000429999999999819e-01,2.871550000000000077e-09
8.393878936767578125e-01,1.560040000000000093e+00,2.996980000000000146e-07
8.653776645660400391e-01,4.000440000000000107e-01,3.369979999999999978e-09
9.376411437988281250e-01,1.680039999999999978e+00,3.359769999999999915e-07
9.644591808319091797e-01,4.000480000000000147e-01,2.855809999999999881e-09
1.039056777954101562e+00,1.800040000000000084e+00,4.402019999999999868e-07
1.064065456390380859e+00,4.000460000000000127e-01,3.432229999999999841e-09
1.137605905532836914e+00,1.920020000000000060e+00,5.345460000000000274e-07
1.169972181320190430e+00,4.000449999999999839e-01,4.336870000000000142e-09
1.235927820205688477e+00,2.040389999999999926e+00,6.800349999999999613e-07
1.265256166458129883e+00,4.000489999999999879e-01,4.857800000000000327e-09
1.339468955993652344e+00,2.160400000000000098e+00,8.409900000000000152e-07
1.366578102111816406e+00,4.000380000000000047e-01,5.445190000000000301e-09
1.440428256988525391e+00,2.280460000000000154e+00,9.920739999999999141e-07
1.478511810302734375e+00,4.000420000000000087e-01,7.050029999999999900e-09
1.550014734268188477e+00,2.400370000000000115e+00,1.306599999999999908e-06
1.589121341705322266e+00,4.000360000000000027e-01,6.468269999999999626e-09
1.670844554901123047e+00,2.520430000000000170e+00,1.541599999999999987e-06
1.699913501739501953e+00,4.000400000000000067e-01,6.353469999999999981e-09
1.772724628448486328e+00,2.640400000000000080e+00,1.827179999999999928e-06
1.811803579330444336e+00,4.000330000000000275e-01,6.044039999999999738e-09
1.884217023849487305e+00,2.760759999999999881e+00,2.059380000000000008e-06
1.922145128250122070e+00,4.000409999999999799e-01,5.634190000000000372e-09
2.001304626464843750e+00,2.880720000000000169e+00,2.375619999999999881e-06
2.033284187316894531e+00,4.000310000000000255e-01,7.593869999999999958e-09
2.107369899749755859e+00,3.000779999999999781e+00,2.785259999999999994e-06
2.143465995788574219e+00,4.000360000000000027e-01,5.904200000000000353e-09
2.220366477966308594e+00,3.120810000000000084e+00,3.274970000000000003e-06
2.255824565887451172e+00,4.000340000000000007e-01,9.203669999999999920e-09
2.335765600204467773e+00,3.240800000000000125e+00,3.955920000000000234e-06
2.367030620574951172e+00,4.000349999999999739e-01,8.154169999999999357e-09
2.445219993591308594e+00,3.360809999999999853e+00,4.784070000000000089e-06
2.477287530899047852e+00,4.000319999999999987e-01,8.915410000000000752e-09
2.552862405776977539e+00,3.480780000000000207e+00,5.284059999999999685e-06
2.588044166564941406e+00,4.000330000000000275e-01,6.940290000000000236e-09
2.667488574981689453e+00,3.601170000000000204e+00,6.349940000000000227e-06
2.699191331863403320e+00,4.000340000000000007e-01,7.330890000000000107e-09
2.776098251342773438e+00,3.721130000000000049e+00,7.821639999999999198e-06
2.810466289520263672e+00,4.000279999999999947e-01,1.223210000000000039e-08
2.887805223464965820e+00,3.841079999999999828e+00,9.386130000000000205e-06
2.922323942184448242e+00,4.000360000000000027e-01,9.641839999999999866e-09
3.001123428344726562e+00,3.961090000000000000e+00,1.230729999999999989e-05
3.041099309921264648e+00,4.000369999999999759e-01,1.124109999999999999e-08
3.117347478866577148e+00,4.080790000000000362e+00,1.687009999999999964e-05
3.160942316055297852e+00,4.000349999999999739e-01,2.115440000000000049e-08
3.238370656967163086e+00,4.200980000000000381e+00,2.081299999999999876e-05
3.280798673629760742e+00,4.000380000000000047e-01,1.429280000000000011e-08
3.357144117355346680e+00,4.320829999999999949e+00,2.909940000000000129e-05
3.399827003479003906e+00,4.000279999999999947e-01,2.351820000000000012e-08
3.477202415466308594e+00,4.440949999999999953e+00,4.140790000000000041e-05
3.520362138748168945e+00,4.000330000000000275e-01,3.988190000000000059e-08
3.594295978546142578e+00,4.561230000000000118e+00,6.193140000000000136e-05
3.638788700103759766e+00,4.000270000000000215e-01,4.252779999999999784e-08
3.715861558914184570e+00,4.681250000000000355e+00,8.933860000000000553e-05
3.758563756942749023e+00,4.000360000000000027e-01,1.062960000000000010e-07
3.841652870178222656e+00,4.801260000000000083e+00,1.237819999999999882e-04
3.885374069213867188e+00,4.000299999999999967e-01,1.072110000000000062e-07
3.971508264541625977e+00,4.921330000000000204e+00,1.572570000000000023e-04
4.013299465179443359e+00,4.000330000000000275e-01,1.615499999999999874e-07
4.041290760040283203e+00,5.041240000000000165e+00,1.825750000000000062e-04
4.088625431060791016e+00,4.000239999999999907e-01,1.241799999999999910e-07
4.170064926147460938e+00,5.161290000000000155e+00,2.133269999999999990e-04
4.221855163574218750e+00,4.000290000000000235e-01,1.653480000000000060e-07
4.244880199432373047e+00,5.281220000000000248e+00,2.548900000000000211e-04
4.291943788528442383e+00,4.000219999999999887e-01,1.624479999999999999e-07
4.323225975036621094e+00,5.401489999999999903e+00,2.866340000000000207e-04
4.366482496261596680e+00,4.000159999999999827e-01,1.518350000000000093e-07
4.396204710006713867e+00,5.521530000000000271e+00,3.236560000000000196e-04
4.446055173873901367e+00,4.000079999999999747e-01,1.593240000000000044e-07
4.471223592758178711e+00,5.641519999999999868e+00,3.804389999999999942e-04
4.517059564590454102e+00,4.000070000000000014e-01,1.657500000000000118e-07
4.546039819717407227e+00,5.761529999999999596e+00,4.259779999999999795e-04
4.591226100921630859e+00,4.000110000000000054e-01,1.366709999999999934e-07
4.673370122909545898e+00,5.881520000000000081e+00,4.803720000000000147e-04
4.720131635665893555e+00,4.000049999999999994e-01,1.753489999999999908e-07
4.748260736465454102e+00,4.000199999999999867e-01,1.741070000000000118e-07
4.766104459762573242e+00,4.000409999999999799e-01,1.718929999999999895e-07
4.784777879714965820e+00,4.000480000000000147e-01,1.705929999999999977e-07
4.804651975631713867e+00,4.000600000000000267e-01,1.698490000000000011e-07
4.824425697326660156e+00,4.000609999999999999e-01,1.647019999999999881e-07
4.841747760772705078e+00,4.000630000000000019e-01,1.655669999999999896e-07
4.860559225082397461e+00,4.000619999999999732e-01,1.595340000000000043e-07
4.880136966705322266e+00,4.000600000000000267e-01,1.570039999999999943e-07
4.898386478424072266e+00,4.000650000000000039e-01,1.518179999999999900e-07
4.918252468109130859e+00,4.000619999999999732e-01,1.526129999999999915e-07
4.938688755035400391e+00,4.000600000000000267e-01,1.505119999999999914e-07
4.954814195632934570e+00,4.000600000000000267e-01,1.484309999999999876e-07
4.974765777587890625e+00,4.000589999999999979e-01,1.562509999999999874e-07
4.993655920028686523e+00,4.000580000000000247e-01,1.563699999999999900e-07
5.011352062225341797e+00,4.000549999999999939e-01,1.587049999999999908e-07
5.031317949295043945e+00,4.000589999999999979e-01,1.599499999999999996e-07
5.053305149078369141e+00,4.000600000000000267e-01,1.576190000000000034e-07
5.069296836853027344e+00,4.000589999999999979e-01,1.547169999999999950e-07
5.088283777236938477e+00,4.000630000000000019e-01,1.539239999999999958e-07
5.107144594192504883e+00,4.000639999999999752e-01,1.529659999999999948e-07
5.125526428222656250e+00,4.000580000000000247e-01,1.522580000000000125e-07
5.143995761871337891e+00,4.000400000000000067e-01,1.330939999999999873e-07
5.199996948242187500e+00,4.000630000000000019e-01,1.407930000000000088e-07
5.217290401458740234e+00,4.000650000000000039e-01,1.387209999999999886e-07
5.235824346542358398e+00,4.000639999999999752e-01,1.367290000000000063e-07
5.255276918411254883e+00,4.000549999999999939e-01,1.358910000000000090e-07
5.274227380752563477e+00,4.000589999999999979e-01,1.374290000000000059e-07
5.293306112289428711e+00,4.000549999999999939e-01,1.388389999999999901e-07
5.316443681716918945e+00,4.000569999999999959e-01,1.397809999999999994e-07
5.331380367279052734e+00,4.000600000000000267e-01,1.395550000000000079e-07
5.349568367004394531e+00,4.000600000000000267e-01,1.398860000000000126e-07
5.369222402572631836e+00,4.000639999999999752e-01,1.392320000000000122e-07
5.387496232986450195e+00,4.000589999999999979e-01,1.320299999999999984e-07
