Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-2.2440e-03,0.01,0.12
-2.2430e-03,0.01,0.1
-2.2420e-03,0.01,0.12
-2.2410e-03,-0.03,0.14
-2.2400e-03,-0.03,0.1
-2.2390e-03,0.03,0.14
-2.2380e-03,0.01,0.12
-2.2370e-03,0.01,0.12
-2.2360e-03,0.03,0.1
-2.2350e-03,0.03,0.08
-2.2340e-03,-0.01,0.12
-2.2330e-03,-0.01,0.12
-2.2320e-03,-0.01,0.14
-2.2310e-03,-0.01,0.1
-2.2300e-03,0.01,0.1
-2.2290e-03,0.07,0.12
-2.2280e-03,0.01,0.08
-2.2270e-03,-0.03,0.06
-2.2260e-03,0.01,0.1
-2.2250e-03,-0.01,0.1
-2.2240e-03,0.01,0.12
-2.2230e-03,-0.01,0.1
-2.2220e-03,0.01,0.14
-2.2210e-03,0.05,0.12
-2.2200e-03,0.01,0.14
-2.2190e-03,0.03,0.12
-2.2180e-03,0.01,0.12
-2.2170e-03,0.01,0.1
-2.2160e-03,0.01,0.12
-2.2150e-03,-0.01,0.08
-2.2140e-03,0.03,0.12
-2.2130e-03,-0.01,0.1
-2.2120e-03,0.01,0.12
-2.2110e-03,0.01,0.14
-2.2100e-03,-0.01,0.1
-2.2090e-03,-0.01,0.06
-2.2080e-03,0.03,0.06
-2.2070e-03,0.03,0.08
-2.2060e-03,0.01,0.14
-2.2050e-03,-0.01,0.08
-2.2040e-03,0.03,0.14
-2.2030e-03,0.03,0.12
-2.2020e-03,0.03,0.14
-2.2010e-03,0.03,0.06
-2.2000e-03,-0.01,0.08
-2.1990e-03,0.01,0.14
-2.1980e-03,0.01,0.14
-2.1970e-03,0.03,0.08
-2.1960e-03,0.01,0.14
-2.1950e-03,0.01,0.1
-2.1940e-03,-0.01,0.12
-2.1930e-03,0.01,0.12
-2.1920e-03,0.01,0.1
-2.1910e-03,0.01,0.08
-2.1900e-03,0.01,0.1
-2.1890e-03,0.03,0.1
-2.1880e-03,-0.01,0.1
-2.1870e-03,0.01,0.12
-2.1860e-03,0.01,0.1
-2.1850e-03,0.01,0.12
-2.1840e-03,0.03,0.14
-2.1830e-03,0.03,0.08
-2.1820e-03,0.03,0.1
-2.1810e-03,0.01,0.1
-2.1800e-03,0.01,0.1
-2.1790e-03,0.01,0.1
-2.1780e-03,0.01,0.08
-2.1770e-03,0.01,0.14
-2.1760e-03,0.03,0.1
-2.1750e-03,0.01,0.14
-2.1740e-03,0.03,0.12
-2.1730e-03,-0.01,0.1
-2.1720e-03,0.01,0.1
-2.1710e-03,0.03,0.14
-2.1700e-03,0.03,0.1
-2.1690e-03,0.01,0.12
-2.1680e-03,0.01,0.12
-2.1670e-03,0.03,0.1
-2.1660e-03,0.01,0.08
-2.1650e-03,0.01,0.14
-2.1640e-03,0.03,0.12
-2.1630e-03,0.03,0.12
-2.1620e-03,0.01,0.14
-2.1610e-03,0.03,0.08
-2.1600e-03,0.05,0.04
-2.1590e-03,0.01,0.12
-2.1580e-03,-0.01,0.08
-2.1570e-03,0.03,0.08
-2.1560e-03,0.05,0.08
-2.1550e-03,0.01,0.12
-2.1540e-03,-0.01,0.12
-2.1530e-03,0.01,0.12
-2.1520e-03,0.03,0.06
-2.1510e-03,-0.01,0.06
-2.1500e-03,0.01,0.08
-2.1490e-03,0.01,0.12
-2.1480e-03,0.03,0.12
-2.1470e-03,0.01,0.14
-2.1460e-03,0.01,0.1
-2.1450e-03,-0.01,0.12
-2.1440e-03,-0.01,0.1
-2.1430e-03,0.05,0.12
-2.1420e-03,0.03,0.1
-2.1410e-03,0.01,0.08
